Good Friday given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 5470000 through 5479999



5470000 --> Friday, 04 - 07

5470001 --> Friday, 03 - 23

5470002 --> Friday, 04 - 12

5470003 --> Friday, 04 - 04

5470004 --> Friday, 04 - 16

5470005 --> Friday, 04 - 08

5470006 --> Friday, 03 - 31

5470007 --> Friday, 04 - 13

5470008 --> Friday, 04 - 04

5470009 --> Friday, 03 - 27

5470010 --> Friday, 04 - 16

5470011 --> Friday, 04 - 01

5470012 --> Friday, 04 - 20

5470013 --> Friday, 04 - 12

5470014 --> Friday, 03 - 28

5470015 --> Friday, 04 - 17

5470016 --> Friday, 04 - 08

5470017 --> Friday, 03 - 24

5470018 --> Friday, 04 - 13

5470019 --> Friday, 04 - 05

5470020 --> Friday, 03 - 27

5470021 --> Friday, 04 - 09

5470022 --> Friday, 04 - 01

5470023 --> Friday, 04 - 21

5470024 --> Friday, 04 - 05

5470025 --> Friday, 03 - 28

5470026 --> Friday, 04 - 17

5470027 --> Friday, 04 - 02

5470028 --> Friday, 03 - 24

5470029 --> Friday, 04 - 13

5470030 --> Friday, 04 - 05

5470031 --> Friday, 04 - 18

5470032 --> Friday, 04 - 09

5470033 --> Friday, 04 - 01

5470034 --> Friday, 04 - 21

5470035 --> Friday, 04 - 06

5470036 --> Friday, 03 - 28

5470037 --> Friday, 04 - 17

5470038 --> Friday, 04 - 02

5470039 --> Friday, 03 - 25

5470040 --> Friday, 04 - 13

5470041 --> Friday, 03 - 29

5470042 --> Friday, 04 - 18

5470043 --> Friday, 04 - 10

5470044 --> Friday, 03 - 25

5470045 --> Friday, 04 - 14

5470046 --> Friday, 04 - 06

5470047 --> Friday, 03 - 22

5470048 --> Friday, 04 - 10

5470049 --> Friday, 04 - 02

5470050 --> Friday, 04 - 22

5470051 --> Friday, 04 - 07

5470052 --> Friday, 03 - 29

5470053 --> Friday, 04 - 18

5470054 --> Friday, 04 - 10

5470055 --> Friday, 03 - 26

5470056 --> Friday, 04 - 14

5470057 --> Friday, 04 - 06

5470058 --> Friday, 03 - 22

5470059 --> Friday, 04 - 11

5470060 --> Friday, 04 - 02

5470061 --> Friday, 04 - 22

5470062 --> Friday, 04 - 07

5470063 --> Friday, 03 - 30

5470064 --> Friday, 04 - 18

5470065 --> Friday, 04 - 03

5470066 --> Friday, 03 - 26

5470067 --> Friday, 04 - 15

5470068 --> Friday, 03 - 30

5470069 --> Friday, 04 - 19

5470070 --> Friday, 04 - 11

5470071 --> Friday, 03 - 27

5470072 --> Friday, 04 - 15

5470073 --> Friday, 04 - 07

5470074 --> Friday, 03 - 30

5470075 --> Friday, 04 - 12

