Good Friday given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 4950000 through 4959999



4950000 --> Friday, 04 - 14

4950001 --> Friday, 04 - 06

4950002 --> Friday, 03 - 22

4950003 --> Friday, 04 - 11

4950004 --> Friday, 04 - 02

4950005 --> Friday, 04 - 22

4950006 --> Friday, 04 - 07

4950007 --> Friday, 03 - 30

4950008 --> Friday, 04 - 18

4950009 --> Friday, 04 - 10

4950010 --> Friday, 03 - 26

4950011 --> Friday, 04 - 15

4950012 --> Friday, 04 - 06

4950013 --> Friday, 03 - 22

4950014 --> Friday, 04 - 11

4950015 --> Friday, 04 - 03

4950016 --> Friday, 04 - 22

4950017 --> Friday, 04 - 07

4950018 --> Friday, 03 - 30

4950019 --> Friday, 04 - 19

4950020 --> Friday, 04 - 03

4950021 --> Friday, 03 - 26

4950022 --> Friday, 04 - 15

4950023 --> Friday, 03 - 31

4950024 --> Friday, 04 - 19

4950025 --> Friday, 04 - 11

4950026 --> Friday, 03 - 27

4950027 --> Friday, 04 - 16

4950028 --> Friday, 04 - 07

4950029 --> Friday, 03 - 30

4950030 --> Friday, 04 - 12

4950031 --> Friday, 04 - 04

4950032 --> Friday, 03 - 26

4950033 --> Friday, 04 - 08

4950034 --> Friday, 03 - 31

4950035 --> Friday, 04 - 20

4950036 --> Friday, 04 - 11

4950037 --> Friday, 03 - 27

4950038 --> Friday, 04 - 16

4950039 --> Friday, 04 - 08

4950040 --> Friday, 03 - 23

4950041 --> Friday, 04 - 12

4950042 --> Friday, 04 - 04

4950043 --> Friday, 04 - 17

4950044 --> Friday, 04 - 08

4950045 --> Friday, 03 - 31

4950046 --> Friday, 04 - 20

4950047 --> Friday, 04 - 05

4950048 --> Friday, 03 - 27

4950049 --> Friday, 04 - 16

4950050 --> Friday, 04 - 01

4950051 --> Friday, 03 - 24

4950052 --> Friday, 04 - 12

4950053 --> Friday, 03 - 28

4950054 --> Friday, 04 - 17

4950055 --> Friday, 04 - 09

4950056 --> Friday, 03 - 31

4950057 --> Friday, 04 - 13

4950058 --> Friday, 04 - 05

4950059 --> Friday, 03 - 28

4950060 --> Friday, 04 - 16

4950061 --> Friday, 04 - 01

4950062 --> Friday, 04 - 21

4950063 --> Friday, 04 - 13

4950064 --> Friday, 03 - 28

4950065 --> Friday, 04 - 17

4950066 --> Friday, 04 - 09

4950067 --> Friday, 03 - 25

4950068 --> Friday, 04 - 13

4950069 --> Friday, 04 - 05

4950070 --> Friday, 03 - 21

4950071 --> Friday, 04 - 10

4950072 --> Friday, 04 - 01

4950073 --> Friday, 04 - 21

4950074 --> Friday, 04 - 06

4950075 --> Friday, 03 - 29

4950076 --> Friday, 04 - 17

4950077 --> Friday, 04 - 02

4950078 --> Friday, 03 - 25

4950079 --> Friday, 04 - 14

4950080 --> Friday, 04 - 05

4950081 --> Friday, 04 - 18

4950082 --> Friday, 04 - 10

4950083 --> Friday, 04 - 02

4950084 --> Friday, 04 - 21

4950085 --> Friday, 04 - 06

4950086 --> Friday, 03 - 29

4950087 --> Friday, 04 - 18

4950088 --> Friday, 04 - 02

4950089 --> Friday, 03 - 25

4950090 --> Friday, 04 - 14

4950091 --> Friday, 03 - 30

4950092 --> Friday, 04 - 18

4950093 --> Friday, 04 - 10

4950094 --> Friday, 03 - 26

4950095 --> Friday, 04 - 15

4950096 --> Friday, 04 - 06

4950097 --> Friday, 03 - 22

4950098 --> Friday, 04 - 11

4950099 --> Friday, 04 - 03

4950100 --> Friday, 03 - 26

4950101 --> Friday, 04 - 08

4950102 --> Friday, 03 - 31

4950103 --> Friday, 04 - 20

4950104 --> Friday, 04 - 11

4950105 --> Friday, 03 - 27

4950106 --> Friday, 04 - 16

4950107 --> Friday, 04 - 08

4950108 --> Friday, 03 - 23

4950109 --> Friday, 04 - 12

4950110 --> Friday, 04 - 04

4950111 --> Friday, 04 - 17

4950112 --> Friday, 04 - 08

4950113 --> Friday, 03 - 31

4950114 --> Friday, 04 - 20

4950115 --> Friday, 04 - 05

4950116 --> Friday, 03 - 27

4950117 --> Friday, 04 - 16

4950118 --> Friday, 04 - 01

4950119 --> Friday, 03 - 24

4950120 --> Friday, 04 - 12

4950121 --> Friday, 03 - 28

4950122 --> Friday, 04 - 17

4950123 --> Friday, 04 - 09

4950124 --> Friday, 03 - 31

4950125 --> Friday, 04 - 13

4950126 --> Friday, 04 - 05

4950127 --> Friday, 03 - 21

4950128 --> Friday, 04 - 09

4950129 --> Friday, 04 - 01

4950130 --> Friday, 04 - 21

4950131 --> Friday, 04 - 06

4950132 --> Friday, 03 - 28

4950133 --> Friday, 04 - 17

4950134 --> Friday, 04 - 09

4950135 --> Friday, 03 - 25

4950136 --> Friday, 04 - 13

4950137 --> Friday, 04 - 05

4950138 --> Friday, 03 - 21

4950139 --> Friday, 04 - 10

4950140 --> Friday, 04 - 01

4950141 --> Friday, 04 - 21

4950142 --> Friday, 04 - 06

4950143 --> Friday, 03 - 29

4950144 --> Friday, 04 - 17

4950145 --> Friday, 04 - 02

4950146 --> Friday, 03 - 25

4950147 --> Friday, 04 - 14

4950148 --> Friday, 03 - 29

4950149 --> Friday, 04 - 18

4950150 --> Friday, 04 - 10

4950151 --> Friday, 03 - 26

4950152 --> Friday, 04 - 14

4950153 --> Friday, 04 - 06

4950154 --> Friday, 03 - 29

4950155 --> Friday, 04 - 11

4950156 --> Friday, 04 - 02

4950157 --> Friday, 03 - 25

4950158 --> Friday, 04 - 14

4950159 --> Friday, 03 - 30

4950160 --> Friday, 04 - 18

4950161 --> Friday, 04 - 10

4950162 --> Friday, 03 - 26

4950163 --> Friday, 04 - 15

4950164 --> Friday, 04 - 06

4950165 --> Friday, 03 - 22

4950166 --> Friday, 04 - 11

4950167 --> Friday, 04 - 03

4950168 --> Friday, 04 - 22

4950169 --> Friday, 04 - 07

4950170 --> Friday, 03 - 30

4950171 --> Friday, 04 - 19

4950172 --> Friday, 04 - 03

4950173 --> Friday, 03 - 26

4950174 --> Friday, 04 - 15

4950175 --> Friday, 03 - 31

4950176 --> Friday, 03 - 22

4950177 --> Friday, 04 - 11

4950178 --> Friday, 04 - 03

4950179 --> Friday, 04 - 16

4950180 --> Friday, 04 - 07

4950181 --> Friday, 03 - 30

4950182 --> Friday, 04 - 19

4950183 --> Friday, 04 - 04

4950184 --> Friday, 03 - 26

4950185 --> Friday, 04 - 15

4950186 --> Friday, 03 - 31

4950187 --> Friday, 04 - 20

4950188 --> Friday, 04 - 11

4950189 --> Friday, 03 - 27

4950190 --> Friday, 04 - 16

4950191 --> Friday, 04 - 08

4950192 --> Friday, 03 - 23

4950193 --> Friday, 04 - 12

4950194 --> Friday, 04 - 04

4950195 --> Friday, 03 - 20

4950196 --> Friday, 04 - 08

4950197 --> Friday, 03 - 31

4950198 --> Friday, 04 - 20

4950199 --> Friday, 04 - 05

4950200 --> Friday, 03 - 28

4950201 --> Friday, 04 - 17

4950202 --> Friday, 04 - 02

4950203 --> Friday, 03 - 25

4950204 --> Friday, 04 - 13

4950205 --> Friday, 03 - 29

4950206 --> Friday, 04 - 18

4950207 --> Friday, 04 - 10

4950208 --> Friday, 04 - 01

4950209 --> Friday, 04 - 14

4950210 --> Friday, 04 - 06

4950211 --> Friday, 03 - 29

4950212 --> Friday, 04 - 17

4950213 --> Friday, 04 - 02

4950214 --> Friday, 03 - 25

4950215 --> Friday, 04 - 14

4950216 --> Friday, 03 - 29

4950217 --> Friday, 04 - 18

4950218 --> Friday, 04 - 10

4950219 --> Friday, 03 - 26

4950220 --> Friday, 04 - 14

4950221 --> Friday, 04 - 06

4950222 --> Friday, 03 - 22

4950223 --> Friday, 04 - 11

4950224 --> Friday, 04 - 02

4950225 --> Friday, 04 - 22

4950226 --> Friday, 04 - 07

4950227 --> Friday, 03 - 30

4950228 --> Friday, 04 - 18

4950229 --> Friday, 04 - 03

4950230 --> Friday, 03 - 26

4950231 --> Friday, 04 - 15

4950232 --> Friday, 04 - 06

4950233 --> Friday, 03 - 22

4950234 --> Friday, 04 - 11

4950235 --> Friday, 04 - 03

4950236 --> Friday, 04 - 22

4950237 --> Friday, 04 - 07

4950238 --> Friday, 03 - 30

4950239 --> Friday, 04 - 19

4950240 --> Friday, 04 - 03

4950241 --> Friday, 03 - 26

4950242 --> Friday, 04 - 15

4950243 --> Friday, 03 - 31

4950244 --> Friday, 04 - 19

4950245 --> Friday, 04 - 11

4950246 --> Friday, 03 - 27

4950247 --> Friday, 04 - 16

4950248 --> Friday, 04 - 07

4950249 --> Friday, 03 - 23

4950250 --> Friday, 04 - 12

4950251 --> Friday, 04 - 04

4950252 --> Friday, 03 - 26

4950253 --> Friday, 04 - 08

4950254 --> Friday, 03 - 31

4950255 --> Friday, 04 - 20

4950256 --> Friday, 04 - 11

4950257 --> Friday, 03 - 27

4950258 --> Friday, 04 - 16

4950259 --> Friday, 04 - 08

4950260 --> Friday, 03 - 23

4950261 --> Friday, 04 - 12

4950262 --> Friday, 04 - 04

4950263 --> Friday, 04 - 17

4950264 --> Friday, 04 - 08

4950265 --> Friday, 03 - 31

4950266 --> Friday, 04 - 20

4950267 --> Friday, 04 - 05

4950268 --> Friday, 03 - 27

4950269 --> Friday, 04 - 16

4950270 --> Friday, 04 - 01

4950271 --> Friday, 03 - 24

4950272 --> Friday, 04 - 12

4950273 --> Friday, 03 - 28

4950274 --> Friday, 04 - 17

4950275 --> Friday, 04 - 09

4950276 --> Friday, 03 - 31

4950277 --> Friday, 04 - 13

4950278 --> Friday, 04 - 05

4950279 --> Friday, 03 - 21

4950280 --> Friday, 04 - 09

4950281 --> Friday, 04 - 01

4950282 --> Friday, 04 - 21

4950283 --> Friday, 04 - 06

4950284 --> Friday, 03 - 28

4950285 --> Friday, 04 - 17

4950286 --> Friday, 04 - 09

4950287 --> Friday, 03 - 25

4950288 --> Friday, 04 - 13

4950289 --> Friday, 04 - 05

4950290 --> Friday, 03 - 21

4950291 --> Friday, 04 - 10

4950292 --> Friday, 04 - 01

4950293 --> Friday, 04 - 21

4950294 --> Friday, 04 - 06

4950295 --> Friday, 03 - 29

4950296 --> Friday, 04 - 17

4950297 --> Friday, 04 - 02

4950298 --> Friday, 03 - 25

4950299 --> Friday, 04 - 14

4950300 --> Friday, 03 - 30

4950301 --> Friday, 04 - 19

4950302 --> Friday, 04 - 11

4950303 --> Friday, 03 - 27

