Good Friday given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 1170000 through 1179999



1170000 --> Friday, 04 - 07

1170001 --> Friday, 03 - 30

1170002 --> Friday, 04 - 19

1170003 --> Friday, 04 - 04

1170004 --> Friday, 03 - 26

1170005 --> Friday, 04 - 15

1170006 --> Friday, 03 - 31

1170007 --> Friday, 03 - 23

1170008 --> Friday, 04 - 11

1170009 --> Friday, 04 - 03

1170010 --> Friday, 04 - 16

1170011 --> Friday, 04 - 08

1170012 --> Friday, 03 - 30

1170013 --> Friday, 04 - 19

1170014 --> Friday, 04 - 04

1170015 --> Friday, 03 - 27

1170016 --> Friday, 04 - 15

1170017 --> Friday, 03 - 31

1170018 --> Friday, 04 - 20

1170019 --> Friday, 04 - 12

1170020 --> Friday, 03 - 27

1170021 --> Friday, 04 - 16

1170022 --> Friday, 04 - 08

1170023 --> Friday, 03 - 24

1170024 --> Friday, 04 - 12

1170025 --> Friday, 04 - 04

1170026 --> Friday, 03 - 20

1170027 --> Friday, 04 - 09

1170028 --> Friday, 03 - 31

1170029 --> Friday, 04 - 20

1170030 --> Friday, 04 - 05

1170031 --> Friday, 03 - 28

1170032 --> Friday, 04 - 16

1170033 --> Friday, 04 - 08

1170034 --> Friday, 03 - 24

1170035 --> Friday, 04 - 13

1170036 --> Friday, 04 - 04

1170037 --> Friday, 04 - 17

1170038 --> Friday, 04 - 09

1170039 --> Friday, 04 - 01

1170040 --> Friday, 04 - 20

1170041 --> Friday, 04 - 05

1170042 --> Friday, 03 - 28

1170043 --> Friday, 04 - 17

1170044 --> Friday, 04 - 01

1170045 --> Friday, 03 - 24

1170046 --> Friday, 04 - 13

1170047 --> Friday, 03 - 29

1170048 --> Friday, 04 - 17

1170049 --> Friday, 04 - 09

1170050 --> Friday, 03 - 25

1170051 --> Friday, 04 - 14

1170052 --> Friday, 04 - 05

1170053 --> Friday, 03 - 28

1170054 --> Friday, 04 - 10

1170055 --> Friday, 04 - 02

1170056 --> Friday, 04 - 21

1170057 --> Friday, 04 - 13

1170058 --> Friday, 03 - 29

1170059 --> Friday, 04 - 18

1170060 --> Friday, 04 - 09

1170061 --> Friday, 03 - 25

1170062 --> Friday, 04 - 14

1170063 --> Friday, 04 - 06

1170064 --> Friday, 03 - 21

1170065 --> Friday, 04 - 10

1170066 --> Friday, 04 - 02

1170067 --> Friday, 04 - 22

1170068 --> Friday, 04 - 06

1170069 --> Friday, 03 - 29

1170070 --> Friday, 04 - 18

1170071 --> Friday, 04 - 03

1170072 --> Friday, 03 - 25

1170073 --> Friday, 04 - 14

1170074 --> Friday, 03 - 30

1170075 --> Friday, 04 - 19

1170076 --> Friday, 04 - 10

1170077 --> Friday, 03 - 26

1170078 --> Friday, 04 - 15

1170079 --> Friday, 04 - 07

1170080 --> Friday, 03 - 29

1170081 --> Friday, 04 - 11

1170082 --> Friday, 04 - 03

1170083 --> Friday, 03 - 26

1170084 --> Friday, 04 - 14

1170085 --> Friday, 03 - 30

1170086 --> Friday, 04 - 19

1170087 --> Friday, 04 - 11

1170088 --> Friday, 03 - 26

1170089 --> Friday, 04 - 15

1170090 --> Friday, 04 - 07

1170091 --> Friday, 03 - 23

1170092 --> Friday, 04 - 11

1170093 --> Friday, 04 - 03

1170094 --> Friday, 04 - 23

1170095 --> Friday, 04 - 08

1170096 --> Friday, 03 - 30

1170097 --> Friday, 04 - 19

1170098 --> Friday, 04 - 04

1170099 --> Friday, 03 - 27

1170100 --> Friday, 04 - 16

1170101 --> Friday, 04 - 01

1170102 --> Friday, 03 - 24

1170103 --> Friday, 04 - 13

1170104 --> Friday, 04 - 04

1170105 --> Friday, 04 - 17

1170106 --> Friday, 04 - 09

1170107 --> Friday, 04 - 01

1170108 --> Friday, 04 - 20

1170109 --> Friday, 04 - 05

1170110 --> Friday, 03 - 28

1170111 --> Friday, 04 - 17

1170112 --> Friday, 04 - 01

1170113 --> Friday, 03 - 24

1170114 --> Friday, 04 - 13

1170115 --> Friday, 03 - 29

1170116 --> Friday, 04 - 17

1170117 --> Friday, 04 - 09

1170118 --> Friday, 03 - 25

1170119 --> Friday, 04 - 14

1170120 --> Friday, 04 - 05

1170121 --> Friday, 03 - 21

1170122 --> Friday, 04 - 10

1170123 --> Friday, 04 - 02

1170124 --> Friday, 04 - 21

1170125 --> Friday, 04 - 06

1170126 --> Friday, 03 - 29

1170127 --> Friday, 04 - 18

1170128 --> Friday, 04 - 09

1170129 --> Friday, 03 - 25

1170130 --> Friday, 04 - 14

1170131 --> Friday, 04 - 06

1170132 --> Friday, 03 - 21

1170133 --> Friday, 04 - 10

1170134 --> Friday, 04 - 02

1170135 --> Friday, 04 - 15

1170136 --> Friday, 04 - 06

1170137 --> Friday, 03 - 29

1170138 --> Friday, 04 - 18

1170139 --> Friday, 04 - 03

1170140 --> Friday, 03 - 25

1170141 --> Friday, 04 - 14

1170142 --> Friday, 03 - 30

1170143 --> Friday, 04 - 19

1170144 --> Friday, 04 - 10

1170145 --> Friday, 03 - 26

1170146 --> Friday, 04 - 15

1170147 --> Friday, 04 - 07

1170148 --> Friday, 03 - 29

1170149 --> Friday, 04 - 11

1170150 --> Friday, 04 - 03

1170151 --> Friday, 03 - 26

1170152 --> Friday, 04 - 14

1170153 --> Friday, 03 - 30

1170154 --> Friday, 04 - 19

1170155 --> Friday, 04 - 04

1170156 --> Friday, 03 - 26

1170157 --> Friday, 04 - 15

1170158 --> Friday, 04 - 07

1170159 --> Friday, 03 - 23

1170160 --> Friday, 04 - 11

1170161 --> Friday, 04 - 03

1170162 --> Friday, 04 - 23

1170163 --> Friday, 04 - 08

1170164 --> Friday, 03 - 30

1170165 --> Friday, 04 - 19

1170166 --> Friday, 04 - 04

1170167 --> Friday, 03 - 27

1170168 --> Friday, 04 - 15

1170169 --> Friday, 03 - 31

1170170 --> Friday, 03 - 23

1170171 --> Friday, 04 - 12

1170172 --> Friday, 03 - 27

1170173 --> Friday, 04 - 16

1170174 --> Friday, 04 - 08

1170175 --> Friday, 03 - 24

1170176 --> Friday, 04 - 12

1170177 --> Friday, 04 - 04

1170178 --> Friday, 03 - 27

1170179 --> Friday, 04 - 09

1170180 --> Friday, 03 - 31

1170181 --> Friday, 04 - 20

1170182 --> Friday, 04 - 12

1170183 --> Friday, 03 - 28

1170184 --> Friday, 04 - 16

1170185 --> Friday, 04 - 08

1170186 --> Friday, 03 - 24

1170187 --> Friday, 04 - 13

1170188 --> Friday, 04 - 04

1170189 --> Friday, 03 - 20

1170190 --> Friday, 04 - 09

1170191 --> Friday, 04 - 01

1170192 --> Friday, 04 - 20

1170193 --> Friday, 04 - 05

1170194 --> Friday, 03 - 28

1170195 --> Friday, 04 - 17

1170196 --> Friday, 04 - 01

1170197 --> Friday, 03 - 24

1170198 --> Friday, 04 - 13

1170199 --> Friday, 03 - 29

1170200 --> Friday, 04 - 18

1170201 --> Friday, 04 - 10

1170202 --> Friday, 03 - 26

1170203 --> Friday, 04 - 15

1170204 --> Friday, 04 - 06

1170205 --> Friday, 03 - 29

1170206 --> Friday, 04 - 11

1170207 --> Friday, 04 - 03

1170208 --> Friday, 03 - 25

1170209 --> Friday, 04 - 14

1170210 --> Friday, 03 - 30

1170211 --> Friday, 04 - 19

1170212 --> Friday, 04 - 10

1170213 --> Friday, 03 - 26

1170214 --> Friday, 04 - 15

1170215 --> Friday, 04 - 07

1170216 --> Friday, 03 - 22

1170217 --> Friday, 04 - 11

1170218 --> Friday, 04 - 03

1170219 --> Friday, 04 - 23

1170220 --> Friday, 04 - 07

1170221 --> Friday, 03 - 30

1170222 --> Friday, 04 - 19

1170223 --> Friday, 04 - 04

1170224 --> Friday, 03 - 26

1170225 --> Friday, 04 - 15

1170226 --> Friday, 03 - 31

1170227 --> Friday, 03 - 23

1170228 --> Friday, 04 - 11

1170229 --> Friday, 03 - 27

1170230 --> Friday, 04 - 16

1170231 --> Friday, 04 - 08

1170232 --> Friday, 03 - 30

1170233 --> Friday, 04 - 12

1170234 --> Friday, 04 - 04

1170235 --> Friday, 03 - 27

1170236 --> Friday, 04 - 15

1170237 --> Friday, 03 - 31

1170238 --> Friday, 04 - 20

1170239 --> Friday, 04 - 12

