Good Friday given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 4440000 through 4449999



4440000 --> Friday, 04 - 07

4440001 --> Friday, 03 - 23

4440002 --> Friday, 04 - 12

4440003 --> Friday, 04 - 04

4440004 --> Friday, 04 - 23

4440005 --> Friday, 04 - 08

4440006 --> Friday, 03 - 31

4440007 --> Friday, 04 - 20

4440008 --> Friday, 04 - 04

4440009 --> Friday, 03 - 27

4440010 --> Friday, 04 - 16

4440011 --> Friday, 04 - 01

4440012 --> Friday, 03 - 23

4440013 --> Friday, 04 - 12

4440014 --> Friday, 04 - 04

4440015 --> Friday, 04 - 17

4440016 --> Friday, 04 - 08

4440017 --> Friday, 03 - 31

4440018 --> Friday, 04 - 13

4440019 --> Friday, 04 - 05

4440020 --> Friday, 03 - 27

4440021 --> Friday, 04 - 16

4440022 --> Friday, 04 - 01

4440023 --> Friday, 04 - 21

4440024 --> Friday, 04 - 12

4440025 --> Friday, 03 - 28

4440026 --> Friday, 04 - 17

4440027 --> Friday, 04 - 09

4440028 --> Friday, 03 - 24

4440029 --> Friday, 04 - 13

4440030 --> Friday, 04 - 05

4440031 --> Friday, 03 - 21

4440032 --> Friday, 04 - 09

4440033 --> Friday, 04 - 01

4440034 --> Friday, 04 - 21

4440035 --> Friday, 04 - 06

4440036 --> Friday, 03 - 28

4440037 --> Friday, 04 - 17

4440038 --> Friday, 04 - 02

4440039 --> Friday, 03 - 25

4440040 --> Friday, 04 - 13

4440041 --> Friday, 04 - 05

4440042 --> Friday, 04 - 18

4440043 --> Friday, 04 - 10

4440044 --> Friday, 04 - 01

4440045 --> Friday, 04 - 21

4440046 --> Friday, 04 - 06

4440047 --> Friday, 03 - 29

4440048 --> Friday, 04 - 17

4440049 --> Friday, 04 - 02

4440050 --> Friday, 03 - 25

4440051 --> Friday, 04 - 14

4440052 --> Friday, 03 - 29

4440053 --> Friday, 04 - 18

4440054 --> Friday, 04 - 10

4440055 --> Friday, 03 - 26

4440056 --> Friday, 04 - 14

4440057 --> Friday, 04 - 06

4440058 --> Friday, 03 - 22

4440059 --> Friday, 04 - 11

4440060 --> Friday, 04 - 02

4440061 --> Friday, 04 - 22

4440062 --> Friday, 04 - 07

4440063 --> Friday, 03 - 30

4440064 --> Friday, 04 - 18

4440065 --> Friday, 04 - 10

4440066 --> Friday, 03 - 26

4440067 --> Friday, 04 - 15

4440068 --> Friday, 04 - 06

4440069 --> Friday, 03 - 22

4440070 --> Friday, 04 - 11

4440071 --> Friday, 04 - 03

4440072 --> Friday, 04 - 22

4440073 --> Friday, 04 - 07

4440074 --> Friday, 03 - 30

4440075 --> Friday, 04 - 19

4440076 --> Friday, 04 - 03

4440077 --> Friday, 03 - 26

4440078 --> Friday, 04 - 15

4440079 --> Friday, 03 - 31

4440080 --> Friday, 04 - 19

4440081 --> Friday, 04 - 11

4440082 --> Friday, 03 - 27

4440083 --> Friday, 04 - 16

4440084 --> Friday, 04 - 07

4440085 --> Friday, 03 - 30

4440086 --> Friday, 04 - 12

4440087 --> Friday, 04 - 04

4440088 --> Friday, 03 - 26

4440089 --> Friday, 04 - 15

4440090 --> Friday, 03 - 31

4440091 --> Friday, 04 - 20

4440092 --> Friday, 04 - 11

4440093 --> Friday, 03 - 27

4440094 --> Friday, 04 - 16

4440095 --> Friday, 04 - 08

4440096 --> Friday, 03 - 23

4440097 --> Friday, 04 - 12

4440098 --> Friday, 04 - 04

4440099 --> Friday, 04 - 17

4440100 --> Friday, 04 - 09

4440101 --> Friday, 04 - 01

4440102 --> Friday, 04 - 21

4440103 --> Friday, 04 - 06

4440104 --> Friday, 03 - 28

4440105 --> Friday, 04 - 17

4440106 --> Friday, 04 - 02

4440107 --> Friday, 03 - 25

4440108 --> Friday, 04 - 13

4440109 --> Friday, 04 - 05

4440110 --> Friday, 04 - 18

4440111 --> Friday, 04 - 10

4440112 --> Friday, 04 - 01

4440113 --> Friday, 04 - 14

4440114 --> Friday, 04 - 06

4440115 --> Friday, 03 - 29

4440116 --> Friday, 04 - 17

4440117 --> Friday, 04 - 02

4440118 --> Friday, 03 - 25

4440119 --> Friday, 04 - 14

4440120 --> Friday, 03 - 29

4440121 --> Friday, 04 - 18

4440122 --> Friday, 04 - 10

4440123 --> Friday, 03 - 26

4440124 --> Friday, 04 - 14

4440125 --> Friday, 04 - 06

4440126 --> Friday, 03 - 22

4440127 --> Friday, 04 - 11

4440128 --> Friday, 04 - 02

4440129 --> Friday, 04 - 22

4440130 --> Friday, 04 - 07

4440131 --> Friday, 03 - 30

4440132 --> Friday, 04 - 18

4440133 --> Friday, 04 - 03

4440134 --> Friday, 03 - 26

4440135 --> Friday, 04 - 15

4440136 --> Friday, 04 - 06

4440137 --> Friday, 03 - 22

4440138 --> Friday, 04 - 11

4440139 --> Friday, 04 - 03

4440140 --> Friday, 04 - 22

4440141 --> Friday, 04 - 07

4440142 --> Friday, 03 - 30

4440143 --> Friday, 04 - 19

4440144 --> Friday, 04 - 03

4440145 --> Friday, 03 - 26

4440146 --> Friday, 04 - 15

4440147 --> Friday, 03 - 31

4440148 --> Friday, 04 - 19

4440149 --> Friday, 04 - 11

4440150 --> Friday, 03 - 27

4440151 --> Friday, 04 - 16

4440152 --> Friday, 04 - 07

4440153 --> Friday, 03 - 23

4440154 --> Friday, 04 - 12

4440155 --> Friday, 04 - 04

4440156 --> Friday, 03 - 26

4440157 --> Friday, 04 - 08

4440158 --> Friday, 03 - 31

4440159 --> Friday, 04 - 20

4440160 --> Friday, 04 - 11

4440161 --> Friday, 03 - 27

4440162 --> Friday, 04 - 16

4440163 --> Friday, 04 - 08

4440164 --> Friday, 03 - 23

4440165 --> Friday, 04 - 12

4440166 --> Friday, 04 - 04

4440167 --> Friday, 04 - 17

4440168 --> Friday, 04 - 08

4440169 --> Friday, 03 - 31

4440170 --> Friday, 04 - 20

4440171 --> Friday, 04 - 05

4440172 --> Friday, 03 - 27

4440173 --> Friday, 04 - 16

4440174 --> Friday, 04 - 01

4440175 --> Friday, 03 - 24

4440176 --> Friday, 04 - 12

4440177 --> Friday, 03 - 28

4440178 --> Friday, 04 - 17

4440179 --> Friday, 04 - 09

4440180 --> Friday, 03 - 31

4440181 --> Friday, 04 - 13

4440182 --> Friday, 04 - 05

4440183 --> Friday, 03 - 28

4440184 --> Friday, 04 - 16

4440185 --> Friday, 04 - 01

4440186 --> Friday, 04 - 21

4440187 --> Friday, 04 - 06

4440188 --> Friday, 03 - 28

4440189 --> Friday, 04 - 17

4440190 --> Friday, 04 - 09

4440191 --> Friday, 03 - 25

4440192 --> Friday, 04 - 13

4440193 --> Friday, 04 - 05

4440194 --> Friday, 03 - 21

4440195 --> Friday, 04 - 10

4440196 --> Friday, 04 - 01

4440197 --> Friday, 04 - 21

4440198 --> Friday, 04 - 06

4440199 --> Friday, 03 - 29

4440200 --> Friday, 04 - 18

4440201 --> Friday, 04 - 03

4440202 --> Friday, 03 - 26

4440203 --> Friday, 04 - 15

