Good Friday given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 0320000 through 0329999



0320000 --> Friday, 04 - 14

0320001 --> Friday, 03 - 30

0320002 --> Friday, 04 - 19

0320003 --> Friday, 04 - 11

0320004 --> Friday, 03 - 26

0320005 --> Friday, 04 - 15

0320006 --> Friday, 04 - 07

0320007 --> Friday, 03 - 23

0320008 --> Friday, 04 - 11

0320009 --> Friday, 04 - 03

0320010 --> Friday, 04 - 23

0320011 --> Friday, 04 - 08

0320012 --> Friday, 03 - 30

0320013 --> Friday, 04 - 19

0320014 --> Friday, 04 - 04

0320015 --> Friday, 03 - 27

0320016 --> Friday, 04 - 15

0320017 --> Friday, 03 - 31

0320018 --> Friday, 03 - 23

0320019 --> Friday, 04 - 12

0320020 --> Friday, 04 - 03

0320021 --> Friday, 04 - 16

0320022 --> Friday, 04 - 08

0320023 --> Friday, 03 - 31

0320024 --> Friday, 04 - 19

0320025 --> Friday, 04 - 04

0320026 --> Friday, 03 - 27

0320027 --> Friday, 04 - 16

0320028 --> Friday, 03 - 31

0320029 --> Friday, 04 - 20

0320030 --> Friday, 04 - 12

0320031 --> Friday, 03 - 28

0320032 --> Friday, 04 - 16

0320033 --> Friday, 04 - 08

0320034 --> Friday, 03 - 24

0320035 --> Friday, 04 - 13

0320036 --> Friday, 04 - 04

0320037 --> Friday, 03 - 20

0320038 --> Friday, 04 - 09

0320039 --> Friday, 04 - 01

0320040 --> Friday, 04 - 20

0320041 --> Friday, 04 - 05

0320042 --> Friday, 03 - 28

0320043 --> Friday, 04 - 17

0320044 --> Friday, 04 - 08

0320045 --> Friday, 03 - 24

0320046 --> Friday, 04 - 13

0320047 --> Friday, 04 - 05

0320048 --> Friday, 04 - 17

0320049 --> Friday, 04 - 09

0320050 --> Friday, 04 - 01

0320051 --> Friday, 04 - 21

0320052 --> Friday, 04 - 05

0320053 --> Friday, 03 - 28

0320054 --> Friday, 04 - 17

0320055 --> Friday, 04 - 02

0320056 --> Friday, 03 - 24

0320057 --> Friday, 04 - 13

0320058 --> Friday, 03 - 29

0320059 --> Friday, 04 - 18

0320060 --> Friday, 04 - 09

0320061 --> Friday, 03 - 25

0320062 --> Friday, 04 - 14

0320063 --> Friday, 04 - 06

0320064 --> Friday, 03 - 28

0320065 --> Friday, 04 - 10

0320066 --> Friday, 04 - 02

0320067 --> Friday, 04 - 22

0320068 --> Friday, 04 - 13

0320069 --> Friday, 03 - 29

0320070 --> Friday, 04 - 18

0320071 --> Friday, 04 - 10

0320072 --> Friday, 03 - 25

0320073 --> Friday, 04 - 14

0320074 --> Friday, 04 - 06

0320075 --> Friday, 03 - 22

0320076 --> Friday, 04 - 10

