Good Friday given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 5050000 through 5059999



5050000 --> Friday, 03 - 24

5050001 --> Friday, 04 - 13

5050002 --> Friday, 03 - 29

5050003 --> Friday, 04 - 18

5050004 --> Friday, 04 - 09

5050005 --> Friday, 04 - 01

5050006 --> Friday, 04 - 14

5050007 --> Friday, 04 - 06

5050008 --> Friday, 03 - 28

5050009 --> Friday, 04 - 17

5050010 --> Friday, 04 - 02

5050011 --> Friday, 04 - 22

5050012 --> Friday, 04 - 13

5050013 --> Friday, 03 - 29

5050014 --> Friday, 04 - 18

5050015 --> Friday, 04 - 10

5050016 --> Friday, 03 - 25

5050017 --> Friday, 04 - 14

5050018 --> Friday, 04 - 06

5050019 --> Friday, 03 - 22

5050020 --> Friday, 04 - 10

5050021 --> Friday, 04 - 02

5050022 --> Friday, 04 - 22

5050023 --> Friday, 04 - 07

5050024 --> Friday, 03 - 29

5050025 --> Friday, 04 - 18

5050026 --> Friday, 04 - 03

5050027 --> Friday, 03 - 26

5050028 --> Friday, 04 - 14

5050029 --> Friday, 03 - 30

5050030 --> Friday, 04 - 19

5050031 --> Friday, 04 - 11

5050032 --> Friday, 04 - 02

5050033 --> Friday, 04 - 15

5050034 --> Friday, 04 - 07

5050035 --> Friday, 03 - 30

5050036 --> Friday, 04 - 18

5050037 --> Friday, 04 - 03

5050038 --> Friday, 03 - 26

5050039 --> Friday, 04 - 15

5050040 --> Friday, 03 - 30

5050041 --> Friday, 04 - 19

5050042 --> Friday, 04 - 11

5050043 --> Friday, 03 - 27

5050044 --> Friday, 04 - 15

5050045 --> Friday, 04 - 07

5050046 --> Friday, 03 - 23

5050047 --> Friday, 04 - 12

5050048 --> Friday, 04 - 03

5050049 --> Friday, 04 - 23

5050050 --> Friday, 04 - 08

5050051 --> Friday, 03 - 31

5050052 --> Friday, 04 - 19

5050053 --> Friday, 04 - 04

5050054 --> Friday, 03 - 27

5050055 --> Friday, 04 - 16

5050056 --> Friday, 04 - 07

5050057 --> Friday, 03 - 23

5050058 --> Friday, 04 - 12

5050059 --> Friday, 04 - 04

5050060 --> Friday, 04 - 16

5050061 --> Friday, 04 - 08

5050062 --> Friday, 03 - 31

5050063 --> Friday, 04 - 20

5050064 --> Friday, 04 - 04

5050065 --> Friday, 03 - 27

5050066 --> Friday, 04 - 16

5050067 --> Friday, 04 - 01

5050068 --> Friday, 04 - 20

5050069 --> Friday, 04 - 12

5050070 --> Friday, 03 - 28

5050071 --> Friday, 04 - 17

5050072 --> Friday, 04 - 08

5050073 --> Friday, 03 - 24

5050074 --> Friday, 04 - 13

5050075 --> Friday, 04 - 05

5050076 --> Friday, 03 - 27

5050077 --> Friday, 04 - 09

5050078 --> Friday, 04 - 01

5050079 --> Friday, 04 - 21

5050080 --> Friday, 04 - 12

5050081 --> Friday, 03 - 28

5050082 --> Friday, 04 - 17

5050083 --> Friday, 04 - 09

5050084 --> Friday, 03 - 24

5050085 --> Friday, 04 - 13

5050086 --> Friday, 04 - 05

5050087 --> Friday, 04 - 18

5050088 --> Friday, 04 - 09

5050089 --> Friday, 04 - 01

5050090 --> Friday, 04 - 21

5050091 --> Friday, 04 - 06

5050092 --> Friday, 03 - 28

5050093 --> Friday, 04 - 17

5050094 --> Friday, 04 - 02

5050095 --> Friday, 03 - 25

5050096 --> Friday, 04 - 13

5050097 --> Friday, 03 - 29

5050098 --> Friday, 04 - 18

5050099 --> Friday, 04 - 10

5050100 --> Friday, 04 - 02

5050101 --> Friday, 04 - 15

5050102 --> Friday, 04 - 07

5050103 --> Friday, 03 - 30

5050104 --> Friday, 04 - 18

5050105 --> Friday, 04 - 03

5050106 --> Friday, 03 - 26

5050107 --> Friday, 04 - 08

5050108 --> Friday, 03 - 30

5050109 --> Friday, 04 - 19

5050110 --> Friday, 04 - 11

