Good Friday given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 2410000 through 2419999



2410000 --> Friday, 03 - 31

2410001 --> Friday, 04 - 20

2410002 --> Friday, 04 - 05

2410003 --> Friday, 03 - 28

2410004 --> Friday, 04 - 16

2410005 --> Friday, 04 - 01

2410006 --> Friday, 03 - 24

2410007 --> Friday, 04 - 13

2410008 --> Friday, 03 - 28

2410009 --> Friday, 04 - 17

2410010 --> Friday, 04 - 09

2410011 --> Friday, 03 - 25

2410012 --> Friday, 04 - 13

2410013 --> Friday, 04 - 05

2410014 --> Friday, 03 - 28

2410015 --> Friday, 04 - 10

2410016 --> Friday, 04 - 01

2410017 --> Friday, 04 - 21

2410018 --> Friday, 04 - 06

2410019 --> Friday, 03 - 29

2410020 --> Friday, 04 - 17

2410021 --> Friday, 04 - 09

2410022 --> Friday, 03 - 25

2410023 --> Friday, 04 - 14

2410024 --> Friday, 04 - 05

2410025 --> Friday, 03 - 21

2410026 --> Friday, 04 - 10

2410027 --> Friday, 04 - 02

2410028 --> Friday, 04 - 21

2410029 --> Friday, 04 - 06

2410030 --> Friday, 03 - 29

2410031 --> Friday, 04 - 18

2410032 --> Friday, 04 - 02

2410033 --> Friday, 03 - 25

2410034 --> Friday, 04 - 14

2410035 --> Friday, 03 - 30

2410036 --> Friday, 04 - 18

2410037 --> Friday, 04 - 10

2410038 --> Friday, 03 - 26

2410039 --> Friday, 04 - 15

2410040 --> Friday, 04 - 06

2410041 --> Friday, 03 - 29

2410042 --> Friday, 04 - 11

2410043 --> Friday, 04 - 03

2410044 --> Friday, 03 - 25

2410045 --> Friday, 04 - 14

2410046 --> Friday, 03 - 30

2410047 --> Friday, 04 - 19

2410048 --> Friday, 04 - 10

2410049 --> Friday, 03 - 26

2410050 --> Friday, 04 - 15

2410051 --> Friday, 04 - 07

2410052 --> Friday, 03 - 22

2410053 --> Friday, 04 - 11

2410054 --> Friday, 04 - 03

2410055 --> Friday, 04 - 23

2410056 --> Friday, 04 - 07

2410057 --> Friday, 03 - 30

2410058 --> Friday, 04 - 19

2410059 --> Friday, 04 - 04

2410060 --> Friday, 03 - 26

2410061 --> Friday, 04 - 15

2410062 --> Friday, 03 - 31

2410063 --> Friday, 03 - 23

2410064 --> Friday, 04 - 11

2410065 --> Friday, 04 - 03

2410066 --> Friday, 04 - 16

2410067 --> Friday, 04 - 08

2410068 --> Friday, 03 - 30

2410069 --> Friday, 04 - 19

2410070 --> Friday, 04 - 04

2410071 --> Friday, 03 - 27

2410072 --> Friday, 04 - 15

2410073 --> Friday, 03 - 31

2410074 --> Friday, 04 - 20

2410075 --> Friday, 04 - 12

2410076 --> Friday, 03 - 27

2410077 --> Friday, 04 - 16

2410078 --> Friday, 04 - 08

2410079 --> Friday, 03 - 24

2410080 --> Friday, 04 - 12

2410081 --> Friday, 04 - 04

2410082 --> Friday, 03 - 20

2410083 --> Friday, 04 - 09

2410084 --> Friday, 03 - 31

2410085 --> Friday, 04 - 20

2410086 --> Friday, 04 - 05

2410087 --> Friday, 03 - 28

2410088 --> Friday, 04 - 16

2410089 --> Friday, 04 - 08

2410090 --> Friday, 03 - 24

2410091 --> Friday, 04 - 13

2410092 --> Friday, 04 - 04

2410093 --> Friday, 04 - 17

2410094 --> Friday, 04 - 09

2410095 --> Friday, 04 - 01

2410096 --> Friday, 04 - 20

2410097 --> Friday, 04 - 05

2410098 --> Friday, 03 - 28

2410099 --> Friday, 04 - 17

2410100 --> Friday, 04 - 02

2410101 --> Friday, 03 - 25

2410102 --> Friday, 04 - 14

2410103 --> Friday, 03 - 30

2410104 --> Friday, 04 - 18

2410105 --> Friday, 04 - 10

2410106 --> Friday, 03 - 26

2410107 --> Friday, 04 - 15

