Good Friday given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 4590000 through 4599999



4590000 --> Friday, 04 - 14

4590001 --> Friday, 04 - 06

4590002 --> Friday, 03 - 22

4590003 --> Friday, 04 - 11

4590004 --> Friday, 04 - 02

4590005 --> Friday, 04 - 22

4590006 --> Friday, 04 - 07

4590007 --> Friday, 03 - 30

4590008 --> Friday, 04 - 18

4590009 --> Friday, 04 - 03

4590010 --> Friday, 03 - 26

4590011 --> Friday, 04 - 15

4590012 --> Friday, 04 - 06

4590013 --> Friday, 03 - 22

4590014 --> Friday, 04 - 11

4590015 --> Friday, 04 - 03

4590016 --> Friday, 04 - 22

4590017 --> Friday, 04 - 07

4590018 --> Friday, 03 - 30

4590019 --> Friday, 04 - 19

4590020 --> Friday, 04 - 03

4590021 --> Friday, 03 - 26

4590022 --> Friday, 04 - 15

4590023 --> Friday, 03 - 31

4590024 --> Friday, 04 - 19

4590025 --> Friday, 04 - 11

4590026 --> Friday, 03 - 27

4590027 --> Friday, 04 - 16

4590028 --> Friday, 04 - 07

4590029 --> Friday, 03 - 23

4590030 --> Friday, 04 - 12

4590031 --> Friday, 04 - 04

4590032 --> Friday, 03 - 26

4590033 --> Friday, 04 - 08

4590034 --> Friday, 03 - 31

4590035 --> Friday, 04 - 20

4590036 --> Friday, 04 - 11

4590037 --> Friday, 03 - 27

4590038 --> Friday, 04 - 16

4590039 --> Friday, 04 - 01

4590040 --> Friday, 03 - 23

4590041 --> Friday, 04 - 12

4590042 --> Friday, 04 - 04

4590043 --> Friday, 04 - 17

4590044 --> Friday, 04 - 08

4590045 --> Friday, 03 - 31

4590046 --> Friday, 04 - 20

4590047 --> Friday, 04 - 05

4590048 --> Friday, 03 - 27

4590049 --> Friday, 04 - 16

4590050 --> Friday, 04 - 01

4590051 --> Friday, 03 - 24

4590052 --> Friday, 04 - 12

4590053 --> Friday, 03 - 28

4590054 --> Friday, 04 - 17

4590055 --> Friday, 04 - 09

4590056 --> Friday, 03 - 31

4590057 --> Friday, 04 - 13

4590058 --> Friday, 04 - 05

4590059 --> Friday, 03 - 21

4590060 --> Friday, 04 - 09

4590061 --> Friday, 04 - 01

4590062 --> Friday, 04 - 21

4590063 --> Friday, 04 - 06

4590064 --> Friday, 03 - 28

4590065 --> Friday, 04 - 17

4590066 --> Friday, 04 - 09

4590067 --> Friday, 03 - 25

4590068 --> Friday, 04 - 13

4590069 --> Friday, 04 - 05

4590070 --> Friday, 03 - 21

4590071 --> Friday, 04 - 10

4590072 --> Friday, 04 - 01

4590073 --> Friday, 04 - 21

4590074 --> Friday, 04 - 06

4590075 --> Friday, 03 - 29

4590076 --> Friday, 04 - 17

4590077 --> Friday, 04 - 02

4590078 --> Friday, 03 - 25

4590079 --> Friday, 04 - 14

4590080 --> Friday, 03 - 29

4590081 --> Friday, 04 - 18

4590082 --> Friday, 04 - 10

4590083 --> Friday, 03 - 26

4590084 --> Friday, 04 - 14

4590085 --> Friday, 04 - 06

4590086 --> Friday, 03 - 29

4590087 --> Friday, 04 - 11

4590088 --> Friday, 04 - 02

4590089 --> Friday, 03 - 25

4590090 --> Friday, 04 - 14

4590091 --> Friday, 03 - 30

4590092 --> Friday, 04 - 18

4590093 --> Friday, 04 - 10

4590094 --> Friday, 03 - 26

4590095 --> Friday, 04 - 15

4590096 --> Friday, 04 - 06

4590097 --> Friday, 03 - 22

4590098 --> Friday, 04 - 11

4590099 --> Friday, 04 - 03

4590100 --> Friday, 04 - 23

4590101 --> Friday, 04 - 08

4590102 --> Friday, 03 - 31

4590103 --> Friday, 04 - 20

4590104 --> Friday, 04 - 04

4590105 --> Friday, 03 - 27

4590106 --> Friday, 04 - 16

4590107 --> Friday, 04 - 01

4590108 --> Friday, 03 - 23

4590109 --> Friday, 04 - 12

4590110 --> Friday, 04 - 04

4590111 --> Friday, 04 - 17

4590112 --> Friday, 04 - 08

4590113 --> Friday, 03 - 31

4590114 --> Friday, 04 - 20

4590115 --> Friday, 04 - 05

4590116 --> Friday, 03 - 27

4590117 --> Friday, 04 - 16

4590118 --> Friday, 04 - 01

4590119 --> Friday, 04 - 21

4590120 --> Friday, 04 - 12

4590121 --> Friday, 03 - 28

4590122 --> Friday, 04 - 17

4590123 --> Friday, 04 - 09

4590124 --> Friday, 03 - 24

4590125 --> Friday, 04 - 13

4590126 --> Friday, 04 - 05

4590127 --> Friday, 03 - 21

4590128 --> Friday, 04 - 09

4590129 --> Friday, 04 - 01

4590130 --> Friday, 04 - 21

4590131 --> Friday, 04 - 06

