Good Friday given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 3820000 through 3829999



3820000 --> Friday, 04 - 14

3820001 --> Friday, 03 - 30

3820002 --> Friday, 04 - 19

3820003 --> Friday, 04 - 11

3820004 --> Friday, 03 - 26

3820005 --> Friday, 04 - 15

3820006 --> Friday, 04 - 07

3820007 --> Friday, 03 - 23

3820008 --> Friday, 04 - 11

3820009 --> Friday, 04 - 03

3820010 --> Friday, 04 - 23

3820011 --> Friday, 04 - 08

3820012 --> Friday, 03 - 30

3820013 --> Friday, 04 - 19

3820014 --> Friday, 04 - 04

3820015 --> Friday, 03 - 27

3820016 --> Friday, 04 - 15

3820017 --> Friday, 03 - 31

3820018 --> Friday, 03 - 23

3820019 --> Friday, 04 - 12

3820020 --> Friday, 04 - 03

3820021 --> Friday, 04 - 16

3820022 --> Friday, 04 - 08

3820023 --> Friday, 03 - 31

3820024 --> Friday, 04 - 19

3820025 --> Friday, 04 - 04

3820026 --> Friday, 03 - 27

3820027 --> Friday, 04 - 09

3820028 --> Friday, 03 - 31

3820029 --> Friday, 04 - 20

3820030 --> Friday, 04 - 12

3820031 --> Friday, 03 - 28

3820032 --> Friday, 04 - 16

3820033 --> Friday, 04 - 08

3820034 --> Friday, 03 - 24

3820035 --> Friday, 04 - 13

3820036 --> Friday, 04 - 04

3820037 --> Friday, 03 - 20

3820038 --> Friday, 04 - 09

3820039 --> Friday, 04 - 01

3820040 --> Friday, 04 - 20

3820041 --> Friday, 04 - 05

3820042 --> Friday, 03 - 28

3820043 --> Friday, 04 - 17

3820044 --> Friday, 04 - 08

3820045 --> Friday, 03 - 24

3820046 --> Friday, 04 - 13

3820047 --> Friday, 03 - 29

3820048 --> Friday, 04 - 17

3820049 --> Friday, 04 - 09

3820050 --> Friday, 04 - 01

3820051 --> Friday, 04 - 14

3820052 --> Friday, 04 - 05

3820053 --> Friday, 03 - 28

3820054 --> Friday, 04 - 17

3820055 --> Friday, 04 - 02

3820056 --> Friday, 03 - 24

3820057 --> Friday, 04 - 13

3820058 --> Friday, 03 - 29

3820059 --> Friday, 04 - 18

3820060 --> Friday, 04 - 09

3820061 --> Friday, 03 - 25

3820062 --> Friday, 04 - 14

3820063 --> Friday, 04 - 06

3820064 --> Friday, 03 - 21

3820065 --> Friday, 04 - 10

3820066 --> Friday, 04 - 02

3820067 --> Friday, 04 - 22

3820068 --> Friday, 04 - 06

3820069 --> Friday, 03 - 29

3820070 --> Friday, 04 - 18

3820071 --> Friday, 04 - 03

3820072 --> Friday, 03 - 25

3820073 --> Friday, 04 - 14

3820074 --> Friday, 04 - 06

3820075 --> Friday, 03 - 22

3820076 --> Friday, 04 - 10

3820077 --> Friday, 04 - 02

3820078 --> Friday, 04 - 22

3820079 --> Friday, 04 - 07

3820080 --> Friday, 03 - 29

3820081 --> Friday, 04 - 18

3820082 --> Friday, 04 - 03

3820083 --> Friday, 03 - 26

3820084 --> Friday, 04 - 14

3820085 --> Friday, 03 - 30

3820086 --> Friday, 04 - 19

3820087 --> Friday, 04 - 11

3820088 --> Friday, 03 - 26

3820089 --> Friday, 04 - 15

3820090 --> Friday, 04 - 07

3820091 --> Friday, 03 - 23

3820092 --> Friday, 04 - 11

3820093 --> Friday, 04 - 03

3820094 --> Friday, 03 - 26

3820095 --> Friday, 04 - 08

3820096 --> Friday, 03 - 30

3820097 --> Friday, 04 - 19

3820098 --> Friday, 04 - 11

3820099 --> Friday, 03 - 27

3820100 --> Friday, 04 - 16

3820101 --> Friday, 04 - 08

3820102 --> Friday, 03 - 24

3820103 --> Friday, 04 - 13

3820104 --> Friday, 04 - 04

3820105 --> Friday, 04 - 17

3820106 --> Friday, 04 - 09

3820107 --> Friday, 04 - 01

3820108 --> Friday, 04 - 20

3820109 --> Friday, 04 - 05

3820110 --> Friday, 03 - 28

3820111 --> Friday, 04 - 17

3820112 --> Friday, 04 - 01

3820113 --> Friday, 03 - 24

3820114 --> Friday, 04 - 13

3820115 --> Friday, 03 - 29

3820116 --> Friday, 04 - 17

3820117 --> Friday, 04 - 09

3820118 --> Friday, 04 - 01

3820119 --> Friday, 04 - 14

3820120 --> Friday, 04 - 05

3820121 --> Friday, 03 - 28

3820122 --> Friday, 04 - 10

3820123 --> Friday, 04 - 02

3820124 --> Friday, 04 - 21

3820125 --> Friday, 04 - 13

3820126 --> Friday, 03 - 29

3820127 --> Friday, 04 - 18

3820128 --> Friday, 04 - 09

3820129 --> Friday, 03 - 25

3820130 --> Friday, 04 - 14

3820131 --> Friday, 04 - 06

3820132 --> Friday, 03 - 21

3820133 --> Friday, 04 - 10

3820134 --> Friday, 04 - 02

3820135 --> Friday, 04 - 22

3820136 --> Friday, 04 - 06

3820137 --> Friday, 03 - 29

3820138 --> Friday, 04 - 18

3820139 --> Friday, 04 - 03

3820140 --> Friday, 03 - 25

3820141 --> Friday, 04 - 14

3820142 --> Friday, 03 - 30

3820143 --> Friday, 04 - 19

3820144 --> Friday, 04 - 10

3820145 --> Friday, 04 - 02

3820146 --> Friday, 04 - 15

3820147 --> Friday, 04 - 07

3820148 --> Friday, 03 - 29

3820149 --> Friday, 04 - 18

3820150 --> Friday, 04 - 03

3820151 --> Friday, 03 - 26

3820152 --> Friday, 04 - 14

3820153 --> Friday, 03 - 30

3820154 --> Friday, 04 - 19

3820155 --> Friday, 04 - 11

3820156 --> Friday, 03 - 26

3820157 --> Friday, 04 - 15

3820158 --> Friday, 04 - 07

3820159 --> Friday, 03 - 23

3820160 --> Friday, 04 - 11

3820161 --> Friday, 04 - 03

3820162 --> Friday, 04 - 23

3820163 --> Friday, 04 - 08

3820164 --> Friday, 03 - 30

3820165 --> Friday, 04 - 19

3820166 --> Friday, 04 - 04

3820167 --> Friday, 03 - 27

3820168 --> Friday, 04 - 15

3820169 --> Friday, 04 - 07

3820170 --> Friday, 03 - 23

3820171 --> Friday, 04 - 12

3820172 --> Friday, 04 - 03

3820173 --> Friday, 04 - 16

3820174 --> Friday, 04 - 08

3820175 --> Friday, 03 - 31

3820176 --> Friday, 04 - 19

3820177 --> Friday, 04 - 04

3820178 --> Friday, 03 - 27

