Good Friday given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 0730000 through 0739999



0730000 --> Friday, 04 - 14

0730001 --> Friday, 04 - 06

0730002 --> Friday, 03 - 22

0730003 --> Friday, 04 - 11

0730004 --> Friday, 04 - 02

0730005 --> Friday, 04 - 22

0730006 --> Friday, 04 - 07

0730007 --> Friday, 03 - 30

0730008 --> Friday, 04 - 18

0730009 --> Friday, 04 - 03

0730010 --> Friday, 03 - 26

0730011 --> Friday, 04 - 15

0730012 --> Friday, 04 - 06

0730013 --> Friday, 03 - 22

0730014 --> Friday, 04 - 11

0730015 --> Friday, 04 - 03

0730016 --> Friday, 04 - 22

0730017 --> Friday, 04 - 07

0730018 --> Friday, 03 - 30

0730019 --> Friday, 04 - 12

0730020 --> Friday, 04 - 03

0730021 --> Friday, 03 - 26

0730022 --> Friday, 04 - 15

0730023 --> Friday, 03 - 31

0730024 --> Friday, 04 - 19

0730025 --> Friday, 04 - 11

0730026 --> Friday, 03 - 27

0730027 --> Friday, 04 - 16

0730028 --> Friday, 04 - 07

0730029 --> Friday, 03 - 23

0730030 --> Friday, 04 - 12

0730031 --> Friday, 04 - 04

0730032 --> Friday, 03 - 26

0730033 --> Friday, 04 - 08

0730034 --> Friday, 03 - 31

0730035 --> Friday, 04 - 20

0730036 --> Friday, 04 - 11

0730037 --> Friday, 03 - 27

0730038 --> Friday, 04 - 16

0730039 --> Friday, 04 - 01

0730040 --> Friday, 03 - 23

0730041 --> Friday, 04 - 12

0730042 --> Friday, 04 - 04

0730043 --> Friday, 04 - 17

0730044 --> Friday, 04 - 08

0730045 --> Friday, 03 - 31

0730046 --> Friday, 04 - 20

0730047 --> Friday, 04 - 05

0730048 --> Friday, 03 - 27

0730049 --> Friday, 04 - 16

0730050 --> Friday, 04 - 01

0730051 --> Friday, 03 - 24

0730052 --> Friday, 04 - 12

0730053 --> Friday, 03 - 28

0730054 --> Friday, 04 - 17

0730055 --> Friday, 04 - 09

0730056 --> Friday, 03 - 24

0730057 --> Friday, 04 - 13

0730058 --> Friday, 04 - 05

0730059 --> Friday, 03 - 21

0730060 --> Friday, 04 - 09

0730061 --> Friday, 04 - 01

0730062 --> Friday, 04 - 21

0730063 --> Friday, 04 - 06

0730064 --> Friday, 03 - 28

0730065 --> Friday, 04 - 17

0730066 --> Friday, 04 - 09

0730067 --> Friday, 03 - 25

0730068 --> Friday, 04 - 13

0730069 --> Friday, 04 - 05

0730070 --> Friday, 03 - 21

0730071 --> Friday, 04 - 10

0730072 --> Friday, 04 - 01

0730073 --> Friday, 04 - 21

0730074 --> Friday, 04 - 06

0730075 --> Friday, 03 - 29

0730076 --> Friday, 04 - 17

