Good Friday given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 0340000 through 0349999



0340000 --> Friday, 03 - 24

0340001 --> Friday, 04 - 13

0340002 --> Friday, 04 - 05

0340003 --> Friday, 03 - 21

0340004 --> Friday, 04 - 09

0340005 --> Friday, 04 - 01

0340006 --> Friday, 04 - 21

0340007 --> Friday, 04 - 06

0340008 --> Friday, 03 - 28

0340009 --> Friday, 04 - 17

0340010 --> Friday, 04 - 02

0340011 --> Friday, 03 - 25

0340012 --> Friday, 04 - 13

0340013 --> Friday, 03 - 29

0340014 --> Friday, 04 - 18

0340015 --> Friday, 04 - 10

0340016 --> Friday, 04 - 01

0340017 --> Friday, 04 - 14

0340018 --> Friday, 04 - 06

0340019 --> Friday, 03 - 29

0340020 --> Friday, 04 - 17

0340021 --> Friday, 04 - 02

0340022 --> Friday, 03 - 25

0340023 --> Friday, 04 - 14

0340024 --> Friday, 03 - 29

0340025 --> Friday, 04 - 18

0340026 --> Friday, 04 - 10

0340027 --> Friday, 03 - 26

0340028 --> Friday, 04 - 14

0340029 --> Friday, 04 - 06

0340030 --> Friday, 03 - 22

0340031 --> Friday, 04 - 11

0340032 --> Friday, 04 - 02

0340033 --> Friday, 04 - 22

0340034 --> Friday, 04 - 07

0340035 --> Friday, 03 - 30

0340036 --> Friday, 04 - 18

0340037 --> Friday, 04 - 03

0340038 --> Friday, 03 - 26

0340039 --> Friday, 04 - 15

0340040 --> Friday, 04 - 06

0340041 --> Friday, 03 - 22

0340042 --> Friday, 04 - 11

0340043 --> Friday, 03 - 27

0340044 --> Friday, 04 - 15

0340045 --> Friday, 04 - 07

0340046 --> Friday, 03 - 30

0340047 --> Friday, 04 - 12

0340048 --> Friday, 04 - 03

0340049 --> Friday, 03 - 26

0340050 --> Friday, 04 - 15

0340051 --> Friday, 03 - 31

0340052 --> Friday, 04 - 19

0340053 --> Friday, 04 - 11

0340054 --> Friday, 03 - 27

0340055 --> Friday, 04 - 16

0340056 --> Friday, 04 - 07

0340057 --> Friday, 03 - 23

0340058 --> Friday, 04 - 12

0340059 --> Friday, 04 - 04

0340060 --> Friday, 03 - 26

0340061 --> Friday, 04 - 08

0340062 --> Friday, 03 - 31

0340063 --> Friday, 04 - 20

0340064 --> Friday, 04 - 04

0340065 --> Friday, 03 - 27

0340066 --> Friday, 04 - 16

0340067 --> Friday, 04 - 01

0340068 --> Friday, 03 - 23

0340069 --> Friday, 04 - 12

0340070 --> Friday, 04 - 04

0340071 --> Friday, 04 - 17

0340072 --> Friday, 04 - 08

0340073 --> Friday, 03 - 31

0340074 --> Friday, 04 - 20

0340075 --> Friday, 04 - 05

0340076 --> Friday, 03 - 27

0340077 --> Friday, 04 - 16

0340078 --> Friday, 04 - 01

0340079 --> Friday, 03 - 24

0340080 --> Friday, 04 - 12

0340081 --> Friday, 03 - 28

0340082 --> Friday, 04 - 17

0340083 --> Friday, 04 - 09

0340084 --> Friday, 03 - 24

0340085 --> Friday, 04 - 13

0340086 --> Friday, 04 - 05

0340087 --> Friday, 03 - 21

0340088 --> Friday, 04 - 09

0340089 --> Friday, 04 - 01

0340090 --> Friday, 04 - 21

0340091 --> Friday, 04 - 06

0340092 --> Friday, 03 - 28

0340093 --> Friday, 04 - 17

0340094 --> Friday, 04 - 09

0340095 --> Friday, 03 - 25

0340096 --> Friday, 04 - 13

0340097 --> Friday, 04 - 05

0340098 --> Friday, 03 - 21

0340099 --> Friday, 04 - 10

0340100 --> Friday, 04 - 02

