Good Friday given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 2670000 through 2679999



2670000 --> Friday, 03 - 24

2670001 --> Friday, 04 - 13

2670002 --> Friday, 03 - 29

2670003 --> Friday, 04 - 18

2670004 --> Friday, 04 - 09

2670005 --> Friday, 03 - 25

2670006 --> Friday, 04 - 14

2670007 --> Friday, 04 - 06

2670008 --> Friday, 03 - 28

2670009 --> Friday, 04 - 10

2670010 --> Friday, 04 - 02

2670011 --> Friday, 04 - 22

2670012 --> Friday, 04 - 13

2670013 --> Friday, 03 - 29

2670014 --> Friday, 04 - 18

2670015 --> Friday, 04 - 03

2670016 --> Friday, 03 - 25

2670017 --> Friday, 04 - 14

2670018 --> Friday, 04 - 06

2670019 --> Friday, 03 - 22

2670020 --> Friday, 04 - 10

2670021 --> Friday, 04 - 02

2670022 --> Friday, 04 - 22

2670023 --> Friday, 04 - 07

2670024 --> Friday, 03 - 29

2670025 --> Friday, 04 - 18

2670026 --> Friday, 04 - 03

2670027 --> Friday, 03 - 26

2670028 --> Friday, 04 - 14

2670029 --> Friday, 03 - 30

2670030 --> Friday, 04 - 19

2670031 --> Friday, 04 - 11

2670032 --> Friday, 03 - 26

2670033 --> Friday, 04 - 15

2670034 --> Friday, 04 - 07

2670035 --> Friday, 03 - 23

2670036 --> Friday, 04 - 11

2670037 --> Friday, 04 - 03

2670038 --> Friday, 03 - 26

2670039 --> Friday, 04 - 08

2670040 --> Friday, 03 - 30

2670041 --> Friday, 04 - 19

2670042 --> Friday, 04 - 11

2670043 --> Friday, 03 - 27

2670044 --> Friday, 04 - 15

2670045 --> Friday, 04 - 07

2670046 --> Friday, 03 - 23

2670047 --> Friday, 04 - 12

2670048 --> Friday, 04 - 03

2670049 --> Friday, 04 - 23

2670050 --> Friday, 04 - 08

2670051 --> Friday, 03 - 31

2670052 --> Friday, 04 - 19

2670053 --> Friday, 04 - 04

2670054 --> Friday, 03 - 27

2670055 --> Friday, 04 - 16

2670056 --> Friday, 03 - 31

2670057 --> Friday, 03 - 23

2670058 --> Friday, 04 - 12

2670059 --> Friday, 03 - 28

2670060 --> Friday, 04 - 16

2670061 --> Friday, 04 - 08

2670062 --> Friday, 03 - 31

2670063 --> Friday, 04 - 13

2670064 --> Friday, 04 - 04

2670065 --> Friday, 03 - 27

2670066 --> Friday, 04 - 16

2670067 --> Friday, 04 - 01

2670068 --> Friday, 04 - 20

2670069 --> Friday, 04 - 12

2670070 --> Friday, 03 - 28

2670071 --> Friday, 04 - 17

2670072 --> Friday, 04 - 08

2670073 --> Friday, 03 - 24

2670074 --> Friday, 04 - 13

2670075 --> Friday, 04 - 05

2670076 --> Friday, 03 - 20

2670077 --> Friday, 04 - 09

2670078 --> Friday, 04 - 01

2670079 --> Friday, 04 - 21

2670080 --> Friday, 04 - 05

2670081 --> Friday, 03 - 28

2670082 --> Friday, 04 - 17

2670083 --> Friday, 04 - 02

2670084 --> Friday, 03 - 24

2670085 --> Friday, 04 - 13

2670086 --> Friday, 04 - 05

2670087 --> Friday, 04 - 18

2670088 --> Friday, 04 - 09

2670089 --> Friday, 04 - 01

2670090 --> Friday, 04 - 14

2670091 --> Friday, 04 - 06

2670092 --> Friday, 03 - 28

2670093 --> Friday, 04 - 17

2670094 --> Friday, 04 - 02

2670095 --> Friday, 03 - 25

2670096 --> Friday, 04 - 13

2670097 --> Friday, 03 - 29

2670098 --> Friday, 04 - 18

2670099 --> Friday, 04 - 10

2670100 --> Friday, 03 - 26

2670101 --> Friday, 04 - 15

2670102 --> Friday, 04 - 07

2670103 --> Friday, 03 - 23

2670104 --> Friday, 04 - 11

2670105 --> Friday, 04 - 03

2670106 --> Friday, 03 - 26

2670107 --> Friday, 04 - 08

2670108 --> Friday, 03 - 30

2670109 --> Friday, 04 - 19

2670110 --> Friday, 04 - 04

2670111 --> Friday, 03 - 27

2670112 --> Friday, 04 - 15

2670113 --> Friday, 04 - 07

2670114 --> Friday, 03 - 23

2670115 --> Friday, 04 - 12

2670116 --> Friday, 04 - 03

2670117 --> Friday, 04 - 23

2670118 --> Friday, 04 - 08

2670119 --> Friday, 03 - 31

2670120 --> Friday, 04 - 19

2670121 --> Friday, 04 - 04

2670122 --> Friday, 03 - 27

2670123 --> Friday, 04 - 16

2670124 --> Friday, 03 - 31

2670125 --> Friday, 03 - 23

2670126 --> Friday, 04 - 12

2670127 --> Friday, 03 - 28

2670128 --> Friday, 04 - 16

2670129 --> Friday, 04 - 08

2670130 --> Friday, 03 - 24

2670131 --> Friday, 04 - 13

2670132 --> Friday, 04 - 04

2670133 --> Friday, 03 - 27

2670134 --> Friday, 04 - 09

2670135 --> Friday, 04 - 01

2670136 --> Friday, 04 - 20

2670137 --> Friday, 04 - 12

2670138 --> Friday, 03 - 28

2670139 --> Friday, 04 - 17

2670140 --> Friday, 04 - 08

2670141 --> Friday, 03 - 24

2670142 --> Friday, 04 - 13

2670143 --> Friday, 04 - 05

2670144 --> Friday, 03 - 20

2670145 --> Friday, 04 - 09

2670146 --> Friday, 04 - 01

2670147 --> Friday, 04 - 21

2670148 --> Friday, 04 - 05

2670149 --> Friday, 03 - 28

2670150 --> Friday, 04 - 17

2670151 --> Friday, 04 - 02

2670152 --> Friday, 03 - 24

2670153 --> Friday, 04 - 13

2670154 --> Friday, 03 - 29

2670155 --> Friday, 04 - 18

2670156 --> Friday, 04 - 09

2670157 --> Friday, 04 - 01

2670158 --> Friday, 04 - 14

2670159 --> Friday, 04 - 06

2670160 --> Friday, 03 - 28

2670161 --> Friday, 04 - 17

2670162 --> Friday, 04 - 02

2670163 --> Friday, 03 - 25

2670164 --> Friday, 04 - 13

2670165 --> Friday, 03 - 29

2670166 --> Friday, 04 - 18

2670167 --> Friday, 04 - 10

2670168 --> Friday, 03 - 25

2670169 --> Friday, 04 - 14

2670170 --> Friday, 04 - 06

2670171 --> Friday, 03 - 22

2670172 --> Friday, 04 - 10

2670173 --> Friday, 04 - 02

2670174 --> Friday, 04 - 22

2670175 --> Friday, 04 - 07

2670176 --> Friday, 03 - 29

2670177 --> Friday, 04 - 18

2670178 --> Friday, 04 - 03

2670179 --> Friday, 03 - 26

2670180 --> Friday, 04 - 14

2670181 --> Friday, 04 - 06

2670182 --> Friday, 03 - 22

2670183 --> Friday, 04 - 11

2670184 --> Friday, 04 - 02

2670185 --> Friday, 04 - 15

2670186 --> Friday, 04 - 07

2670187 --> Friday, 03 - 30

2670188 --> Friday, 04 - 18

2670189 --> Friday, 04 - 03

2670190 --> Friday, 03 - 26

2670191 --> Friday, 04 - 15

2670192 --> Friday, 03 - 30

2670193 --> Friday, 04 - 19

2670194 --> Friday, 04 - 11

2670195 --> Friday, 03 - 27

2670196 --> Friday, 04 - 15

2670197 --> Friday, 04 - 07

2670198 --> Friday, 03 - 23

2670199 --> Friday, 04 - 12

2670200 --> Friday, 04 - 04

2670201 --> Friday, 03 - 20

2670202 --> Friday, 04 - 09

2670203 --> Friday, 04 - 01

2670204 --> Friday, 04 - 20

2670205 --> Friday, 04 - 05

2670206 --> Friday, 03 - 28

2670207 --> Friday, 04 - 17

2670208 --> Friday, 04 - 01

2670209 --> Friday, 03 - 24

2670210 --> Friday, 04 - 13

2670211 --> Friday, 03 - 29

2670212 --> Friday, 04 - 17

2670213 --> Friday, 04 - 09

2670214 --> Friday, 04 - 01

2670215 --> Friday, 04 - 14

2670216 --> Friday, 04 - 05

2670217 --> Friday, 03 - 28

2670218 --> Friday, 04 - 17

2670219 --> Friday, 04 - 02

2670220 --> Friday, 03 - 24

2670221 --> Friday, 04 - 13

2670222 --> Friday, 03 - 29

2670223 --> Friday, 04 - 18

2670224 --> Friday, 04 - 09

2670225 --> Friday, 03 - 25

2670226 --> Friday, 04 - 14

2670227 --> Friday, 04 - 06

2670228 --> Friday, 03 - 21

2670229 --> Friday, 04 - 10

2670230 --> Friday, 04 - 02

2670231 --> Friday, 04 - 22

2670232 --> Friday, 04 - 06

