Good Friday given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 3500000 through 3509999



3500000 --> Friday, 04 - 07

3500001 --> Friday, 03 - 30

3500002 --> Friday, 04 - 12

3500003 --> Friday, 04 - 04

3500004 --> Friday, 03 - 26

3500005 --> Friday, 04 - 15

3500006 --> Friday, 03 - 31

3500007 --> Friday, 04 - 20

3500008 --> Friday, 04 - 11

3500009 --> Friday, 03 - 27

3500010 --> Friday, 04 - 16

3500011 --> Friday, 04 - 08

3500012 --> Friday, 03 - 23

3500013 --> Friday, 04 - 12

3500014 --> Friday, 04 - 04

3500015 --> Friday, 04 - 17

3500016 --> Friday, 04 - 08

3500017 --> Friday, 03 - 31

3500018 --> Friday, 04 - 20

3500019 --> Friday, 04 - 05

3500020 --> Friday, 03 - 27

3500021 --> Friday, 04 - 16

3500022 --> Friday, 04 - 01

3500023 --> Friday, 03 - 24

3500024 --> Friday, 04 - 12

3500025 --> Friday, 04 - 04

3500026 --> Friday, 04 - 17

3500027 --> Friday, 04 - 09

3500028 --> Friday, 03 - 31

3500029 --> Friday, 04 - 13

3500030 --> Friday, 04 - 05

3500031 --> Friday, 03 - 28

3500032 --> Friday, 04 - 16

3500033 --> Friday, 04 - 01

3500034 --> Friday, 04 - 21

3500035 --> Friday, 04 - 13

3500036 --> Friday, 03 - 28

3500037 --> Friday, 04 - 17

3500038 --> Friday, 04 - 09

3500039 --> Friday, 03 - 25

3500040 --> Friday, 04 - 13

3500041 --> Friday, 04 - 05

3500042 --> Friday, 03 - 21

3500043 --> Friday, 04 - 10

3500044 --> Friday, 04 - 01

3500045 --> Friday, 04 - 21

3500046 --> Friday, 04 - 06

3500047 --> Friday, 03 - 29

3500048 --> Friday, 04 - 17

3500049 --> Friday, 04 - 02

3500050 --> Friday, 03 - 25

3500051 --> Friday, 04 - 14

3500052 --> Friday, 04 - 05

3500053 --> Friday, 04 - 18

3500054 --> Friday, 04 - 10

3500055 --> Friday, 04 - 02

3500056 --> Friday, 04 - 21

3500057 --> Friday, 04 - 06

3500058 --> Friday, 03 - 29

3500059 --> Friday, 04 - 18

3500060 --> Friday, 04 - 02

3500061 --> Friday, 03 - 25

3500062 --> Friday, 04 - 14

3500063 --> Friday, 03 - 30

3500064 --> Friday, 04 - 18

3500065 --> Friday, 04 - 10

3500066 --> Friday, 03 - 26

3500067 --> Friday, 04 - 15

3500068 --> Friday, 04 - 06

3500069 --> Friday, 03 - 22

3500070 --> Friday, 04 - 11

3500071 --> Friday, 04 - 03

3500072 --> Friday, 04 - 22

3500073 --> Friday, 04 - 07

3500074 --> Friday, 03 - 30

3500075 --> Friday, 04 - 19

3500076 --> Friday, 04 - 10

3500077 --> Friday, 03 - 26

3500078 --> Friday, 04 - 15

3500079 --> Friday, 04 - 07

3500080 --> Friday, 03 - 22

3500081 --> Friday, 04 - 11

3500082 --> Friday, 04 - 03

3500083 --> Friday, 04 - 16

3500084 --> Friday, 04 - 07

3500085 --> Friday, 03 - 30

3500086 --> Friday, 04 - 19

3500087 --> Friday, 04 - 04

3500088 --> Friday, 03 - 26

