Good Friday given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 0780000 through 0789999



0780000 --> Friday, 04 - 21

0780001 --> Friday, 04 - 06

0780002 --> Friday, 03 - 29

0780003 --> Friday, 04 - 18

0780004 --> Friday, 04 - 02

0780005 --> Friday, 03 - 25

0780006 --> Friday, 04 - 14

0780007 --> Friday, 03 - 30

0780008 --> Friday, 04 - 18

0780009 --> Friday, 04 - 10

0780010 --> Friday, 03 - 26

0780011 --> Friday, 04 - 15

0780012 --> Friday, 04 - 06

0780013 --> Friday, 03 - 29

0780014 --> Friday, 04 - 11

0780015 --> Friday, 04 - 03

0780016 --> Friday, 03 - 25

0780017 --> Friday, 04 - 14

0780018 --> Friday, 03 - 30

0780019 --> Friday, 04 - 19

0780020 --> Friday, 04 - 10

0780021 --> Friday, 03 - 26

0780022 --> Friday, 04 - 15

0780023 --> Friday, 04 - 07

0780024 --> Friday, 03 - 22

0780025 --> Friday, 04 - 11

0780026 --> Friday, 04 - 03

0780027 --> Friday, 04 - 23

0780028 --> Friday, 04 - 07

0780029 --> Friday, 03 - 30

0780030 --> Friday, 04 - 19

0780031 --> Friday, 04 - 04

0780032 --> Friday, 03 - 26

0780033 --> Friday, 04 - 15

0780034 --> Friday, 03 - 31

0780035 --> Friday, 03 - 23

0780036 --> Friday, 04 - 11

0780037 --> Friday, 04 - 03

0780038 --> Friday, 04 - 16

0780039 --> Friday, 04 - 08

0780040 --> Friday, 03 - 30

0780041 --> Friday, 04 - 19

0780042 --> Friday, 04 - 04

0780043 --> Friday, 03 - 27

0780044 --> Friday, 04 - 15

0780045 --> Friday, 03 - 31

0780046 --> Friday, 04 - 20

0780047 --> Friday, 04 - 12

0780048 --> Friday, 03 - 27

0780049 --> Friday, 04 - 16

0780050 --> Friday, 04 - 08

0780051 --> Friday, 03 - 24

0780052 --> Friday, 04 - 12

0780053 --> Friday, 04 - 04

0780054 --> Friday, 03 - 20

0780055 --> Friday, 04 - 09

0780056 --> Friday, 03 - 31

0780057 --> Friday, 04 - 20

0780058 --> Friday, 04 - 05

0780059 --> Friday, 03 - 28

0780060 --> Friday, 04 - 16

0780061 --> Friday, 04 - 08

0780062 --> Friday, 03 - 24

0780063 --> Friday, 04 - 13

0780064 --> Friday, 04 - 04

0780065 --> Friday, 04 - 17

0780066 --> Friday, 04 - 09

0780067 --> Friday, 04 - 01

0780068 --> Friday, 04 - 20

0780069 --> Friday, 04 - 05

0780070 --> Friday, 03 - 28

0780071 --> Friday, 04 - 17

0780072 --> Friday, 04 - 01

