Good Friday given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 1610000 through 1619999



1610000 --> Friday, 04 - 07

1610001 --> Friday, 03 - 23

1610002 --> Friday, 04 - 12

1610003 --> Friday, 03 - 28

1610004 --> Friday, 04 - 16

1610005 --> Friday, 04 - 08

1610006 --> Friday, 03 - 31

1610007 --> Friday, 04 - 13

1610008 --> Friday, 04 - 04

1610009 --> Friday, 03 - 27

1610010 --> Friday, 04 - 16

1610011 --> Friday, 04 - 01

1610012 --> Friday, 04 - 20

1610013 --> Friday, 04 - 12

1610014 --> Friday, 03 - 28

1610015 --> Friday, 04 - 17

1610016 --> Friday, 04 - 08

1610017 --> Friday, 03 - 24

1610018 --> Friday, 04 - 13

1610019 --> Friday, 04 - 05

1610020 --> Friday, 03 - 27

1610021 --> Friday, 04 - 09

1610022 --> Friday, 04 - 01

1610023 --> Friday, 04 - 21

1610024 --> Friday, 04 - 05

1610025 --> Friday, 03 - 28

1610026 --> Friday, 04 - 17

1610027 --> Friday, 04 - 02

1610028 --> Friday, 03 - 24

1610029 --> Friday, 04 - 13

1610030 --> Friday, 04 - 05

1610031 --> Friday, 04 - 18

1610032 --> Friday, 04 - 09

1610033 --> Friday, 04 - 01

1610034 --> Friday, 04 - 21

1610035 --> Friday, 04 - 06

1610036 --> Friday, 03 - 28

1610037 --> Friday, 04 - 17

1610038 --> Friday, 04 - 02

1610039 --> Friday, 03 - 25

1610040 --> Friday, 04 - 13

1610041 --> Friday, 03 - 29

1610042 --> Friday, 04 - 18

1610043 --> Friday, 04 - 10

1610044 --> Friday, 03 - 25

1610045 --> Friday, 04 - 14

1610046 --> Friday, 04 - 06

1610047 --> Friday, 03 - 22

1610048 --> Friday, 04 - 10

1610049 --> Friday, 04 - 02

1610050 --> Friday, 04 - 22

1610051 --> Friday, 04 - 07

1610052 --> Friday, 03 - 29

1610053 --> Friday, 04 - 18

1610054 --> Friday, 04 - 10

1610055 --> Friday, 03 - 26

1610056 --> Friday, 04 - 14

1610057 --> Friday, 04 - 06

1610058 --> Friday, 03 - 22

1610059 --> Friday, 04 - 11

1610060 --> Friday, 04 - 02

1610061 --> Friday, 04 - 22

1610062 --> Friday, 04 - 07

1610063 --> Friday, 03 - 30

1610064 --> Friday, 04 - 18

1610065 --> Friday, 04 - 03

1610066 --> Friday, 03 - 26

1610067 --> Friday, 04 - 15

1610068 --> Friday, 03 - 30

1610069 --> Friday, 04 - 19

1610070 --> Friday, 04 - 11

1610071 --> Friday, 03 - 27

1610072 --> Friday, 04 - 15

1610073 --> Friday, 04 - 07

1610074 --> Friday, 03 - 30

1610075 --> Friday, 04 - 12

1610076 --> Friday, 04 - 03

1610077 --> Friday, 03 - 26

1610078 --> Friday, 04 - 15

1610079 --> Friday, 03 - 31

1610080 --> Friday, 04 - 19

1610081 --> Friday, 04 - 11

1610082 --> Friday, 03 - 27

1610083 --> Friday, 04 - 16

1610084 --> Friday, 04 - 07

1610085 --> Friday, 03 - 23

1610086 --> Friday, 04 - 12

1610087 --> Friday, 04 - 04

1610088 --> Friday, 04 - 23

1610089 --> Friday, 04 - 08

1610090 --> Friday, 03 - 31

1610091 --> Friday, 04 - 20

1610092 --> Friday, 04 - 04

1610093 --> Friday, 03 - 27

1610094 --> Friday, 04 - 16

1610095 --> Friday, 04 - 01

1610096 --> Friday, 03 - 23

1610097 --> Friday, 04 - 12

1610098 --> Friday, 03 - 28

1610099 --> Friday, 04 - 17

1610100 --> Friday, 04 - 09

1610101 --> Friday, 04 - 01

1610102 --> Friday, 04 - 14

1610103 --> Friday, 04 - 06

1610104 --> Friday, 03 - 28

1610105 --> Friday, 04 - 17

1610106 --> Friday, 04 - 02

1610107 --> Friday, 03 - 25

1610108 --> Friday, 04 - 13

1610109 --> Friday, 03 - 29

1610110 --> Friday, 04 - 18

1610111 --> Friday, 04 - 10

1610112 --> Friday, 03 - 25

1610113 --> Friday, 04 - 14

1610114 --> Friday, 04 - 06

1610115 --> Friday, 03 - 22

1610116 --> Friday, 04 - 10

1610117 --> Friday, 04 - 02

1610118 --> Friday, 04 - 22

1610119 --> Friday, 04 - 07

1610120 --> Friday, 03 - 29

1610121 --> Friday, 04 - 18

1610122 --> Friday, 04 - 03

1610123 --> Friday, 03 - 26

1610124 --> Friday, 04 - 14

1610125 --> Friday, 04 - 06

1610126 --> Friday, 03 - 22

1610127 --> Friday, 04 - 11

1610128 --> Friday, 04 - 02

1610129 --> Friday, 04 - 22

1610130 --> Friday, 04 - 07

1610131 --> Friday, 03 - 30

1610132 --> Friday, 04 - 18

1610133 --> Friday, 04 - 03

1610134 --> Friday, 03 - 26

1610135 --> Friday, 04 - 15

1610136 --> Friday, 03 - 30

1610137 --> Friday, 04 - 19

1610138 --> Friday, 04 - 11

1610139 --> Friday, 03 - 27

1610140 --> Friday, 04 - 15

1610141 --> Friday, 04 - 07

1610142 --> Friday, 03 - 23

1610143 --> Friday, 04 - 12

1610144 --> Friday, 04 - 03

1610145 --> Friday, 03 - 26

1610146 --> Friday, 04 - 08

1610147 --> Friday, 03 - 31

1610148 --> Friday, 04 - 19

1610149 --> Friday, 04 - 11

1610150 --> Friday, 03 - 27

1610151 --> Friday, 04 - 16

1610152 --> Friday, 04 - 07

1610153 --> Friday, 03 - 23

1610154 --> Friday, 04 - 12

1610155 --> Friday, 04 - 04

1610156 --> Friday, 04 - 23

1610157 --> Friday, 04 - 08

1610158 --> Friday, 03 - 31

1610159 --> Friday, 04 - 20

1610160 --> Friday, 04 - 04

1610161 --> Friday, 03 - 27

1610162 --> Friday, 04 - 16

1610163 --> Friday, 04 - 01

1610164 --> Friday, 03 - 23

1610165 --> Friday, 04 - 12

1610166 --> Friday, 03 - 28

1610167 --> Friday, 04 - 17

1610168 --> Friday, 04 - 08

1610169 --> Friday, 03 - 31

1610170 --> Friday, 04 - 13

1610171 --> Friday, 04 - 05

1610172 --> Friday, 03 - 27

1610173 --> Friday, 04 - 16

1610174 --> Friday, 04 - 01

1610175 --> Friday, 04 - 21

1610176 --> Friday, 04 - 12

1610177 --> Friday, 03 - 28

1610178 --> Friday, 04 - 17

1610179 --> Friday, 04 - 09

1610180 --> Friday, 03 - 24

1610181 --> Friday, 04 - 13

1610182 --> Friday, 04 - 05

1610183 --> Friday, 03 - 21

1610184 --> Friday, 04 - 09

1610185 --> Friday, 04 - 01

1610186 --> Friday, 04 - 21

1610187 --> Friday, 04 - 06

1610188 --> Friday, 03 - 28

1610189 --> Friday, 04 - 17

1610190 --> Friday, 04 - 02

1610191 --> Friday, 03 - 25

1610192 --> Friday, 04 - 13

1610193 --> Friday, 03 - 29

1610194 --> Friday, 04 - 18

1610195 --> Friday, 04 - 10

1610196 --> Friday, 04 - 01

1610197 --> Friday, 04 - 14

1610198 --> Friday, 04 - 06

1610199 --> Friday, 03 - 29

1610200 --> Friday, 04 - 11

1610201 --> Friday, 04 - 03

1610202 --> Friday, 03 - 26

1610203 --> Friday, 04 - 08

1610204 --> Friday, 03 - 30

1610205 --> Friday, 04 - 19

1610206 --> Friday, 04 - 11

1610207 --> Friday, 03 - 27

1610208 --> Friday, 04 - 15

1610209 --> Friday, 04 - 07

1610210 --> Friday, 03 - 23

1610211 --> Friday, 04 - 12

1610212 --> Friday, 04 - 03

1610213 --> Friday, 04 - 23

1610214 --> Friday, 04 - 08

1610215 --> Friday, 03 - 31

1610216 --> Friday, 04 - 19

1610217 --> Friday, 04 - 04

1610218 --> Friday, 03 - 27

1610219 --> Friday, 04 - 16

1610220 --> Friday, 03 - 31

