Good Friday given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 0570000 through 0579999



0570000 --> Friday, 03 - 31

0570001 --> Friday, 04 - 20

0570002 --> Friday, 04 - 05

0570003 --> Friday, 03 - 28

0570004 --> Friday, 04 - 16

0570005 --> Friday, 04 - 01

0570006 --> Friday, 03 - 24

0570007 --> Friday, 04 - 13

0570008 --> Friday, 03 - 28

0570009 --> Friday, 04 - 17

0570010 --> Friday, 04 - 09

0570011 --> Friday, 03 - 25

0570012 --> Friday, 04 - 13

0570013 --> Friday, 04 - 05

0570014 --> Friday, 03 - 28

0570015 --> Friday, 04 - 10

0570016 --> Friday, 04 - 01

0570017 --> Friday, 04 - 21

0570018 --> Friday, 04 - 13

0570019 --> Friday, 03 - 29

0570020 --> Friday, 04 - 17

0570021 --> Friday, 04 - 09

0570022 --> Friday, 03 - 25

0570023 --> Friday, 04 - 14

0570024 --> Friday, 04 - 05

0570025 --> Friday, 03 - 21

0570026 --> Friday, 04 - 10

0570027 --> Friday, 04 - 02

0570028 --> Friday, 04 - 21

0570029 --> Friday, 04 - 06

0570030 --> Friday, 03 - 29

0570031 --> Friday, 04 - 18

0570032 --> Friday, 04 - 02

0570033 --> Friday, 03 - 25

0570034 --> Friday, 04 - 14

0570035 --> Friday, 03 - 30

0570036 --> Friday, 04 - 18

0570037 --> Friday, 04 - 10

0570038 --> Friday, 03 - 26

0570039 --> Friday, 04 - 15

0570040 --> Friday, 04 - 06

0570041 --> Friday, 03 - 29

0570042 --> Friday, 04 - 11

0570043 --> Friday, 04 - 03

0570044 --> Friday, 03 - 25

0570045 --> Friday, 04 - 14

0570046 --> Friday, 03 - 30

0570047 --> Friday, 04 - 19

0570048 --> Friday, 04 - 10

0570049 --> Friday, 03 - 26

0570050 --> Friday, 04 - 15

0570051 --> Friday, 04 - 07

0570052 --> Friday, 03 - 22

0570053 --> Friday, 04 - 11

0570054 --> Friday, 04 - 03

0570055 --> Friday, 04 - 23

0570056 --> Friday, 04 - 07

0570057 --> Friday, 03 - 30

0570058 --> Friday, 04 - 19

0570059 --> Friday, 04 - 04

0570060 --> Friday, 03 - 26

0570061 --> Friday, 04 - 15

0570062 --> Friday, 03 - 31

0570063 --> Friday, 03 - 23

0570064 --> Friday, 04 - 11

0570065 --> Friday, 04 - 03

0570066 --> Friday, 04 - 16

0570067 --> Friday, 04 - 08

0570068 --> Friday, 03 - 30

