Good Friday given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 4460000 through 4469999



4460000 --> Friday, 04 - 21

4460001 --> Friday, 04 - 06

4460002 --> Friday, 03 - 29

4460003 --> Friday, 04 - 18

4460004 --> Friday, 04 - 02

4460005 --> Friday, 03 - 25

4460006 --> Friday, 04 - 14

4460007 --> Friday, 03 - 30

4460008 --> Friday, 04 - 18

4460009 --> Friday, 04 - 10

4460010 --> Friday, 03 - 26

4460011 --> Friday, 04 - 15

4460012 --> Friday, 04 - 06

4460013 --> Friday, 03 - 29

4460014 --> Friday, 04 - 11

4460015 --> Friday, 04 - 03

4460016 --> Friday, 03 - 25

4460017 --> Friday, 04 - 14

4460018 --> Friday, 03 - 30

4460019 --> Friday, 04 - 19

4460020 --> Friday, 04 - 10

4460021 --> Friday, 03 - 26

4460022 --> Friday, 04 - 15

4460023 --> Friday, 04 - 07

4460024 --> Friday, 03 - 22

4460025 --> Friday, 04 - 11

4460026 --> Friday, 04 - 03

4460027 --> Friday, 04 - 23

4460028 --> Friday, 04 - 07

4460029 --> Friday, 03 - 30

4460030 --> Friday, 04 - 19

4460031 --> Friday, 04 - 04

4460032 --> Friday, 03 - 26

4460033 --> Friday, 04 - 15

4460034 --> Friday, 03 - 31

4460035 --> Friday, 03 - 23

4460036 --> Friday, 04 - 11

4460037 --> Friday, 04 - 03

4460038 --> Friday, 04 - 16

4460039 --> Friday, 04 - 08

4460040 --> Friday, 03 - 30

4460041 --> Friday, 04 - 12

4460042 --> Friday, 04 - 04

4460043 --> Friday, 03 - 27

4460044 --> Friday, 04 - 15

4460045 --> Friday, 03 - 31

4460046 --> Friday, 04 - 20

4460047 --> Friday, 04 - 12

4460048 --> Friday, 03 - 27

4460049 --> Friday, 04 - 16

4460050 --> Friday, 04 - 08

4460051 --> Friday, 03 - 24

4460052 --> Friday, 04 - 12

4460053 --> Friday, 04 - 04

4460054 --> Friday, 03 - 20

4460055 --> Friday, 04 - 09

4460056 --> Friday, 03 - 31

4460057 --> Friday, 04 - 20

4460058 --> Friday, 04 - 05

4460059 --> Friday, 03 - 28

4460060 --> Friday, 04 - 16

4460061 --> Friday, 04 - 01

4460062 --> Friday, 03 - 24

4460063 --> Friday, 04 - 13

4460064 --> Friday, 04 - 04

4460065 --> Friday, 04 - 17

4460066 --> Friday, 04 - 09

4460067 --> Friday, 04 - 01

