Good Friday given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 0310000 through 0319999



0310000 --> Friday, 04 - 07

0310001 --> Friday, 03 - 23

0310002 --> Friday, 04 - 12

0310003 --> Friday, 04 - 04

0310004 --> Friday, 04 - 23

0310005 --> Friday, 04 - 08

0310006 --> Friday, 03 - 31

0310007 --> Friday, 04 - 20

0310008 --> Friday, 04 - 04

0310009 --> Friday, 03 - 27

0310010 --> Friday, 04 - 16

0310011 --> Friday, 04 - 01

0310012 --> Friday, 03 - 23

0310013 --> Friday, 04 - 12

0310014 --> Friday, 03 - 28

0310015 --> Friday, 04 - 17

0310016 --> Friday, 04 - 08

0310017 --> Friday, 03 - 31

0310018 --> Friday, 04 - 13

0310019 --> Friday, 04 - 05

0310020 --> Friday, 03 - 27

0310021 --> Friday, 04 - 16

0310022 --> Friday, 04 - 01

0310023 --> Friday, 04 - 21

0310024 --> Friday, 04 - 12

0310025 --> Friday, 03 - 28

0310026 --> Friday, 04 - 17

0310027 --> Friday, 04 - 09

0310028 --> Friday, 03 - 24

0310029 --> Friday, 04 - 13

0310030 --> Friday, 04 - 05

0310031 --> Friday, 03 - 21

0310032 --> Friday, 04 - 09

0310033 --> Friday, 04 - 01

0310034 --> Friday, 04 - 21

0310035 --> Friday, 04 - 06

0310036 --> Friday, 03 - 28

0310037 --> Friday, 04 - 17

0310038 --> Friday, 04 - 02

0310039 --> Friday, 03 - 25

0310040 --> Friday, 04 - 13

0310041 --> Friday, 04 - 05

0310042 --> Friday, 04 - 18

0310043 --> Friday, 04 - 10

0310044 --> Friday, 04 - 01

0310045 --> Friday, 04 - 14

0310046 --> Friday, 04 - 06

0310047 --> Friday, 03 - 29

0310048 --> Friday, 04 - 17

0310049 --> Friday, 04 - 02

0310050 --> Friday, 03 - 25

0310051 --> Friday, 04 - 14

0310052 --> Friday, 03 - 29

0310053 --> Friday, 04 - 18

0310054 --> Friday, 04 - 10

0310055 --> Friday, 03 - 26

0310056 --> Friday, 04 - 14

0310057 --> Friday, 04 - 06

0310058 --> Friday, 03 - 22

