Good Friday given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 2740000 through 2749999



2740000 --> Friday, 04 - 07

2740001 --> Friday, 03 - 30

2740002 --> Friday, 04 - 19

2740003 --> Friday, 04 - 04

2740004 --> Friday, 03 - 26

2740005 --> Friday, 04 - 15

2740006 --> Friday, 03 - 31

2740007 --> Friday, 03 - 23

2740008 --> Friday, 04 - 11

2740009 --> Friday, 03 - 27

2740010 --> Friday, 04 - 16

2740011 --> Friday, 04 - 08

2740012 --> Friday, 03 - 30

2740013 --> Friday, 04 - 12

2740014 --> Friday, 04 - 04

2740015 --> Friday, 03 - 27

2740016 --> Friday, 04 - 15

2740017 --> Friday, 03 - 31

2740018 --> Friday, 04 - 20

2740019 --> Friday, 04 - 12

2740020 --> Friday, 03 - 27

2740021 --> Friday, 04 - 16

2740022 --> Friday, 04 - 08

2740023 --> Friday, 03 - 24

2740024 --> Friday, 04 - 12

2740025 --> Friday, 04 - 04

2740026 --> Friday, 03 - 20

2740027 --> Friday, 04 - 09

2740028 --> Friday, 03 - 31

2740029 --> Friday, 04 - 20

2740030 --> Friday, 04 - 05

2740031 --> Friday, 03 - 28

2740032 --> Friday, 04 - 16

2740033 --> Friday, 04 - 01

2740034 --> Friday, 03 - 24

2740035 --> Friday, 04 - 13

2740036 --> Friday, 04 - 04

2740037 --> Friday, 04 - 17

2740038 --> Friday, 04 - 09

2740039 --> Friday, 04 - 01

2740040 --> Friday, 04 - 20

2740041 --> Friday, 04 - 05

2740042 --> Friday, 03 - 28

2740043 --> Friday, 04 - 17

2740044 --> Friday, 04 - 01

2740045 --> Friday, 03 - 24

2740046 --> Friday, 04 - 13

2740047 --> Friday, 03 - 29

2740048 --> Friday, 04 - 17

2740049 --> Friday, 04 - 09

2740050 --> Friday, 03 - 25

2740051 --> Friday, 04 - 14

2740052 --> Friday, 04 - 05

2740053 --> Friday, 03 - 21

2740054 --> Friday, 04 - 10

2740055 --> Friday, 04 - 02

2740056 --> Friday, 04 - 21

2740057 --> Friday, 04 - 06

2740058 --> Friday, 03 - 29

2740059 --> Friday, 04 - 18

2740060 --> Friday, 04 - 09

2740061 --> Friday, 03 - 25

2740062 --> Friday, 04 - 14

2740063 --> Friday, 04 - 06

2740064 --> Friday, 03 - 21

2740065 --> Friday, 04 - 10

2740066 --> Friday, 04 - 02

2740067 --> Friday, 04 - 15

2740068 --> Friday, 04 - 06

2740069 --> Friday, 03 - 29

2740070 --> Friday, 04 - 18

2740071 --> Friday, 04 - 03

2740072 --> Friday, 03 - 25

2740073 --> Friday, 04 - 14

2740074 --> Friday, 03 - 30

2740075 --> Friday, 04 - 19

2740076 --> Friday, 04 - 10

2740077 --> Friday, 03 - 26

2740078 --> Friday, 04 - 15

2740079 --> Friday, 04 - 07

2740080 --> Friday, 03 - 29

2740081 --> Friday, 04 - 11

2740082 --> Friday, 04 - 03

2740083 --> Friday, 03 - 26

2740084 --> Friday, 04 - 14

2740085 --> Friday, 03 - 30

2740086 --> Friday, 04 - 19

2740087 --> Friday, 04 - 04

2740088 --> Friday, 03 - 26

2740089 --> Friday, 04 - 15

2740090 --> Friday, 04 - 07

2740091 --> Friday, 03 - 23

2740092 --> Friday, 04 - 11

2740093 --> Friday, 04 - 03

2740094 --> Friday, 04 - 23

2740095 --> Friday, 04 - 08

2740096 --> Friday, 03 - 30

2740097 --> Friday, 04 - 19

2740098 --> Friday, 04 - 04

2740099 --> Friday, 03 - 27

2740100 --> Friday, 04 - 16

2740101 --> Friday, 04 - 01

2740102 --> Friday, 03 - 24

2740103 --> Friday, 04 - 13

2740104 --> Friday, 03 - 28

2740105 --> Friday, 04 - 17

