Good Friday given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 3900000 through 3909999



3900000 --> Friday, 04 - 07

3900001 --> Friday, 03 - 23

3900002 --> Friday, 04 - 12

3900003 --> Friday, 04 - 04

3900004 --> Friday, 04 - 23

3900005 --> Friday, 04 - 08

3900006 --> Friday, 03 - 31

3900007 --> Friday, 04 - 20

3900008 --> Friday, 04 - 04

3900009 --> Friday, 03 - 27

3900010 --> Friday, 04 - 16

3900011 --> Friday, 04 - 01

3900012 --> Friday, 03 - 23

3900013 --> Friday, 04 - 12

3900014 --> Friday, 03 - 28

3900015 --> Friday, 04 - 17

3900016 --> Friday, 04 - 08

3900017 --> Friday, 03 - 24

3900018 --> Friday, 04 - 13

3900019 --> Friday, 04 - 05

3900020 --> Friday, 03 - 27

3900021 --> Friday, 04 - 09

3900022 --> Friday, 04 - 01

3900023 --> Friday, 04 - 21

3900024 --> Friday, 04 - 12

3900025 --> Friday, 03 - 28

3900026 --> Friday, 04 - 17

3900027 --> Friday, 04 - 09

3900028 --> Friday, 03 - 24

3900029 --> Friday, 04 - 13

3900030 --> Friday, 04 - 05

3900031 --> Friday, 03 - 21

3900032 --> Friday, 04 - 09

3900033 --> Friday, 04 - 01

3900034 --> Friday, 04 - 21

3900035 --> Friday, 04 - 06

3900036 --> Friday, 03 - 28

3900037 --> Friday, 04 - 17

3900038 --> Friday, 04 - 02

3900039 --> Friday, 03 - 25

3900040 --> Friday, 04 - 13

3900041 --> Friday, 03 - 29

3900042 --> Friday, 04 - 18

3900043 --> Friday, 04 - 10

3900044 --> Friday, 04 - 01

3900045 --> Friday, 04 - 14

3900046 --> Friday, 04 - 06

3900047 --> Friday, 03 - 29

3900048 --> Friday, 04 - 17

3900049 --> Friday, 04 - 02

3900050 --> Friday, 03 - 25

3900051 --> Friday, 04 - 14

3900052 --> Friday, 03 - 29

3900053 --> Friday, 04 - 18

3900054 --> Friday, 04 - 10

3900055 --> Friday, 03 - 26

3900056 --> Friday, 04 - 14

3900057 --> Friday, 04 - 06

3900058 --> Friday, 03 - 22

3900059 --> Friday, 04 - 11

3900060 --> Friday, 04 - 02

3900061 --> Friday, 04 - 22

3900062 --> Friday, 04 - 07

3900063 --> Friday, 03 - 30

3900064 --> Friday, 04 - 18

3900065 --> Friday, 04 - 03

3900066 --> Friday, 03 - 26

3900067 --> Friday, 04 - 15

3900068 --> Friday, 04 - 06

3900069 --> Friday, 03 - 22

3900070 --> Friday, 04 - 11

