Good Friday given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 0990000 through 0999999



0990000 --> Friday, 04 - 07

0990001 --> Friday, 03 - 30

0990002 --> Friday, 04 - 19

0990003 --> Friday, 04 - 04

0990004 --> Friday, 03 - 26

0990005 --> Friday, 04 - 15

0990006 --> Friday, 03 - 31

0990007 --> Friday, 03 - 23

0990008 --> Friday, 04 - 11

0990009 --> Friday, 04 - 03

0990010 --> Friday, 04 - 16

0990011 --> Friday, 04 - 08

0990012 --> Friday, 03 - 30

0990013 --> Friday, 04 - 19

0990014 --> Friday, 04 - 04

0990015 --> Friday, 03 - 27

0990016 --> Friday, 04 - 15

0990017 --> Friday, 03 - 31

0990018 --> Friday, 04 - 20

0990019 --> Friday, 04 - 12

0990020 --> Friday, 03 - 27

0990021 --> Friday, 04 - 16

0990022 --> Friday, 04 - 08

0990023 --> Friday, 03 - 24

0990024 --> Friday, 04 - 12

0990025 --> Friday, 04 - 04

0990026 --> Friday, 03 - 20

0990027 --> Friday, 04 - 09

0990028 --> Friday, 03 - 31

0990029 --> Friday, 04 - 20

0990030 --> Friday, 04 - 05

0990031 --> Friday, 03 - 28

0990032 --> Friday, 04 - 16

0990033 --> Friday, 04 - 01

0990034 --> Friday, 03 - 24

0990035 --> Friday, 04 - 13

0990036 --> Friday, 04 - 04

0990037 --> Friday, 04 - 17

0990038 --> Friday, 04 - 09

0990039 --> Friday, 04 - 01

0990040 --> Friday, 04 - 20

0990041 --> Friday, 04 - 05

0990042 --> Friday, 03 - 28

0990043 --> Friday, 04 - 17

0990044 --> Friday, 04 - 01

0990045 --> Friday, 03 - 24

0990046 --> Friday, 04 - 13

0990047 --> Friday, 03 - 29

0990048 --> Friday, 04 - 17

0990049 --> Friday, 04 - 09

0990050 --> Friday, 03 - 25

0990051 --> Friday, 04 - 14

0990052 --> Friday, 04 - 05

0990053 --> Friday, 03 - 21

0990054 --> Friday, 04 - 10

0990055 --> Friday, 04 - 02

0990056 --> Friday, 04 - 21

0990057 --> Friday, 04 - 06

0990058 --> Friday, 03 - 29

0990059 --> Friday, 04 - 18

0990060 --> Friday, 04 - 09

0990061 --> Friday, 03 - 25

0990062 --> Friday, 04 - 14

0990063 --> Friday, 04 - 06

0990064 --> Friday, 03 - 21

0990065 --> Friday, 04 - 10

