Good Friday given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 4480000 through 4489999



4480000 --> Friday, 03 - 31

4480001 --> Friday, 04 - 20

4480002 --> Friday, 04 - 12

4480003 --> Friday, 03 - 28

4480004 --> Friday, 04 - 16

4480005 --> Friday, 04 - 08

4480006 --> Friday, 03 - 24

4480007 --> Friday, 04 - 13

4480008 --> Friday, 04 - 04

4480009 --> Friday, 03 - 27

4480010 --> Friday, 04 - 09

4480011 --> Friday, 04 - 01

4480012 --> Friday, 04 - 20

4480013 --> Friday, 04 - 05

4480014 --> Friday, 03 - 28

4480015 --> Friday, 04 - 17

4480016 --> Friday, 04 - 08

4480017 --> Friday, 03 - 24

4480018 --> Friday, 04 - 13

4480019 --> Friday, 04 - 05

4480020 --> Friday, 04 - 17

4480021 --> Friday, 04 - 09

4480022 --> Friday, 04 - 01

4480023 --> Friday, 04 - 21

4480024 --> Friday, 04 - 05

4480025 --> Friday, 03 - 28

4480026 --> Friday, 04 - 17

4480027 --> Friday, 04 - 02

4480028 --> Friday, 03 - 24

4480029 --> Friday, 04 - 13

4480030 --> Friday, 03 - 29

4480031 --> Friday, 04 - 18

4480032 --> Friday, 04 - 09

4480033 --> Friday, 03 - 25

4480034 --> Friday, 04 - 14

4480035 --> Friday, 04 - 06

4480036 --> Friday, 03 - 28

4480037 --> Friday, 04 - 10

4480038 --> Friday, 04 - 02

4480039 --> Friday, 04 - 22

4480040 --> Friday, 04 - 13

4480041 --> Friday, 03 - 29

4480042 --> Friday, 04 - 18

4480043 --> Friday, 04 - 10

4480044 --> Friday, 03 - 25

4480045 --> Friday, 04 - 14

4480046 --> Friday, 04 - 06

4480047 --> Friday, 03 - 22

4480048 --> Friday, 04 - 10

4480049 --> Friday, 04 - 02

4480050 --> Friday, 04 - 22

4480051 --> Friday, 04 - 07

4480052 --> Friday, 03 - 29

4480053 --> Friday, 04 - 18

4480054 --> Friday, 04 - 03

4480055 --> Friday, 03 - 26

4480056 --> Friday, 04 - 14

4480057 --> Friday, 03 - 30

4480058 --> Friday, 04 - 19

4480059 --> Friday, 04 - 11

4480060 --> Friday, 04 - 02

4480061 --> Friday, 04 - 15

4480062 --> Friday, 04 - 07

4480063 --> Friday, 03 - 30

4480064 --> Friday, 04 - 18

4480065 --> Friday, 04 - 03

4480066 --> Friday, 03 - 26

4480067 --> Friday, 04 - 08

4480068 --> Friday, 03 - 30

4480069 --> Friday, 04 - 19

4480070 --> Friday, 04 - 11

4480071 --> Friday, 03 - 27

4480072 --> Friday, 04 - 15

4480073 --> Friday, 04 - 07

4480074 --> Friday, 03 - 23

4480075 --> Friday, 04 - 12

4480076 --> Friday, 04 - 03

4480077 --> Friday, 04 - 23

4480078 --> Friday, 04 - 08

4480079 --> Friday, 03 - 31

4480080 --> Friday, 04 - 19

4480081 --> Friday, 04 - 04

4480082 --> Friday, 03 - 27

4480083 --> Friday, 04 - 16

4480084 --> Friday, 04 - 07

4480085 --> Friday, 03 - 23

4480086 --> Friday, 04 - 12

4480087 --> Friday, 03 - 28

4480088 --> Friday, 04 - 16

4480089 --> Friday, 04 - 08

4480090 --> Friday, 03 - 31

4480091 --> Friday, 04 - 13

4480092 --> Friday, 04 - 04

4480093 --> Friday, 03 - 27

4480094 --> Friday, 04 - 16

4480095 --> Friday, 04 - 01

4480096 --> Friday, 04 - 20

4480097 --> Friday, 04 - 12

4480098 --> Friday, 03 - 28

4480099 --> Friday, 04 - 17

4480100 --> Friday, 04 - 09

4480101 --> Friday, 03 - 25

4480102 --> Friday, 04 - 14

4480103 --> Friday, 04 - 06

4480104 --> Friday, 03 - 28

4480105 --> Friday, 04 - 10

4480106 --> Friday, 04 - 02

4480107 --> Friday, 04 - 22

4480108 --> Friday, 04 - 06

4480109 --> Friday, 03 - 29

4480110 --> Friday, 04 - 18

4480111 --> Friday, 04 - 03

4480112 --> Friday, 03 - 25

4480113 --> Friday, 04 - 14

4480114 --> Friday, 04 - 06

4480115 --> Friday, 03 - 22

4480116 --> Friday, 04 - 10

4480117 --> Friday, 04 - 02

4480118 --> Friday, 04 - 22

4480119 --> Friday, 04 - 07

4480120 --> Friday, 03 - 29

4480121 --> Friday, 04 - 18

4480122 --> Friday, 04 - 03

4480123 --> Friday, 03 - 26

4480124 --> Friday, 04 - 14

4480125 --> Friday, 03 - 30

4480126 --> Friday, 04 - 19

4480127 --> Friday, 04 - 11

4480128 --> Friday, 03 - 26

4480129 --> Friday, 04 - 15

4480130 --> Friday, 04 - 07

4480131 --> Friday, 03 - 23

4480132 --> Friday, 04 - 11

4480133 --> Friday, 04 - 03

4480134 --> Friday, 03 - 26

4480135 --> Friday, 04 - 08

4480136 --> Friday, 03 - 30

4480137 --> Friday, 04 - 19

4480138 --> Friday, 04 - 11

4480139 --> Friday, 03 - 27

4480140 --> Friday, 04 - 15

