Good Friday given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 1290000 through 1299999



1290000 --> Friday, 03 - 31

1290001 --> Friday, 04 - 20

1290002 --> Friday, 04 - 05

1290003 --> Friday, 03 - 28

1290004 --> Friday, 04 - 16

1290005 --> Friday, 04 - 01

1290006 --> Friday, 03 - 24

1290007 --> Friday, 04 - 13

1290008 --> Friday, 04 - 04

1290009 --> Friday, 04 - 17

1290010 --> Friday, 04 - 09

1290011 --> Friday, 04 - 01

1290012 --> Friday, 04 - 20

1290013 --> Friday, 04 - 05

1290014 --> Friday, 03 - 28

1290015 --> Friday, 04 - 17

1290016 --> Friday, 04 - 01

1290017 --> Friday, 03 - 24

1290018 --> Friday, 04 - 13

1290019 --> Friday, 03 - 29

1290020 --> Friday, 04 - 17

1290021 --> Friday, 04 - 09

1290022 --> Friday, 03 - 25

1290023 --> Friday, 04 - 14

1290024 --> Friday, 04 - 05

1290025 --> Friday, 03 - 21

1290026 --> Friday, 04 - 10

1290027 --> Friday, 04 - 02

1290028 --> Friday, 04 - 21

1290029 --> Friday, 04 - 06

1290030 --> Friday, 03 - 29

1290031 --> Friday, 04 - 18

1290032 --> Friday, 04 - 09

1290033 --> Friday, 03 - 25

1290034 --> Friday, 04 - 14

1290035 --> Friday, 04 - 06

1290036 --> Friday, 03 - 21

1290037 --> Friday, 04 - 10

1290038 --> Friday, 04 - 02

1290039 --> Friday, 04 - 22

1290040 --> Friday, 04 - 06

1290041 --> Friday, 03 - 29

1290042 --> Friday, 04 - 18

1290043 --> Friday, 04 - 03

1290044 --> Friday, 03 - 25

1290045 --> Friday, 04 - 14

1290046 --> Friday, 03 - 30

1290047 --> Friday, 04 - 19

1290048 --> Friday, 04 - 10

1290049 --> Friday, 03 - 26

1290050 --> Friday, 04 - 15

1290051 --> Friday, 04 - 07

1290052 --> Friday, 03 - 29

1290053 --> Friday, 04 - 11

1290054 --> Friday, 04 - 03

1290055 --> Friday, 03 - 26

1290056 --> Friday, 04 - 14

1290057 --> Friday, 03 - 30

1290058 --> Friday, 04 - 19

1290059 --> Friday, 04 - 11

1290060 --> Friday, 03 - 26

1290061 --> Friday, 04 - 15

1290062 --> Friday, 04 - 07

1290063 --> Friday, 03 - 23

1290064 --> Friday, 04 - 11

1290065 --> Friday, 04 - 03

1290066 --> Friday, 04 - 23

1290067 --> Friday, 04 - 08

1290068 --> Friday, 03 - 30

1290069 --> Friday, 04 - 19

1290070 --> Friday, 04 - 04

1290071 --> Friday, 03 - 27

1290072 --> Friday, 04 - 15

1290073 --> Friday, 03 - 31

1290074 --> Friday, 03 - 23

1290075 --> Friday, 04 - 12

1290076 --> Friday, 04 - 03

1290077 --> Friday, 04 - 16

1290078 --> Friday, 04 - 08

1290079 --> Friday, 03 - 31

1290080 --> Friday, 04 - 19

1290081 --> Friday, 04 - 04

1290082 --> Friday, 03 - 27

1290083 --> Friday, 04 - 09

1290084 --> Friday, 03 - 31

1290085 --> Friday, 04 - 20

1290086 --> Friday, 04 - 12

1290087 --> Friday, 03 - 28

1290088 --> Friday, 04 - 16

1290089 --> Friday, 04 - 08

1290090 --> Friday, 03 - 24

1290091 --> Friday, 04 - 13

1290092 --> Friday, 04 - 04

1290093 --> Friday, 03 - 20

1290094 --> Friday, 04 - 09

1290095 --> Friday, 04 - 01

1290096 --> Friday, 04 - 20

1290097 --> Friday, 04 - 05

1290098 --> Friday, 03 - 28

1290099 --> Friday, 04 - 17

1290100 --> Friday, 04 - 02

1290101 --> Friday, 03 - 25

1290102 --> Friday, 04 - 14

1290103 --> Friday, 03 - 30

1290104 --> Friday, 04 - 18

1290105 --> Friday, 04 - 10

1290106 --> Friday, 04 - 02

1290107 --> Friday, 04 - 15

1290108 --> Friday, 04 - 06

1290109 --> Friday, 03 - 29

1290110 --> Friday, 04 - 18

1290111 --> Friday, 04 - 03

1290112 --> Friday, 03 - 25

1290113 --> Friday, 04 - 14

1290114 --> Friday, 03 - 30

1290115 --> Friday, 04 - 19

1290116 --> Friday, 04 - 10

1290117 --> Friday, 03 - 26

1290118 --> Friday, 04 - 15

1290119 --> Friday, 04 - 07

1290120 --> Friday, 03 - 22

1290121 --> Friday, 04 - 11

1290122 --> Friday, 04 - 03

1290123 --> Friday, 04 - 23

1290124 --> Friday, 04 - 07

1290125 --> Friday, 03 - 30

1290126 --> Friday, 04 - 19

1290127 --> Friday, 04 - 04

1290128 --> Friday, 03 - 26

1290129 --> Friday, 04 - 15

1290130 --> Friday, 04 - 07

1290131 --> Friday, 03 - 23

1290132 --> Friday, 04 - 11

1290133 --> Friday, 04 - 03

1290134 --> Friday, 04 - 16

1290135 --> Friday, 04 - 08

1290136 --> Friday, 03 - 30

1290137 --> Friday, 04 - 19

1290138 --> Friday, 04 - 04

1290139 --> Friday, 03 - 27

1290140 --> Friday, 04 - 15

1290141 --> Friday, 03 - 31

1290142 --> Friday, 04 - 20

1290143 --> Friday, 04 - 12

1290144 --> Friday, 03 - 27

1290145 --> Friday, 04 - 16

1290146 --> Friday, 04 - 08

1290147 --> Friday, 03 - 24

1290148 --> Friday, 04 - 12

1290149 --> Friday, 04 - 04

1290150 --> Friday, 03 - 27

1290151 --> Friday, 04 - 09

1290152 --> Friday, 03 - 31

1290153 --> Friday, 04 - 20

1290154 --> Friday, 04 - 12

1290155 --> Friday, 03 - 28

1290156 --> Friday, 04 - 16

1290157 --> Friday, 04 - 08

1290158 --> Friday, 03 - 24

1290159 --> Friday, 04 - 13

1290160 --> Friday, 04 - 04

