Good Friday given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 3830000 through 3839999



3830000 --> Friday, 04 - 21

3830001 --> Friday, 04 - 06

3830002 --> Friday, 03 - 29

3830003 --> Friday, 04 - 11

3830004 --> Friday, 04 - 02

3830005 --> Friday, 03 - 25

3830006 --> Friday, 04 - 14

3830007 --> Friday, 03 - 30

3830008 --> Friday, 04 - 18

3830009 --> Friday, 04 - 10

3830010 --> Friday, 03 - 26

3830011 --> Friday, 04 - 15

3830012 --> Friday, 04 - 06

3830013 --> Friday, 03 - 22

3830014 --> Friday, 04 - 11

3830015 --> Friday, 04 - 03

3830016 --> Friday, 04 - 22

3830017 --> Friday, 04 - 07

3830018 --> Friday, 03 - 30

3830019 --> Friday, 04 - 19

3830020 --> Friday, 04 - 03

3830021 --> Friday, 03 - 26

3830022 --> Friday, 04 - 15

3830023 --> Friday, 03 - 31

3830024 --> Friday, 03 - 22

3830025 --> Friday, 04 - 11

3830026 --> Friday, 04 - 03

3830027 --> Friday, 04 - 16

3830028 --> Friday, 04 - 07

3830029 --> Friday, 03 - 30

3830030 --> Friday, 04 - 19

3830031 --> Friday, 04 - 04

3830032 --> Friday, 03 - 26

3830033 --> Friday, 04 - 15

3830034 --> Friday, 03 - 31

3830035 --> Friday, 04 - 20

3830036 --> Friday, 04 - 11

3830037 --> Friday, 03 - 27

3830038 --> Friday, 04 - 16

3830039 --> Friday, 04 - 08

3830040 --> Friday, 03 - 23

3830041 --> Friday, 04 - 12

3830042 --> Friday, 04 - 04

3830043 --> Friday, 03 - 20

3830044 --> Friday, 04 - 08

3830045 --> Friday, 03 - 31

3830046 --> Friday, 04 - 20

3830047 --> Friday, 04 - 05

3830048 --> Friday, 03 - 27

3830049 --> Friday, 04 - 16

3830050 --> Friday, 04 - 08

3830051 --> Friday, 03 - 24

3830052 --> Friday, 04 - 12

3830053 --> Friday, 04 - 04

3830054 --> Friday, 04 - 17

3830055 --> Friday, 04 - 09

3830056 --> Friday, 03 - 31

3830057 --> Friday, 04 - 20

3830058 --> Friday, 04 - 05

3830059 --> Friday, 03 - 28

3830060 --> Friday, 04 - 16

3830061 --> Friday, 04 - 01

3830062 --> Friday, 03 - 24

3830063 --> Friday, 04 - 13

3830064 --> Friday, 03 - 28

3830065 --> Friday, 04 - 17

3830066 --> Friday, 04 - 09

3830067 --> Friday, 03 - 25

3830068 --> Friday, 04 - 13

3830069 --> Friday, 04 - 05

3830070 --> Friday, 03 - 28

3830071 --> Friday, 04 - 10

3830072 --> Friday, 04 - 01

3830073 --> Friday, 04 - 21

3830074 --> Friday, 04 - 13

3830075 --> Friday, 03 - 29

3830076 --> Friday, 04 - 17

3830077 --> Friday, 04 - 09

3830078 --> Friday, 03 - 25

3830079 --> Friday, 04 - 14

3830080 --> Friday, 04 - 05

3830081 --> Friday, 03 - 21

3830082 --> Friday, 04 - 10

3830083 --> Friday, 04 - 02

3830084 --> Friday, 04 - 21

3830085 --> Friday, 04 - 06

3830086 --> Friday, 03 - 29

3830087 --> Friday, 04 - 18

3830088 --> Friday, 04 - 02

3830089 --> Friday, 03 - 25

3830090 --> Friday, 04 - 14

3830091 --> Friday, 03 - 30

3830092 --> Friday, 04 - 18

3830093 --> Friday, 04 - 10

3830094 --> Friday, 04 - 02

3830095 --> Friday, 04 - 15

3830096 --> Friday, 04 - 06

3830097 --> Friday, 03 - 29

3830098 --> Friday, 04 - 11

3830099 --> Friday, 04 - 03

3830100 --> Friday, 03 - 26

3830101 --> Friday, 04 - 15

3830102 --> Friday, 03 - 31

3830103 --> Friday, 04 - 20

3830104 --> Friday, 04 - 11

3830105 --> Friday, 03 - 27

3830106 --> Friday, 04 - 16

3830107 --> Friday, 04 - 08

3830108 --> Friday, 03 - 23

3830109 --> Friday, 04 - 12

3830110 --> Friday, 04 - 04

3830111 --> Friday, 03 - 20

3830112 --> Friday, 04 - 08

3830113 --> Friday, 03 - 31

3830114 --> Friday, 04 - 20

3830115 --> Friday, 04 - 05

3830116 --> Friday, 03 - 27

3830117 --> Friday, 04 - 16

3830118 --> Friday, 04 - 01

3830119 --> Friday, 03 - 24

3830120 --> Friday, 04 - 12

3830121 --> Friday, 04 - 04

3830122 --> Friday, 04 - 17

3830123 --> Friday, 04 - 09

3830124 --> Friday, 03 - 31

3830125 --> Friday, 04 - 20

3830126 --> Friday, 04 - 05

3830127 --> Friday, 03 - 28

3830128 --> Friday, 04 - 16

3830129 --> Friday, 04 - 01

3830130 --> Friday, 03 - 24

3830131 --> Friday, 04 - 13

3830132 --> Friday, 03 - 28

3830133 --> Friday, 04 - 17

3830134 --> Friday, 04 - 09

3830135 --> Friday, 03 - 25

3830136 --> Friday, 04 - 13

3830137 --> Friday, 04 - 05

3830138 --> Friday, 03 - 21

3830139 --> Friday, 04 - 10

3830140 --> Friday, 04 - 01

3830141 --> Friday, 04 - 21

3830142 --> Friday, 04 - 06

3830143 --> Friday, 03 - 29

3830144 --> Friday, 04 - 17

3830145 --> Friday, 04 - 09

3830146 --> Friday, 03 - 25

3830147 --> Friday, 04 - 14

3830148 --> Friday, 04 - 05

3830149 --> Friday, 03 - 21

3830150 --> Friday, 04 - 10

3830151 --> Friday, 04 - 02

3830152 --> Friday, 04 - 21

3830153 --> Friday, 04 - 06

3830154 --> Friday, 03 - 29

3830155 --> Friday, 04 - 18

3830156 --> Friday, 04 - 02

3830157 --> Friday, 03 - 25

3830158 --> Friday, 04 - 14

3830159 --> Friday, 03 - 30

3830160 --> Friday, 04 - 18

3830161 --> Friday, 04 - 10

3830162 --> Friday, 03 - 26

3830163 --> Friday, 04 - 15

3830164 --> Friday, 04 - 06

3830165 --> Friday, 03 - 29

3830166 --> Friday, 04 - 11

3830167 --> Friday, 04 - 03

3830168 --> Friday, 03 - 25

3830169 --> Friday, 04 - 14

3830170 --> Friday, 03 - 30

3830171 --> Friday, 04 - 19

3830172 --> Friday, 04 - 10

3830173 --> Friday, 03 - 26

3830174 --> Friday, 04 - 15

3830175 --> Friday, 04 - 07

3830176 --> Friday, 03 - 22

3830177 --> Friday, 04 - 11

3830178 --> Friday, 04 - 03

3830179 --> Friday, 04 - 23

3830180 --> Friday, 04 - 07

3830181 --> Friday, 03 - 30

3830182 --> Friday, 04 - 19

3830183 --> Friday, 04 - 04

3830184 --> Friday, 03 - 26

3830185 --> Friday, 04 - 15

3830186 --> Friday, 03 - 31

3830187 --> Friday, 03 - 23

3830188 --> Friday, 04 - 11

3830189 --> Friday, 04 - 03

3830190 --> Friday, 04 - 16

3830191 --> Friday, 04 - 08

3830192 --> Friday, 03 - 30

3830193 --> Friday, 04 - 12

3830194 --> Friday, 04 - 04

3830195 --> Friday, 03 - 27

3830196 --> Friday, 04 - 15

3830197 --> Friday, 03 - 31

3830198 --> Friday, 04 - 20

3830199 --> Friday, 04 - 12

3830200 --> Friday, 03 - 28

3830201 --> Friday, 04 - 17

3830202 --> Friday, 04 - 09

3830203 --> Friday, 03 - 25

3830204 --> Friday, 04 - 13

3830205 --> Friday, 04 - 05

3830206 --> Friday, 03 - 21

3830207 --> Friday, 04 - 10

3830208 --> Friday, 04 - 01

3830209 --> Friday, 04 - 21

3830210 --> Friday, 04 - 06

3830211 --> Friday, 03 - 29

3830212 --> Friday, 04 - 17

3830213 --> Friday, 04 - 02

3830214 --> Friday, 03 - 25

3830215 --> Friday, 04 - 14

3830216 --> Friday, 03 - 29

3830217 --> Friday, 04 - 18

3830218 --> Friday, 04 - 10

3830219 --> Friday, 03 - 26

3830220 --> Friday, 04 - 14

3830221 --> Friday, 04 - 06

3830222 --> Friday, 03 - 29

3830223 --> Friday, 04 - 11

3830224 --> Friday, 04 - 02

3830225 --> Friday, 03 - 25

3830226 --> Friday, 04 - 14

3830227 --> Friday, 03 - 30

3830228 --> Friday, 04 - 18

3830229 --> Friday, 04 - 10

3830230 --> Friday, 03 - 26

3830231 --> Friday, 04 - 15

3830232 --> Friday, 04 - 06

3830233 --> Friday, 03 - 22

3830234 --> Friday, 04 - 11

3830235 --> Friday, 04 - 03

3830236 --> Friday, 04 - 22

3830237 --> Friday, 04 - 07

3830238 --> Friday, 03 - 30

3830239 --> Friday, 04 - 19

3830240 --> Friday, 04 - 03

3830241 --> Friday, 03 - 26

3830242 --> Friday, 04 - 15

3830243 --> Friday, 03 - 31

3830244 --> Friday, 03 - 22

3830245 --> Friday, 04 - 11

3830246 --> Friday, 04 - 03

3830247 --> Friday, 04 - 16

3830248 --> Friday, 04 - 07

3830249 --> Friday, 03 - 30

3830250 --> Friday, 04 - 12

3830251 --> Friday, 04 - 04

3830252 --> Friday, 03 - 26

3830253 --> Friday, 04 - 15

3830254 --> Friday, 03 - 31

3830255 --> Friday, 04 - 20

3830256 --> Friday, 04 - 11

3830257 --> Friday, 03 - 27

3830258 --> Friday, 04 - 16

3830259 --> Friday, 04 - 08

3830260 --> Friday, 03 - 23

3830261 --> Friday, 04 - 12

3830262 --> Friday, 04 - 04

3830263 --> Friday, 03 - 20

3830264 --> Friday, 04 - 08

3830265 --> Friday, 03 - 31

3830266 --> Friday, 04 - 20

3830267 --> Friday, 04 - 05

3830268 --> Friday, 03 - 27

3830269 --> Friday, 04 - 16

3830270 --> Friday, 04 - 01

3830271 --> Friday, 03 - 24

3830272 --> Friday, 04 - 12

3830273 --> Friday, 04 - 04

3830274 --> Friday, 04 - 17

3830275 --> Friday, 04 - 09

3830276 --> Friday, 03 - 31

3830277 --> Friday, 04 - 20

3830278 --> Friday, 04 - 05

3830279 --> Friday, 03 - 28

3830280 --> Friday, 04 - 16

3830281 --> Friday, 04 - 01

3830282 --> Friday, 03 - 24

3830283 --> Friday, 04 - 13

3830284 --> Friday, 03 - 28

3830285 --> Friday, 04 - 17

3830286 --> Friday, 04 - 09

3830287 --> Friday, 03 - 25

