Good Friday given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 4470000 through 4479999



4470000 --> Friday, 03 - 24

4470001 --> Friday, 04 - 13

4470002 --> Friday, 04 - 05

4470003 --> Friday, 03 - 21

4470004 --> Friday, 04 - 09

4470005 --> Friday, 04 - 01

4470006 --> Friday, 04 - 21

4470007 --> Friday, 04 - 06

4470008 --> Friday, 03 - 28

4470009 --> Friday, 04 - 17

4470010 --> Friday, 04 - 02

4470011 --> Friday, 03 - 25

4470012 --> Friday, 04 - 13

4470013 --> Friday, 04 - 05

4470014 --> Friday, 04 - 18

4470015 --> Friday, 04 - 10

4470016 --> Friday, 04 - 01

4470017 --> Friday, 04 - 14

4470018 --> Friday, 04 - 06

4470019 --> Friday, 03 - 29

4470020 --> Friday, 04 - 17

4470021 --> Friday, 04 - 02

4470022 --> Friday, 03 - 25

4470023 --> Friday, 04 - 14

4470024 --> Friday, 03 - 29

4470025 --> Friday, 04 - 18

4470026 --> Friday, 04 - 10

4470027 --> Friday, 03 - 26

4470028 --> Friday, 04 - 14

4470029 --> Friday, 04 - 06

4470030 --> Friday, 03 - 22

4470031 --> Friday, 04 - 11

4470032 --> Friday, 04 - 02

4470033 --> Friday, 04 - 22

4470034 --> Friday, 04 - 07

4470035 --> Friday, 03 - 30

4470036 --> Friday, 04 - 18

4470037 --> Friday, 04 - 03

4470038 --> Friday, 03 - 26

4470039 --> Friday, 04 - 15

4470040 --> Friday, 04 - 06

4470041 --> Friday, 03 - 22

4470042 --> Friday, 04 - 11

4470043 --> Friday, 04 - 03

4470044 --> Friday, 04 - 22

4470045 --> Friday, 04 - 07

4470046 --> Friday, 03 - 30

4470047 --> Friday, 04 - 19

4470048 --> Friday, 04 - 03

4470049 --> Friday, 03 - 26

4470050 --> Friday, 04 - 15

4470051 --> Friday, 03 - 31

4470052 --> Friday, 04 - 19

