Good Friday given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 5020000 through 5029999



5020000 --> Friday, 03 - 31

5020001 --> Friday, 03 - 23

5020002 --> Friday, 04 - 12

5020003 --> Friday, 03 - 28

5020004 --> Friday, 04 - 16

5020005 --> Friday, 04 - 08

5020006 --> Friday, 03 - 31

5020007 --> Friday, 04 - 13

5020008 --> Friday, 04 - 04

5020009 --> Friday, 03 - 27

5020010 --> Friday, 04 - 09

5020011 --> Friday, 04 - 01

5020012 --> Friday, 04 - 20

5020013 --> Friday, 04 - 12

5020014 --> Friday, 03 - 28

5020015 --> Friday, 04 - 17

5020016 --> Friday, 04 - 08

5020017 --> Friday, 03 - 24

5020018 --> Friday, 04 - 13

5020019 --> Friday, 04 - 05

5020020 --> Friday, 03 - 20

5020021 --> Friday, 04 - 09

5020022 --> Friday, 04 - 01

5020023 --> Friday, 04 - 21

5020024 --> Friday, 04 - 05

5020025 --> Friday, 03 - 28

5020026 --> Friday, 04 - 17

5020027 --> Friday, 04 - 02

5020028 --> Friday, 03 - 24

5020029 --> Friday, 04 - 13

5020030 --> Friday, 03 - 29

5020031 --> Friday, 04 - 18

5020032 --> Friday, 04 - 09

5020033 --> Friday, 04 - 01

5020034 --> Friday, 04 - 14

5020035 --> Friday, 04 - 06

5020036 --> Friday, 03 - 28

5020037 --> Friday, 04 - 17

5020038 --> Friday, 04 - 02

5020039 --> Friday, 03 - 25

5020040 --> Friday, 04 - 13

5020041 --> Friday, 03 - 29

5020042 --> Friday, 04 - 18

5020043 --> Friday, 04 - 10

5020044 --> Friday, 03 - 25

5020045 --> Friday, 04 - 14

5020046 --> Friday, 04 - 06

5020047 --> Friday, 03 - 22

5020048 --> Friday, 04 - 10

5020049 --> Friday, 04 - 02

5020050 --> Friday, 04 - 22

5020051 --> Friday, 04 - 07

5020052 --> Friday, 03 - 29

5020053 --> Friday, 04 - 18

5020054 --> Friday, 04 - 03

5020055 --> Friday, 03 - 26

5020056 --> Friday, 04 - 14

5020057 --> Friday, 04 - 06

5020058 --> Friday, 03 - 22

5020059 --> Friday, 04 - 11

5020060 --> Friday, 04 - 02

