Good Friday given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 3680000 through 3689999



3680000 --> Friday, 04 - 07

3680001 --> Friday, 03 - 30

3680002 --> Friday, 04 - 12

3680003 --> Friday, 04 - 04

3680004 --> Friday, 03 - 26

3680005 --> Friday, 04 - 15

3680006 --> Friday, 03 - 31

3680007 --> Friday, 04 - 20

3680008 --> Friday, 04 - 11

3680009 --> Friday, 03 - 27

3680010 --> Friday, 04 - 16

3680011 --> Friday, 04 - 08

3680012 --> Friday, 03 - 23

3680013 --> Friday, 04 - 12

3680014 --> Friday, 04 - 04

3680015 --> Friday, 04 - 17

3680016 --> Friday, 04 - 08

3680017 --> Friday, 03 - 31

3680018 --> Friday, 04 - 20

3680019 --> Friday, 04 - 05

3680020 --> Friday, 03 - 27

3680021 --> Friday, 04 - 16

3680022 --> Friday, 04 - 01

3680023 --> Friday, 03 - 24

3680024 --> Friday, 04 - 12

3680025 --> Friday, 04 - 04

3680026 --> Friday, 04 - 17

3680027 --> Friday, 04 - 09

3680028 --> Friday, 03 - 31

3680029 --> Friday, 04 - 20

3680030 --> Friday, 04 - 05

3680031 --> Friday, 03 - 28

3680032 --> Friday, 04 - 16

3680033 --> Friday, 04 - 01

3680034 --> Friday, 04 - 21

3680035 --> Friday, 04 - 13

3680036 --> Friday, 03 - 28

3680037 --> Friday, 04 - 17

3680038 --> Friday, 04 - 09

3680039 --> Friday, 03 - 25

3680040 --> Friday, 04 - 13

3680041 --> Friday, 04 - 05

3680042 --> Friday, 03 - 21

3680043 --> Friday, 04 - 10

3680044 --> Friday, 04 - 01

3680045 --> Friday, 04 - 21

3680046 --> Friday, 04 - 06

3680047 --> Friday, 03 - 29

3680048 --> Friday, 04 - 17

3680049 --> Friday, 04 - 09

3680050 --> Friday, 03 - 25

3680051 --> Friday, 04 - 14

3680052 --> Friday, 04 - 05

3680053 --> Friday, 04 - 18

3680054 --> Friday, 04 - 10

3680055 --> Friday, 04 - 02

3680056 --> Friday, 04 - 21

3680057 --> Friday, 04 - 06

3680058 --> Friday, 03 - 29

3680059 --> Friday, 04 - 18

3680060 --> Friday, 04 - 02

3680061 --> Friday, 03 - 25

3680062 --> Friday, 04 - 14

3680063 --> Friday, 03 - 30

3680064 --> Friday, 04 - 18

3680065 --> Friday, 04 - 10

3680066 --> Friday, 03 - 26

3680067 --> Friday, 04 - 15

3680068 --> Friday, 04 - 06

3680069 --> Friday, 03 - 29

3680070 --> Friday, 04 - 11

3680071 --> Friday, 04 - 03

3680072 --> Friday, 04 - 22

3680073 --> Friday, 04 - 07

3680074 --> Friday, 03 - 30

3680075 --> Friday, 04 - 19

3680076 --> Friday, 04 - 10

3680077 --> Friday, 03 - 26

3680078 --> Friday, 04 - 15

3680079 --> Friday, 04 - 07

3680080 --> Friday, 03 - 22

3680081 --> Friday, 04 - 11

3680082 --> Friday, 04 - 03

3680083 --> Friday, 04 - 16

3680084 --> Friday, 04 - 07

3680085 --> Friday, 03 - 30

3680086 --> Friday, 04 - 19

3680087 --> Friday, 04 - 04

3680088 --> Friday, 03 - 26

3680089 --> Friday, 04 - 15

3680090 --> Friday, 03 - 31

3680091 --> Friday, 04 - 20

3680092 --> Friday, 04 - 11

3680093 --> Friday, 03 - 27

