Good Friday given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 5480000 through 5489999



5480000 --> Friday, 04 - 07

5480001 --> Friday, 03 - 30

5480002 --> Friday, 04 - 19

5480003 --> Friday, 04 - 04

5480004 --> Friday, 03 - 26

5480005 --> Friday, 04 - 15

5480006 --> Friday, 04 - 07

5480007 --> Friday, 03 - 23

5480008 --> Friday, 04 - 11

5480009 --> Friday, 04 - 03

5480010 --> Friday, 04 - 16

5480011 --> Friday, 04 - 08

5480012 --> Friday, 03 - 30

5480013 --> Friday, 04 - 19

5480014 --> Friday, 04 - 04

5480015 --> Friday, 03 - 27

5480016 --> Friday, 04 - 15

5480017 --> Friday, 03 - 31

5480018 --> Friday, 04 - 20

5480019 --> Friday, 04 - 12

5480020 --> Friday, 03 - 27

5480021 --> Friday, 04 - 16

5480022 --> Friday, 04 - 08

5480023 --> Friday, 03 - 24

5480024 --> Friday, 04 - 12

5480025 --> Friday, 04 - 04

5480026 --> Friday, 03 - 27

5480027 --> Friday, 04 - 09

5480028 --> Friday, 03 - 31

5480029 --> Friday, 04 - 20

5480030 --> Friday, 04 - 12

5480031 --> Friday, 03 - 28

5480032 --> Friday, 04 - 16

5480033 --> Friday, 04 - 08

5480034 --> Friday, 03 - 24

5480035 --> Friday, 04 - 13

5480036 --> Friday, 04 - 04

5480037 --> Friday, 04 - 17

5480038 --> Friday, 04 - 09

5480039 --> Friday, 04 - 01

5480040 --> Friday, 04 - 20

5480041 --> Friday, 04 - 05

5480042 --> Friday, 03 - 28

5480043 --> Friday, 04 - 17

5480044 --> Friday, 04 - 01

5480045 --> Friday, 03 - 24

5480046 --> Friday, 04 - 13

5480047 --> Friday, 03 - 29

5480048 --> Friday, 04 - 17

5480049 --> Friday, 04 - 09

5480050 --> Friday, 04 - 01

5480051 --> Friday, 04 - 14

5480052 --> Friday, 04 - 05

5480053 --> Friday, 03 - 28

5480054 --> Friday, 04 - 17

5480055 --> Friday, 04 - 02

5480056 --> Friday, 04 - 21

5480057 --> Friday, 04 - 13

5480058 --> Friday, 03 - 29

5480059 --> Friday, 04 - 18

5480060 --> Friday, 04 - 09

5480061 --> Friday, 03 - 25

5480062 --> Friday, 04 - 14

5480063 --> Friday, 04 - 06

5480064 --> Friday, 03 - 21

