Good Friday given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 2830000 through 2839999



2830000 --> Friday, 04 - 07

2830001 --> Friday, 03 - 30

2830002 --> Friday, 04 - 19

2830003 --> Friday, 04 - 04

2830004 --> Friday, 03 - 26

2830005 --> Friday, 04 - 15

2830006 --> Friday, 03 - 31

2830007 --> Friday, 03 - 23

2830008 --> Friday, 04 - 11

2830009 --> Friday, 04 - 03

2830010 --> Friday, 04 - 16

2830011 --> Friday, 04 - 08

2830012 --> Friday, 03 - 30

2830013 --> Friday, 04 - 12

2830014 --> Friday, 04 - 04

2830015 --> Friday, 03 - 27

2830016 --> Friday, 04 - 15

2830017 --> Friday, 03 - 31

2830018 --> Friday, 04 - 20

2830019 --> Friday, 04 - 12

2830020 --> Friday, 03 - 27

2830021 --> Friday, 04 - 16

2830022 --> Friday, 04 - 08

2830023 --> Friday, 03 - 24

2830024 --> Friday, 04 - 12

2830025 --> Friday, 04 - 04

2830026 --> Friday, 03 - 20

2830027 --> Friday, 04 - 09

2830028 --> Friday, 03 - 31

2830029 --> Friday, 04 - 20

2830030 --> Friday, 04 - 05

2830031 --> Friday, 03 - 28

2830032 --> Friday, 04 - 16

2830033 --> Friday, 04 - 01

2830034 --> Friday, 03 - 24

2830035 --> Friday, 04 - 13

2830036 --> Friday, 04 - 04

2830037 --> Friday, 04 - 17

2830038 --> Friday, 04 - 09

2830039 --> Friday, 04 - 01

2830040 --> Friday, 04 - 20

2830041 --> Friday, 04 - 05

2830042 --> Friday, 03 - 28

2830043 --> Friday, 04 - 17

2830044 --> Friday, 04 - 01

2830045 --> Friday, 03 - 24

2830046 --> Friday, 04 - 13

2830047 --> Friday, 03 - 29

2830048 --> Friday, 04 - 17

2830049 --> Friday, 04 - 09

2830050 --> Friday, 03 - 25

2830051 --> Friday, 04 - 14

2830052 --> Friday, 04 - 05

2830053 --> Friday, 03 - 21

2830054 --> Friday, 04 - 10

2830055 --> Friday, 04 - 02

2830056 --> Friday, 04 - 21

2830057 --> Friday, 04 - 06

2830058 --> Friday, 03 - 29

2830059 --> Friday, 04 - 18

2830060 --> Friday, 04 - 09

2830061 --> Friday, 03 - 25

2830062 --> Friday, 04 - 14

2830063 --> Friday, 04 - 06

2830064 --> Friday, 03 - 21

2830065 --> Friday, 04 - 10

2830066 --> Friday, 04 - 02

2830067 --> Friday, 04 - 22

2830068 --> Friday, 04 - 06

2830069 --> Friday, 03 - 29

2830070 --> Friday, 04 - 18

2830071 --> Friday, 04 - 03

2830072 --> Friday, 03 - 25

2830073 --> Friday, 04 - 14

2830074 --> Friday, 03 - 30

2830075 --> Friday, 04 - 19

2830076 --> Friday, 04 - 10

2830077 --> Friday, 03 - 26

2830078 --> Friday, 04 - 15

2830079 --> Friday, 04 - 07

2830080 --> Friday, 03 - 29

2830081 --> Friday, 04 - 11

2830082 --> Friday, 04 - 03

2830083 --> Friday, 03 - 26

2830084 --> Friday, 04 - 14

2830085 --> Friday, 03 - 30

2830086 --> Friday, 04 - 19

2830087 --> Friday, 04 - 11

2830088 --> Friday, 03 - 26

2830089 --> Friday, 04 - 15

2830090 --> Friday, 04 - 07

2830091 --> Friday, 03 - 23

2830092 --> Friday, 04 - 11

2830093 --> Friday, 04 - 03

