Good Friday given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 0790000 through 0799999



0790000 --> Friday, 03 - 24

0790001 --> Friday, 04 - 13

0790002 --> Friday, 04 - 05

0790003 --> Friday, 03 - 21

0790004 --> Friday, 04 - 09

0790005 --> Friday, 04 - 01

0790006 --> Friday, 04 - 21

0790007 --> Friday, 04 - 06

0790008 --> Friday, 03 - 28

0790009 --> Friday, 04 - 17

0790010 --> Friday, 04 - 02

0790011 --> Friday, 03 - 25

0790012 --> Friday, 04 - 13

0790013 --> Friday, 04 - 05

0790014 --> Friday, 04 - 18

0790015 --> Friday, 04 - 10

0790016 --> Friday, 04 - 01

0790017 --> Friday, 04 - 21

0790018 --> Friday, 04 - 06

0790019 --> Friday, 03 - 29

0790020 --> Friday, 04 - 17

0790021 --> Friday, 04 - 02

0790022 --> Friday, 03 - 25

0790023 --> Friday, 04 - 14

0790024 --> Friday, 03 - 29

0790025 --> Friday, 04 - 18

0790026 --> Friday, 04 - 10

0790027 --> Friday, 03 - 26

0790028 --> Friday, 04 - 14

0790029 --> Friday, 04 - 06

0790030 --> Friday, 03 - 22

0790031 --> Friday, 04 - 11

0790032 --> Friday, 04 - 02

0790033 --> Friday, 04 - 22

0790034 --> Friday, 04 - 07

0790035 --> Friday, 03 - 30

0790036 --> Friday, 04 - 18

0790037 --> Friday, 04 - 10

0790038 --> Friday, 03 - 26

0790039 --> Friday, 04 - 15

0790040 --> Friday, 04 - 06

0790041 --> Friday, 03 - 22

0790042 --> Friday, 04 - 11

0790043 --> Friday, 04 - 03

0790044 --> Friday, 04 - 22

0790045 --> Friday, 04 - 07

0790046 --> Friday, 03 - 30

0790047 --> Friday, 04 - 19

0790048 --> Friday, 04 - 03

0790049 --> Friday, 03 - 26

0790050 --> Friday, 04 - 15

0790051 --> Friday, 03 - 31

0790052 --> Friday, 04 - 19

0790053 --> Friday, 04 - 11

0790054 --> Friday, 03 - 27

0790055 --> Friday, 04 - 16

0790056 --> Friday, 04 - 07

0790057 --> Friday, 03 - 30

0790058 --> Friday, 04 - 12

0790059 --> Friday, 04 - 04

0790060 --> Friday, 03 - 26

0790061 --> Friday, 04 - 08

0790062 --> Friday, 03 - 31

0790063 --> Friday, 04 - 20

0790064 --> Friday, 04 - 11

0790065 --> Friday, 03 - 27

0790066 --> Friday, 04 - 16

0790067 --> Friday, 04 - 08

0790068 --> Friday, 03 - 23

0790069 --> Friday, 04 - 12

0790070 --> Friday, 04 - 04

0790071 --> Friday, 04 - 17

0790072 --> Friday, 04 - 08

0790073 --> Friday, 03 - 31

0790074 --> Friday, 04 - 20

0790075 --> Friday, 04 - 05

0790076 --> Friday, 03 - 27

0790077 --> Friday, 04 - 16

0790078 --> Friday, 04 - 01

0790079 --> Friday, 03 - 24

0790080 --> Friday, 04 - 12

0790081 --> Friday, 03 - 28

0790082 --> Friday, 04 - 17

0790083 --> Friday, 04 - 09

0790084 --> Friday, 03 - 31

0790085 --> Friday, 04 - 13

0790086 --> Friday, 04 - 05

0790087 --> Friday, 03 - 28

0790088 --> Friday, 04 - 16

0790089 --> Friday, 04 - 01

0790090 --> Friday, 04 - 21

0790091 --> Friday, 04 - 13

0790092 --> Friday, 03 - 28

0790093 --> Friday, 04 - 17

0790094 --> Friday, 04 - 09

0790095 --> Friday, 03 - 25

0790096 --> Friday, 04 - 13

0790097 --> Friday, 04 - 05

0790098 --> Friday, 03 - 21

0790099 --> Friday, 04 - 10

0790100 --> Friday, 04 - 02

0790101 --> Friday, 04 - 22

0790102 --> Friday, 04 - 07

0790103 --> Friday, 03 - 30

0790104 --> Friday, 04 - 18

0790105 --> Friday, 04 - 03

0790106 --> Friday, 03 - 26

0790107 --> Friday, 04 - 15

0790108 --> Friday, 04 - 06

0790109 --> Friday, 03 - 22

0790110 --> Friday, 04 - 11

0790111 --> Friday, 04 - 03

0790112 --> Friday, 04 - 22

0790113 --> Friday, 04 - 07

0790114 --> Friday, 03 - 30

0790115 --> Friday, 04 - 12

0790116 --> Friday, 04 - 03

0790117 --> Friday, 03 - 26

0790118 --> Friday, 04 - 15

0790119 --> Friday, 03 - 31

0790120 --> Friday, 04 - 19

0790121 --> Friday, 04 - 11

0790122 --> Friday, 03 - 27

0790123 --> Friday, 04 - 16

0790124 --> Friday, 04 - 07

0790125 --> Friday, 03 - 23

0790126 --> Friday, 04 - 12

0790127 --> Friday, 04 - 04

0790128 --> Friday, 03 - 26

0790129 --> Friday, 04 - 08

0790130 --> Friday, 03 - 31

0790131 --> Friday, 04 - 20

0790132 --> Friday, 04 - 11

0790133 --> Friday, 03 - 27

0790134 --> Friday, 04 - 16

0790135 --> Friday, 04 - 01

0790136 --> Friday, 03 - 23

0790137 --> Friday, 04 - 12

0790138 --> Friday, 04 - 04

0790139 --> Friday, 04 - 17

0790140 --> Friday, 04 - 08
