Good Friday given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 0290000 through 0299999



0290000 --> Friday, 04 - 21

0290001 --> Friday, 04 - 13

0290002 --> Friday, 03 - 29

0290003 --> Friday, 04 - 18

0290004 --> Friday, 04 - 09

0290005 --> Friday, 03 - 25

0290006 --> Friday, 04 - 14

0290007 --> Friday, 04 - 06

0290008 --> Friday, 03 - 21

0290009 --> Friday, 04 - 10

0290010 --> Friday, 04 - 02

0290011 --> Friday, 04 - 22

0290012 --> Friday, 04 - 06

0290013 --> Friday, 03 - 29

0290014 --> Friday, 04 - 18

0290015 --> Friday, 04 - 03

0290016 --> Friday, 03 - 25

0290017 --> Friday, 04 - 14

0290018 --> Friday, 03 - 30

0290019 --> Friday, 04 - 19

0290020 --> Friday, 04 - 10

0290021 --> Friday, 04 - 02

0290022 --> Friday, 04 - 15

0290023 --> Friday, 04 - 07

0290024 --> Friday, 03 - 29

0290025 --> Friday, 04 - 18

0290026 --> Friday, 04 - 03

0290027 --> Friday, 03 - 26

0290028 --> Friday, 04 - 14

0290029 --> Friday, 03 - 30

0290030 --> Friday, 04 - 19

0290031 --> Friday, 04 - 11

0290032 --> Friday, 03 - 26

0290033 --> Friday, 04 - 15

0290034 --> Friday, 04 - 07

0290035 --> Friday, 03 - 23

0290036 --> Friday, 04 - 11

0290037 --> Friday, 04 - 03

0290038 --> Friday, 04 - 23

0290039 --> Friday, 04 - 08

0290040 --> Friday, 03 - 30

0290041 --> Friday, 04 - 19

0290042 --> Friday, 04 - 04

0290043 --> Friday, 03 - 27

0290044 --> Friday, 04 - 15

0290045 --> Friday, 04 - 07

0290046 --> Friday, 03 - 23

0290047 --> Friday, 04 - 12

0290048 --> Friday, 04 - 03

0290049 --> Friday, 04 - 16

0290050 --> Friday, 04 - 08

0290051 --> Friday, 03 - 31

0290052 --> Friday, 04 - 19

0290053 --> Friday, 04 - 04

0290054 --> Friday, 03 - 27

0290055 --> Friday, 04 - 16

0290056 --> Friday, 03 - 31

0290057 --> Friday, 04 - 20

0290058 --> Friday, 04 - 12

0290059 --> Friday, 03 - 28

0290060 --> Friday, 04 - 16

0290061 --> Friday, 04 - 08

0290062 --> Friday, 03 - 24

0290063 --> Friday, 04 - 13

0290064 --> Friday, 04 - 04

0290065 --> Friday, 03 - 27

0290066 --> Friday, 04 - 09

0290067 --> Friday, 04 - 01

0290068 --> Friday, 04 - 20

0290069 --> Friday, 04 - 12

0290070 --> Friday, 03 - 28

0290071 --> Friday, 04 - 17

0290072 --> Friday, 04 - 08

0290073 --> Friday, 03 - 24

0290074 --> Friday, 04 - 13

0290075 --> Friday, 04 - 05

0290076 --> Friday, 04 - 17

0290077 --> Friday, 04 - 09

0290078 --> Friday, 04 - 01

0290079 --> Friday, 04 - 21

0290080 --> Friday, 04 - 05

0290081 --> Friday, 03 - 28

0290082 --> Friday, 04 - 17

0290083 --> Friday, 04 - 02

0290084 --> Friday, 03 - 24

0290085 --> Friday, 04 - 13

0290086 --> Friday, 03 - 29

0290087 --> Friday, 04 - 18

0290088 --> Friday, 04 - 09

0290089 --> Friday, 04 - 01

0290090 --> Friday, 04 - 14

0290091 --> Friday, 04 - 06

0290092 --> Friday, 03 - 28

0290093 --> Friday, 04 - 10

0290094 --> Friday, 04 - 02

0290095 --> Friday, 04 - 22

0290096 --> Friday, 04 - 13

0290097 --> Friday, 03 - 29

0290098 --> Friday, 04 - 18

0290099 --> Friday, 04 - 10

0290100 --> Friday, 03 - 26

0290101 --> Friday, 04 - 15

0290102 --> Friday, 04 - 07

0290103 --> Friday, 03 - 23

0290104 --> Friday, 04 - 11

0290105 --> Friday, 04 - 03

0290106 --> Friday, 04 - 23

0290107 --> Friday, 04 - 08

0290108 --> Friday, 03 - 30

0290109 --> Friday, 04 - 19

0290110 --> Friday, 04 - 04

0290111 --> Friday, 03 - 27

0290112 --> Friday, 04 - 15

0290113 --> Friday, 03 - 31

0290114 --> Friday, 03 - 23

0290115 --> Friday, 04 - 12

0290116 --> Friday, 04 - 03

0290117 --> Friday, 04 - 16

0290118 --> Friday, 04 - 08

0290119 --> Friday, 03 - 31

0290120 --> Friday, 04 - 19

0290121 --> Friday, 04 - 04

0290122 --> Friday, 03 - 27

0290123 --> Friday, 04 - 16

0290124 --> Friday, 03 - 31

0290125 --> Friday, 04 - 20

0290126 --> Friday, 04 - 12

0290127 --> Friday, 03 - 28

0290128 --> Friday, 04 - 16

0290129 --> Friday, 04 - 08

0290130 --> Friday, 03 - 24

0290131 --> Friday, 04 - 13

0290132 --> Friday, 04 - 04

0290133 --> Friday, 03 - 20

0290134 --> Friday, 04 - 09

0290135 --> Friday, 04 - 01

0290136 --> Friday, 04 - 20

0290137 --> Friday, 04 - 05

0290138 --> Friday, 03 - 28

0290139 --> Friday, 04 - 17

0290140 --> Friday, 04 - 08

0290141 --> Friday, 03 - 24

0290142 --> Friday, 04 - 13

0290143 --> Friday, 04 - 05

0290144 --> Friday, 04 - 17

0290145 --> Friday, 04 - 09

0290146 --> Friday, 04 - 01

0290147 --> Friday, 04 - 21

0290148 --> Friday, 04 - 05

0290149 --> Friday, 03 - 28

0290150 --> Friday, 04 - 17

0290151 --> Friday, 04 - 02

0290152 --> Friday, 03 - 24

0290153 --> Friday, 04 - 13

0290154 --> Friday, 03 - 29

0290155 --> Friday, 04 - 18

0290156 --> Friday, 04 - 09

0290157 --> Friday, 03 - 25

0290158 --> Friday, 04 - 14

0290159 --> Friday, 04 - 06

0290160 --> Friday, 03 - 28

0290161 --> Friday, 04 - 10

0290162 --> Friday, 04 - 02

0290163 --> Friday, 04 - 22

0290164 --> Friday, 04 - 13

0290165 --> Friday, 03 - 29

0290166 --> Friday, 04 - 18

0290167 --> Friday, 04 - 10

0290168 --> Friday, 03 - 25

0290169 --> Friday, 04 - 14

0290170 --> Friday, 04 - 06

0290171 --> Friday, 03 - 22

0290172 --> Friday, 04 - 10

0290173 --> Friday, 04 - 02

0290174 --> Friday, 04 - 22

0290175 --> Friday, 04 - 07

0290176 --> Friday, 03 - 29

0290177 --> Friday, 04 - 18

0290178 --> Friday, 04 - 03

0290179 --> Friday, 03 - 26

0290180 --> Friday, 04 - 14

0290181 --> Friday, 03 - 30

0290182 --> Friday, 04 - 19

0290183 --> Friday, 04 - 11

0290184 --> Friday, 04 - 02

0290185 --> Friday, 04 - 15

0290186 --> Friday, 04 - 07

0290187 --> Friday, 03 - 23

0290188 --> Friday, 04 - 11

0290189 --> Friday, 04 - 03

0290190 --> Friday, 03 - 26

0290191 --> Friday, 04 - 08

0290192 --> Friday, 03 - 30

0290193 --> Friday, 04 - 19

0290194 --> Friday, 04 - 11

0290195 --> Friday, 03 - 27

0290196 --> Friday, 04 - 15

0290197 --> Friday, 04 - 07

0290198 --> Friday, 03 - 23

0290199 --> Friday, 04 - 12

0290200 --> Friday, 04 - 04

0290201 --> Friday, 04 - 17

0290202 --> Friday, 04 - 09

0290203 --> Friday, 04 - 01

0290204 --> Friday, 04 - 20

0290205 --> Friday, 04 - 05

0290206 --> Friday, 03 - 28

0290207 --> Friday, 04 - 17

0290208 --> Friday, 04 - 01

0290209 --> Friday, 03 - 24

0290210 --> Friday, 04 - 13

0290211 --> Friday, 03 - 29

0290212 --> Friday, 04 - 17

0290213 --> Friday, 04 - 09

0290214 --> Friday, 03 - 25

0290215 --> Friday, 04 - 14

0290216 --> Friday, 04 - 05

0290217 --> Friday, 03 - 28

0290218 --> Friday, 04 - 10

0290219 --> Friday, 04 - 02

0290220 --> Friday, 04 - 21

0290221 --> Friday, 04 - 13

0290222 --> Friday, 03 - 29

0290223 --> Friday, 04 - 18

0290224 --> Friday, 04 - 09

0290225 --> Friday, 03 - 25

0290226 --> Friday, 04 - 14

0290227 --> Friday, 04 - 06

0290228 --> Friday, 03 - 21

0290229 --> Friday, 04 - 10

0290230 --> Friday, 04 - 02

0290231 --> Friday, 04 - 22

0290232 --> Friday, 04 - 06

0290233 --> Friday, 03 - 29

0290234 --> Friday, 04 - 18

0290235 --> Friday, 04 - 03

0290236 --> Friday, 03 - 25

0290237 --> Friday, 04 - 14

0290238 --> Friday, 03 - 30

0290239 --> Friday, 04 - 19

0290240 --> Friday, 04 - 10

0290241 --> Friday, 04 - 02

0290242 --> Friday, 04 - 15

0290243 --> Friday, 04 - 07

0290244 --> Friday, 03 - 29

0290245 --> Friday, 04 - 11

0290246 --> Friday, 04 - 03

0290247 --> Friday, 03 - 26

0290248 --> Friday, 04 - 14

0290249 --> Friday, 03 - 30

0290250 --> Friday, 04 - 19

0290251 --> Friday, 04 - 11

0290252 --> Friday, 03 - 26

0290253 --> Friday, 04 - 15

0290254 --> Friday, 04 - 07

0290255 --> Friday, 03 - 23

0290256 --> Friday, 04 - 11

0290257 --> Friday, 04 - 03

0290258 --> Friday, 04 - 23

0290259 --> Friday, 04 - 08

0290260 --> Friday, 03 - 30

0290261 --> Friday, 04 - 19

0290262 --> Friday, 04 - 04

0290263 --> Friday, 03 - 27

0290264 --> Friday, 04 - 15

0290265 --> Friday, 03 - 31

0290266 --> Friday, 03 - 23

0290267 --> Friday, 04 - 12

0290268 --> Friday, 04 - 03

0290269 --> Friday, 04 - 16

0290270 --> Friday, 04 - 08

0290271 --> Friday, 03 - 31

0290272 --> Friday, 04 - 19

0290273 --> Friday, 04 - 04

0290274 --> Friday, 03 - 27

0290275 --> Friday, 04 - 16

0290276 --> Friday, 03 - 31

0290277 --> Friday, 04 - 20

0290278 --> Friday, 04 - 12

0290279 --> Friday, 03 - 28

0290280 --> Friday, 04 - 16

0290281 --> Friday, 04 - 08

0290282 --> Friday, 03 - 24

0290283 --> Friday, 04 - 13

0290284 --> Friday, 04 - 04

0290285 --> Friday, 03 - 20

0290286 --> Friday, 04 - 09

0290287 --> Friday, 04 - 01

0290288 --> Friday, 04 - 20

0290289 --> Friday, 04 - 05

0290290 --> Friday, 03 - 28

0290291 --> Friday, 04 - 17

0290292 --> Friday, 04 - 08

0290293 --> Friday, 03 - 24

0290294 --> Friday, 04 - 13

0290295 --> Friday, 04 - 05

0290296 --> Friday, 04 - 17

0290297 --> Friday, 04 - 09

0290298 --> Friday, 04 - 01

0290299 --> Friday, 04 - 21

0290300 --> Friday, 04 - 06

0290301 --> Friday, 03 - 29

0290302 --> Friday, 04 - 18

0290303 --> Friday, 04 - 03

0290304 --> Friday, 03 - 25

0290305 --> Friday, 04 - 14

0290306 --> Friday, 03 - 30

0290307 --> Friday, 04 - 19

0290308 --> Friday, 04 - 10

0290309 --> Friday, 03 - 26

0290310 --> Friday, 04 - 15

