Good Friday given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 2460000 through 2469999



2460000 --> Friday, 03 - 31

2460001 --> Friday, 04 - 20

2460002 --> Friday, 04 - 12

2460003 --> Friday, 03 - 28

2460004 --> Friday, 04 - 16

2460005 --> Friday, 04 - 08

2460006 --> Friday, 03 - 24

2460007 --> Friday, 04 - 13

2460008 --> Friday, 04 - 04

2460009 --> Friday, 03 - 20

2460010 --> Friday, 04 - 09

2460011 --> Friday, 04 - 01

2460012 --> Friday, 04 - 20

2460013 --> Friday, 04 - 05

2460014 --> Friday, 03 - 28

2460015 --> Friday, 04 - 17

2460016 --> Friday, 04 - 08

2460017 --> Friday, 03 - 24

2460018 --> Friday, 04 - 13

2460019 --> Friday, 04 - 05

2460020 --> Friday, 04 - 17

2460021 --> Friday, 04 - 09

2460022 --> Friday, 04 - 01

2460023 --> Friday, 04 - 21

2460024 --> Friday, 04 - 05

2460025 --> Friday, 03 - 28

2460026 --> Friday, 04 - 17

2460027 --> Friday, 04 - 02

2460028 --> Friday, 03 - 24

2460029 --> Friday, 04 - 13

2460030 --> Friday, 03 - 29

2460031 --> Friday, 04 - 18

2460032 --> Friday, 04 - 09

2460033 --> Friday, 03 - 25

2460034 --> Friday, 04 - 14

2460035 --> Friday, 04 - 06

2460036 --> Friday, 03 - 28

2460037 --> Friday, 04 - 10

2460038 --> Friday, 04 - 02

2460039 --> Friday, 04 - 22

2460040 --> Friday, 04 - 13

2460041 --> Friday, 03 - 29

2460042 --> Friday, 04 - 18

2460043 --> Friday, 04 - 10

2460044 --> Friday, 03 - 25

2460045 --> Friday, 04 - 14

2460046 --> Friday, 04 - 06

2460047 --> Friday, 03 - 22

2460048 --> Friday, 04 - 10

2460049 --> Friday, 04 - 02

2460050 --> Friday, 04 - 22

2460051 --> Friday, 04 - 07

2460052 --> Friday, 03 - 29

2460053 --> Friday, 04 - 18

2460054 --> Friday, 04 - 03

2460055 --> Friday, 03 - 26

2460056 --> Friday, 04 - 14

2460057 --> Friday, 03 - 30

2460058 --> Friday, 04 - 19

2460059 --> Friday, 04 - 11

2460060 --> Friday, 04 - 02

2460061 --> Friday, 04 - 15

2460062 --> Friday, 04 - 07

