Good Friday given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 2380000 through 2389999



2380000 --> Friday, 04 - 07

2380001 --> Friday, 03 - 30

2380002 --> Friday, 04 - 19

2380003 --> Friday, 04 - 04

2380004 --> Friday, 03 - 26

2380005 --> Friday, 04 - 15

2380006 --> Friday, 03 - 31

2380007 --> Friday, 04 - 20

2380008 --> Friday, 04 - 11

2380009 --> Friday, 03 - 27

2380010 --> Friday, 04 - 16

2380011 --> Friday, 04 - 08

2380012 --> Friday, 03 - 30

2380013 --> Friday, 04 - 12

2380014 --> Friday, 04 - 04

2380015 --> Friday, 03 - 27

2380016 --> Friday, 04 - 08

2380017 --> Friday, 03 - 31

2380018 --> Friday, 04 - 20

2380019 --> Friday, 04 - 05

2380020 --> Friday, 03 - 27

2380021 --> Friday, 04 - 16

2380022 --> Friday, 04 - 08

2380023 --> Friday, 03 - 24

2380024 --> Friday, 04 - 12

2380025 --> Friday, 04 - 04

2380026 --> Friday, 04 - 17

2380027 --> Friday, 04 - 09

2380028 --> Friday, 03 - 31

2380029 --> Friday, 04 - 20

2380030 --> Friday, 04 - 05

2380031 --> Friday, 03 - 28

2380032 --> Friday, 04 - 16

2380033 --> Friday, 04 - 01

2380034 --> Friday, 03 - 24

2380035 --> Friday, 04 - 13

2380036 --> Friday, 03 - 28

2380037 --> Friday, 04 - 17

2380038 --> Friday, 04 - 09

2380039 --> Friday, 03 - 25

2380040 --> Friday, 04 - 13

2380041 --> Friday, 04 - 05

2380042 --> Friday, 03 - 28

2380043 --> Friday, 04 - 10

2380044 --> Friday, 04 - 01

2380045 --> Friday, 04 - 21

2380046 --> Friday, 04 - 13

2380047 --> Friday, 03 - 29

2380048 --> Friday, 04 - 17

2380049 --> Friday, 04 - 09

2380050 --> Friday, 03 - 25

2380051 --> Friday, 04 - 14

2380052 --> Friday, 04 - 05

2380053 --> Friday, 03 - 21

2380054 --> Friday, 04 - 10

2380055 --> Friday, 04 - 02

2380056 --> Friday, 04 - 21

2380057 --> Friday, 04 - 06

2380058 --> Friday, 03 - 29

2380059 --> Friday, 04 - 18

2380060 --> Friday, 04 - 02

2380061 --> Friday, 03 - 25

2380062 --> Friday, 04 - 14

2380063 --> Friday, 03 - 30

2380064 --> Friday, 04 - 18

2380065 --> Friday, 04 - 10

2380066 --> Friday, 04 - 02

2380067 --> Friday, 04 - 15

2380068 --> Friday, 04 - 06

2380069 --> Friday, 03 - 29

2380070 --> Friday, 04 - 18

2380071 --> Friday, 04 - 03

2380072 --> Friday, 03 - 25

2380073 --> Friday, 04 - 14

2380074 --> Friday, 03 - 30

2380075 --> Friday, 04 - 19

2380076 --> Friday, 04 - 10

2380077 --> Friday, 03 - 26

2380078 --> Friday, 04 - 15

2380079 --> Friday, 04 - 07

2380080 --> Friday, 03 - 22

2380081 --> Friday, 04 - 11

2380082 --> Friday, 04 - 03

2380083 --> Friday, 04 - 23

2380084 --> Friday, 04 - 07

2380085 --> Friday, 03 - 30

2380086 --> Friday, 04 - 19

2380087 --> Friday, 04 - 04

2380088 --> Friday, 03 - 26

2380089 --> Friday, 04 - 15

2380090 --> Friday, 04 - 07

2380091 --> Friday, 03 - 23

2380092 --> Friday, 04 - 11

2380093 --> Friday, 04 - 03

2380094 --> Friday, 04 - 16

2380095 --> Friday, 04 - 08

2380096 --> Friday, 03 - 30

2380097 --> Friday, 04 - 19

2380098 --> Friday, 04 - 04

2380099 --> Friday, 03 - 27

2380100 --> Friday, 04 - 16

2380101 --> Friday, 04 - 01

2380102 --> Friday, 03 - 24

2380103 --> Friday, 04 - 13

2380104 --> Friday, 03 - 28

2380105 --> Friday, 04 - 17

2380106 --> Friday, 04 - 09

2380107 --> Friday, 03 - 25

2380108 --> Friday, 04 - 13

2380109 --> Friday, 04 - 05

2380110 --> Friday, 03 - 28

2380111 --> Friday, 04 - 10

2380112 --> Friday, 04 - 01

2380113 --> Friday, 04 - 21

2380114 --> Friday, 04 - 06

2380115 --> Friday, 03 - 29

2380116 --> Friday, 04 - 17

2380117 --> Friday, 04 - 09

2380118 --> Friday, 03 - 25

2380119 --> Friday, 04 - 14

2380120 --> Friday, 04 - 05

2380121 --> Friday, 03 - 21

2380122 --> Friday, 04 - 10

2380123 --> Friday, 04 - 02

2380124 --> Friday, 04 - 21

2380125 --> Friday, 04 - 06

2380126 --> Friday, 03 - 29

2380127 --> Friday, 04 - 18

2380128 --> Friday, 04 - 02

2380129 --> Friday, 03 - 25

2380130 --> Friday, 04 - 14

2380131 --> Friday, 03 - 30

2380132 --> Friday, 04 - 18

2380133 --> Friday, 04 - 10

2380134 --> Friday, 03 - 26

2380135 --> Friday, 04 - 15

2380136 --> Friday, 04 - 06

2380137 --> Friday, 03 - 29

2380138 --> Friday, 04 - 11

2380139 --> Friday, 04 - 03

2380140 --> Friday, 03 - 25

2380141 --> Friday, 04 - 14

2380142 --> Friday, 03 - 30

2380143 --> Friday, 04 - 19

2380144 --> Friday, 04 - 10

2380145 --> Friday, 03 - 26

2380146 --> Friday, 04 - 15

2380147 --> Friday, 04 - 07

2380148 --> Friday, 03 - 22

2380149 --> Friday, 04 - 11

2380150 --> Friday, 04 - 03

2380151 --> Friday, 04 - 23

2380152 --> Friday, 04 - 07

2380153 --> Friday, 03 - 30

2380154 --> Friday, 04 - 19

2380155 --> Friday, 04 - 04

2380156 --> Friday, 03 - 26

2380157 --> Friday, 04 - 15

2380158 --> Friday, 03 - 31

2380159 --> Friday, 03 - 23

2380160 --> Friday, 04 - 11

2380161 --> Friday, 04 - 03

2380162 --> Friday, 04 - 16

2380163 --> Friday, 04 - 08

2380164 --> Friday, 03 - 30

2380165 --> Friday, 04 - 19

2380166 --> Friday, 04 - 04

2380167 --> Friday, 03 - 27

2380168 --> Friday, 04 - 15

2380169 --> Friday, 03 - 31

2380170 --> Friday, 04 - 20

2380171 --> Friday, 04 - 12

2380172 --> Friday, 03 - 27

2380173 --> Friday, 04 - 16

2380174 --> Friday, 04 - 08

2380175 --> Friday, 03 - 24

2380176 --> Friday, 04 - 12

2380177 --> Friday, 04 - 04

2380178 --> Friday, 03 - 20

2380179 --> Friday, 04 - 09

2380180 --> Friday, 03 - 31

2380181 --> Friday, 04 - 20

2380182 --> Friday, 04 - 05

2380183 --> Friday, 03 - 28

2380184 --> Friday, 04 - 16

2380185 --> Friday, 04 - 08

2380186 --> Friday, 03 - 24

2380187 --> Friday, 04 - 13

2380188 --> Friday, 04 - 04

2380189 --> Friday, 04 - 17

2380190 --> Friday, 04 - 09

2380191 --> Friday, 04 - 01

2380192 --> Friday, 04 - 20

2380193 --> Friday, 04 - 05

2380194 --> Friday, 03 - 28

2380195 --> Friday, 04 - 17

2380196 --> Friday, 04 - 01

2380197 --> Friday, 03 - 24

2380198 --> Friday, 04 - 13

2380199 --> Friday, 03 - 29

2380200 --> Friday, 04 - 18

