Good Friday given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 0390000 through 0399999



0390000 --> Friday, 03 - 31

0390001 --> Friday, 04 - 20

0390002 --> Friday, 04 - 05

0390003 --> Friday, 03 - 28

0390004 --> Friday, 04 - 16

0390005 --> Friday, 04 - 01

0390006 --> Friday, 03 - 24

0390007 --> Friday, 04 - 13

0390008 --> Friday, 03 - 28

0390009 --> Friday, 04 - 17

0390010 --> Friday, 04 - 09

0390011 --> Friday, 03 - 25

0390012 --> Friday, 04 - 13

0390013 --> Friday, 04 - 05

0390014 --> Friday, 03 - 21

0390015 --> Friday, 04 - 10

0390016 --> Friday, 04 - 01

0390017 --> Friday, 04 - 21

0390018 --> Friday, 04 - 06

0390019 --> Friday, 03 - 29

0390020 --> Friday, 04 - 17

0390021 --> Friday, 04 - 09

0390022 --> Friday, 03 - 25

0390023 --> Friday, 04 - 14

0390024 --> Friday, 04 - 05

0390025 --> Friday, 03 - 21

0390026 --> Friday, 04 - 10

0390027 --> Friday, 04 - 02

0390028 --> Friday, 04 - 21

0390029 --> Friday, 04 - 06

0390030 --> Friday, 03 - 29

0390031 --> Friday, 04 - 18

0390032 --> Friday, 04 - 02

0390033 --> Friday, 03 - 25

0390034 --> Friday, 04 - 14

0390035 --> Friday, 03 - 30

0390036 --> Friday, 04 - 18

0390037 --> Friday, 04 - 10

0390038 --> Friday, 03 - 26

0390039 --> Friday, 04 - 15

0390040 --> Friday, 04 - 06

0390041 --> Friday, 03 - 29

0390042 --> Friday, 04 - 11

0390043 --> Friday, 04 - 03

0390044 --> Friday, 03 - 25

0390045 --> Friday, 04 - 14

0390046 --> Friday, 03 - 30

0390047 --> Friday, 04 - 19

0390048 --> Friday, 04 - 10

0390049 --> Friday, 03 - 26

0390050 --> Friday, 04 - 15

0390051 --> Friday, 04 - 07

0390052 --> Friday, 03 - 22

0390053 --> Friday, 04 - 11

0390054 --> Friday, 04 - 03

0390055 --> Friday, 04 - 23

0390056 --> Friday, 04 - 07

0390057 --> Friday, 03 - 30

0390058 --> Friday, 04 - 19

0390059 --> Friday, 04 - 04

0390060 --> Friday, 03 - 26

0390061 --> Friday, 04 - 15

0390062 --> Friday, 03 - 31

0390063 --> Friday, 03 - 23

0390064 --> Friday, 04 - 11

0390065 --> Friday, 04 - 03

0390066 --> Friday, 04 - 16

0390067 --> Friday, 04 - 08

0390068 --> Friday, 03 - 30

0390069 --> Friday, 04 - 19

0390070 --> Friday, 04 - 04

0390071 --> Friday, 03 - 27

0390072 --> Friday, 04 - 15

0390073 --> Friday, 03 - 31

0390074 --> Friday, 04 - 20

0390075 --> Friday, 04 - 12

0390076 --> Friday, 03 - 27

0390077 --> Friday, 04 - 16

0390078 --> Friday, 04 - 08

0390079 --> Friday, 03 - 24

0390080 --> Friday, 04 - 12

0390081 --> Friday, 04 - 04

0390082 --> Friday, 03 - 20

0390083 --> Friday, 04 - 09

0390084 --> Friday, 03 - 31

0390085 --> Friday, 04 - 20

0390086 --> Friday, 04 - 05

0390087 --> Friday, 03 - 28

0390088 --> Friday, 04 - 16

0390089 --> Friday, 04 - 01

0390090 --> Friday, 03 - 24

0390091 --> Friday, 04 - 13

0390092 --> Friday, 04 - 04

0390093 --> Friday, 04 - 17

0390094 --> Friday, 04 - 09

0390095 --> Friday, 04 - 01

0390096 --> Friday, 04 - 20

0390097 --> Friday, 04 - 05

