Good Friday given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 2150000 through 2159999



2150000 --> Friday, 04 - 07

2150001 --> Friday, 03 - 23

2150002 --> Friday, 04 - 12

2150003 --> Friday, 04 - 04

2150004 --> Friday, 04 - 23

2150005 --> Friday, 04 - 08

2150006 --> Friday, 03 - 31

2150007 --> Friday, 04 - 20

2150008 --> Friday, 04 - 04

2150009 --> Friday, 03 - 27

2150010 --> Friday, 04 - 16

2150011 --> Friday, 04 - 01

2150012 --> Friday, 03 - 23

2150013 --> Friday, 04 - 12

2150014 --> Friday, 03 - 28

2150015 --> Friday, 04 - 17

2150016 --> Friday, 04 - 08

2150017 --> Friday, 03 - 31

2150018 --> Friday, 04 - 13

2150019 --> Friday, 04 - 05

2150020 --> Friday, 03 - 27

2150021 --> Friday, 04 - 09

2150022 --> Friday, 04 - 01

2150023 --> Friday, 04 - 21

2150024 --> Friday, 04 - 12

2150025 --> Friday, 03 - 28

2150026 --> Friday, 04 - 17

2150027 --> Friday, 04 - 09

2150028 --> Friday, 03 - 24

2150029 --> Friday, 04 - 13

2150030 --> Friday, 04 - 05

2150031 --> Friday, 03 - 21

2150032 --> Friday, 04 - 09

2150033 --> Friday, 04 - 01

2150034 --> Friday, 04 - 21

2150035 --> Friday, 04 - 06

2150036 --> Friday, 03 - 28

2150037 --> Friday, 04 - 17

2150038 --> Friday, 04 - 02

2150039 --> Friday, 03 - 25

2150040 --> Friday, 04 - 13

2150041 --> Friday, 03 - 29

2150042 --> Friday, 04 - 18

2150043 --> Friday, 04 - 10

2150044 --> Friday, 04 - 01

2150045 --> Friday, 04 - 14

2150046 --> Friday, 04 - 06

2150047 --> Friday, 03 - 29

2150048 --> Friday, 04 - 17

2150049 --> Friday, 04 - 02

2150050 --> Friday, 03 - 25

2150051 --> Friday, 04 - 14

2150052 --> Friday, 03 - 29

2150053 --> Friday, 04 - 18

2150054 --> Friday, 04 - 10

2150055 --> Friday, 03 - 26

2150056 --> Friday, 04 - 14

2150057 --> Friday, 04 - 06

2150058 --> Friday, 03 - 22

2150059 --> Friday, 04 - 11

2150060 --> Friday, 04 - 02

