Good Friday given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 0700000 through 0709999



0700000 --> Friday, 03 - 24

0700001 --> Friday, 04 - 13

0700002 --> Friday, 04 - 05

0700003 --> Friday, 03 - 21

0700004 --> Friday, 04 - 09

0700005 --> Friday, 04 - 01

0700006 --> Friday, 04 - 21

0700007 --> Friday, 04 - 06

0700008 --> Friday, 03 - 28

0700009 --> Friday, 04 - 17

0700010 --> Friday, 04 - 02

0700011 --> Friday, 03 - 25

0700012 --> Friday, 04 - 13

0700013 --> Friday, 04 - 05

0700014 --> Friday, 04 - 18

0700015 --> Friday, 04 - 10

0700016 --> Friday, 04 - 01

0700017 --> Friday, 04 - 14

0700018 --> Friday, 04 - 06

0700019 --> Friday, 03 - 29

0700020 --> Friday, 04 - 17

0700021 --> Friday, 04 - 02

0700022 --> Friday, 03 - 25

0700023 --> Friday, 04 - 14

0700024 --> Friday, 03 - 29

0700025 --> Friday, 04 - 18

0700026 --> Friday, 04 - 10

0700027 --> Friday, 03 - 26

0700028 --> Friday, 04 - 14

0700029 --> Friday, 04 - 06

0700030 --> Friday, 03 - 22

0700031 --> Friday, 04 - 11

0700032 --> Friday, 04 - 02

0700033 --> Friday, 04 - 22

0700034 --> Friday, 04 - 07

0700035 --> Friday, 03 - 30

0700036 --> Friday, 04 - 18

0700037 --> Friday, 04 - 03

0700038 --> Friday, 03 - 26

0700039 --> Friday, 04 - 15

0700040 --> Friday, 04 - 06

0700041 --> Friday, 03 - 22

0700042 --> Friday, 04 - 11

0700043 --> Friday, 04 - 03

0700044 --> Friday, 04 - 22

0700045 --> Friday, 04 - 07

0700046 --> Friday, 03 - 30

0700047 --> Friday, 04 - 19

0700048 --> Friday, 04 - 03

0700049 --> Friday, 03 - 26

0700050 --> Friday, 04 - 15

0700051 --> Friday, 03 - 31

0700052 --> Friday, 04 - 19

0700053 --> Friday, 04 - 11

0700054 --> Friday, 03 - 27

0700055 --> Friday, 04 - 16

0700056 --> Friday, 04 - 07

0700057 --> Friday, 03 - 23

0700058 --> Friday, 04 - 12

0700059 --> Friday, 04 - 04

0700060 --> Friday, 03 - 26

0700061 --> Friday, 04 - 08

0700062 --> Friday, 03 - 31

0700063 --> Friday, 04 - 20

0700064 --> Friday, 04 - 11

0700065 --> Friday, 03 - 27

0700066 --> Friday, 04 - 16

0700067 --> Friday, 04 - 08

0700068 --> Friday, 03 - 23

0700069 --> Friday, 04 - 12

0700070 --> Friday, 04 - 04

0700071 --> Friday, 04 - 17

0700072 --> Friday, 04 - 08

0700073 --> Friday, 03 - 31

0700074 --> Friday, 04 - 20

0700075 --> Friday, 04 - 05

0700076 --> Friday, 03 - 27

0700077 --> Friday, 04 - 16

0700078 --> Friday, 04 - 01

0700079 --> Friday, 03 - 24

0700080 --> Friday, 04 - 12

0700081 --> Friday, 03 - 28

0700082 --> Friday, 04 - 17

0700083 --> Friday, 04 - 09

0700084 --> Friday, 03 - 31

0700085 --> Friday, 04 - 13

0700086 --> Friday, 04 - 05

0700087 --> Friday, 03 - 28

0700088 --> Friday, 04 - 16

0700089 --> Friday, 04 - 01

0700090 --> Friday, 04 - 21

0700091 --> Friday, 04 - 13

0700092 --> Friday, 03 - 28

0700093 --> Friday, 04 - 17

0700094 --> Friday, 04 - 09

0700095 --> Friday, 03 - 25

0700096 --> Friday, 04 - 13

0700097 --> Friday, 04 - 05

0700098 --> Friday, 03 - 21

0700099 --> Friday, 04 - 10

0700100 --> Friday, 04 - 02

0700101 --> Friday, 04 - 22

0700102 --> Friday, 04 - 07

0700103 --> Friday, 03 - 30

0700104 --> Friday, 04 - 18

0700105 --> Friday, 04 - 03

0700106 --> Friday, 03 - 26

0700107 --> Friday, 04 - 15

0700108 --> Friday, 04 - 06

0700109 --> Friday, 03 - 22

0700110 --> Friday, 04 - 11

0700111 --> Friday, 04 - 03

0700112 --> Friday, 04 - 15

0700113 --> Friday, 04 - 07

0700114 --> Friday, 03 - 30

0700115 --> Friday, 04 - 12

0700116 --> Friday, 04 - 03

0700117 --> Friday, 03 - 26

0700118 --> Friday, 04 - 15

0700119 --> Friday, 03 - 31

0700120 --> Friday, 04 - 19

0700121 --> Friday, 04 - 11

0700122 --> Friday, 03 - 27

0700123 --> Friday, 04 - 16

0700124 --> Friday, 04 - 07

0700125 --> Friday, 03 - 23

0700126 --> Friday, 04 - 12

0700127 --> Friday, 04 - 04

0700128 --> Friday, 03 - 26

0700129 --> Friday, 04 - 08

0700130 --> Friday, 03 - 31

0700131 --> Friday, 04 - 20

0700132 --> Friday, 04 - 04

0700133 --> Friday, 03 - 27

0700134 --> Friday, 04 - 16

0700135 --> Friday, 04 - 01

0700136 --> Friday, 03 - 23

0700137 --> Friday, 04 - 12

0700138 --> Friday, 04 - 04

0700139 --> Friday, 04 - 17

0700140 --> Friday, 04 - 08

0700141 --> Friday, 03 - 31

0700142 --> Friday, 04 - 20

0700143 --> Friday, 04 - 05

0700144 --> Friday, 03 - 27

0700145 --> Friday, 04 - 16

0700146 --> Friday, 04 - 01

0700147 --> Friday, 03 - 24

0700148 --> Friday, 04 - 12

0700149 --> Friday, 03 - 28

0700150 --> Friday, 04 - 17

0700151 --> Friday, 04 - 09

0700152 --> Friday, 03 - 24

0700153 --> Friday, 04 - 13

0700154 --> Friday, 04 - 05

0700155 --> Friday, 03 - 21

0700156 --> Friday, 04 - 09

0700157 --> Friday, 04 - 01

0700158 --> Friday, 04 - 21

0700159 --> Friday, 04 - 06

0700160 --> Friday, 03 - 28

0700161 --> Friday, 04 - 17

0700162 --> Friday, 04 - 09

0700163 --> Friday, 03 - 25

0700164 --> Friday, 04 - 13

0700165 --> Friday, 04 - 05

0700166 --> Friday, 03 - 21

0700167 --> Friday, 04 - 10

0700168 --> Friday, 04 - 01

0700169 --> Friday, 04 - 21

0700170 --> Friday, 04 - 06

0700171 --> Friday, 03 - 29

0700172 --> Friday, 04 - 17

0700173 --> Friday, 04 - 02

0700174 --> Friday, 03 - 25

0700175 --> Friday, 04 - 14

0700176 --> Friday, 03 - 29

0700177 --> Friday, 04 - 18

0700178 --> Friday, 04 - 10

0700179 --> Friday, 03 - 26

0700180 --> Friday, 04 - 14

0700181 --> Friday, 04 - 06

0700182 --> Friday, 03 - 29

0700183 --> Friday, 04 - 11

0700184 --> Friday, 04 - 02

0700185 --> Friday, 03 - 25

0700186 --> Friday, 04 - 14

0700187 --> Friday, 03 - 30

0700188 --> Friday, 04 - 18

0700189 --> Friday, 04 - 10

0700190 --> Friday, 03 - 26

0700191 --> Friday, 04 - 15

0700192 --> Friday, 04 - 06

0700193 --> Friday, 03 - 22

0700194 --> Friday, 04 - 11

0700195 --> Friday, 04 - 03

0700196 --> Friday, 04 - 22

0700197 --> Friday, 04 - 07

0700198 --> Friday, 03 - 30

0700199 --> Friday, 04 - 19

0700200 --> Friday, 04 - 04

0700201 --> Friday, 03 - 27

0700202 --> Friday, 04 - 16

0700203 --> Friday, 04 - 01

0700204 --> Friday, 03 - 23

0700205 --> Friday, 04 - 12

0700206 --> Friday, 03 - 28

0700207 --> Friday, 04 - 17

0700208 --> Friday, 04 - 08

0700209 --> Friday, 03 - 24

0700210 --> Friday, 04 - 13

0700211 --> Friday, 04 - 05

0700212 --> Friday, 03 - 27

0700213 --> Friday, 04 - 09

0700214 --> Friday, 04 - 01

0700215 --> Friday, 04 - 21

0700216 --> Friday, 04 - 12

0700217 --> Friday, 03 - 28

0700218 --> Friday, 04 - 17

0700219 --> Friday, 04 - 09

0700220 --> Friday, 03 - 24

0700221 --> Friday, 04 - 13

0700222 --> Friday, 04 - 05

0700223 --> Friday, 03 - 21

0700224 --> Friday, 04 - 09

0700225 --> Friday, 04 - 01

0700226 --> Friday, 04 - 21

0700227 --> Friday, 04 - 06

0700228 --> Friday, 03 - 28

