Good Friday given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 4420000 through 4429999



4420000 --> Friday, 03 - 24

4420001 --> Friday, 04 - 13

4420002 --> Friday, 03 - 29

4420003 --> Friday, 04 - 18

4420004 --> Friday, 04 - 09

4420005 --> Friday, 03 - 25

4420006 --> Friday, 04 - 14

4420007 --> Friday, 04 - 06

4420008 --> Friday, 03 - 21

4420009 --> Friday, 04 - 10

4420010 --> Friday, 04 - 02

4420011 --> Friday, 04 - 22

4420012 --> Friday, 04 - 06

4420013 --> Friday, 03 - 29

4420014 --> Friday, 04 - 18

4420015 --> Friday, 04 - 03

4420016 --> Friday, 03 - 25

4420017 --> Friday, 04 - 14

4420018 --> Friday, 04 - 06

4420019 --> Friday, 03 - 22

4420020 --> Friday, 04 - 10

4420021 --> Friday, 04 - 02

4420022 --> Friday, 04 - 22

4420023 --> Friday, 04 - 07

4420024 --> Friday, 03 - 29

4420025 --> Friday, 04 - 18

4420026 --> Friday, 04 - 03

4420027 --> Friday, 03 - 26

4420028 --> Friday, 04 - 14

4420029 --> Friday, 03 - 30

4420030 --> Friday, 04 - 19

4420031 --> Friday, 04 - 11

4420032 --> Friday, 03 - 26

4420033 --> Friday, 04 - 15

4420034 --> Friday, 04 - 07

4420035 --> Friday, 03 - 23

4420036 --> Friday, 04 - 11

4420037 --> Friday, 04 - 03

4420038 --> Friday, 03 - 26

4420039 --> Friday, 04 - 08

4420040 --> Friday, 03 - 30

4420041 --> Friday, 04 - 19

4420042 --> Friday, 04 - 11

4420043 --> Friday, 03 - 27

4420044 --> Friday, 04 - 15

4420045 --> Friday, 04 - 07

4420046 --> Friday, 03 - 23

4420047 --> Friday, 04 - 12

4420048 --> Friday, 04 - 03

4420049 --> Friday, 04 - 23

4420050 --> Friday, 04 - 08

4420051 --> Friday, 03 - 31

4420052 --> Friday, 04 - 19

4420053 --> Friday, 04 - 04

4420054 --> Friday, 03 - 27

4420055 --> Friday, 04 - 16

4420056 --> Friday, 03 - 31

4420057 --> Friday, 03 - 23

4420058 --> Friday, 04 - 12

4420059 --> Friday, 03 - 28

4420060 --> Friday, 04 - 16

4420061 --> Friday, 04 - 08

4420062 --> Friday, 03 - 31

4420063 --> Friday, 04 - 13

4420064 --> Friday, 04 - 04

4420065 --> Friday, 03 - 27

4420066 --> Friday, 04 - 09

4420067 --> Friday, 04 - 01

4420068 --> Friday, 04 - 20

4420069 --> Friday, 04 - 12

4420070 --> Friday, 03 - 28

4420071 --> Friday, 04 - 17

4420072 --> Friday, 04 - 08

4420073 --> Friday, 03 - 24

4420074 --> Friday, 04 - 13

4420075 --> Friday, 04 - 05

4420076 --> Friday, 03 - 20

4420077 --> Friday, 04 - 09

4420078 --> Friday, 04 - 01

4420079 --> Friday, 04 - 21

4420080 --> Friday, 04 - 05

4420081 --> Friday, 03 - 28

4420082 --> Friday, 04 - 17

4420083 --> Friday, 04 - 02

4420084 --> Friday, 03 - 24

4420085 --> Friday, 04 - 13

4420086 --> Friday, 03 - 29

4420087 --> Friday, 04 - 18

4420088 --> Friday, 04 - 09

4420089 --> Friday, 04 - 01

4420090 --> Friday, 04 - 14

4420091 --> Friday, 04 - 06

4420092 --> Friday, 03 - 28

4420093 --> Friday, 04 - 17

4420094 --> Friday, 04 - 02

4420095 --> Friday, 03 - 25

4420096 --> Friday, 04 - 13

4420097 --> Friday, 03 - 29

4420098 --> Friday, 04 - 18

4420099 --> Friday, 04 - 10

4420100 --> Friday, 03 - 26

4420101 --> Friday, 04 - 15

4420102 --> Friday, 04 - 07

4420103 --> Friday, 03 - 23

4420104 --> Friday, 04 - 11

4420105 --> Friday, 04 - 03

4420106 --> Friday, 04 - 23

4420107 --> Friday, 04 - 08

4420108 --> Friday, 03 - 30

4420109 --> Friday, 04 - 19

4420110 --> Friday, 04 - 04

4420111 --> Friday, 03 - 27

4420112 --> Friday, 04 - 15

4420113 --> Friday, 04 - 07

4420114 --> Friday, 03 - 23

4420115 --> Friday, 04 - 12

4420116 --> Friday, 04 - 03

4420117 --> Friday, 04 - 16

4420118 --> Friday, 04 - 08

4420119 --> Friday, 03 - 31

4420120 --> Friday, 04 - 19

4420121 --> Friday, 04 - 04

4420122 --> Friday, 03 - 27

4420123 --> Friday, 04 - 16

4420124 --> Friday, 03 - 31

4420125 --> Friday, 04 - 20

4420126 --> Friday, 04 - 12

4420127 --> Friday, 03 - 28

4420128 --> Friday, 04 - 16

4420129 --> Friday, 04 - 08

4420130 --> Friday, 03 - 24

4420131 --> Friday, 04 - 13

4420132 --> Friday, 04 - 04

4420133 --> Friday, 03 - 27

4420134 --> Friday, 04 - 09

4420135 --> Friday, 04 - 01

4420136 --> Friday, 04 - 20

4420137 --> Friday, 04 - 12

4420138 --> Friday, 03 - 28

4420139 --> Friday, 04 - 17

4420140 --> Friday, 04 - 08

4420141 --> Friday, 03 - 24

4420142 --> Friday, 04 - 13

4420143 --> Friday, 04 - 05

4420144 --> Friday, 04 - 17

4420145 --> Friday, 04 - 09

4420146 --> Friday, 04 - 01

4420147 --> Friday, 04 - 21

4420148 --> Friday, 04 - 05

4420149 --> Friday, 03 - 28

4420150 --> Friday, 04 - 17

4420151 --> Friday, 04 - 02

4420152 --> Friday, 03 - 24

4420153 --> Friday, 04 - 13

4420154 --> Friday, 03 - 29

4420155 --> Friday, 04 - 18

4420156 --> Friday, 04 - 09

4420157 --> Friday, 04 - 01

4420158 --> Friday, 04 - 14

4420159 --> Friday, 04 - 06

4420160 --> Friday, 03 - 28

4420161 --> Friday, 04 - 10

4420162 --> Friday, 04 - 02

4420163 --> Friday, 04 - 22

4420164 --> Friday, 04 - 13

4420165 --> Friday, 03 - 29

4420166 --> Friday, 04 - 18

4420167 --> Friday, 04 - 10

4420168 --> Friday, 03 - 25

4420169 --> Friday, 04 - 14

4420170 --> Friday, 04 - 06

4420171 --> Friday, 03 - 22

4420172 --> Friday, 04 - 10

4420173 --> Friday, 04 - 02

4420174 --> Friday, 04 - 22

4420175 --> Friday, 04 - 07

4420176 --> Friday, 03 - 29

4420177 --> Friday, 04 - 18

4420178 --> Friday, 04 - 03

4420179 --> Friday, 03 - 26

4420180 --> Friday, 04 - 14

4420181 --> Friday, 03 - 30

4420182 --> Friday, 04 - 19

4420183 --> Friday, 04 - 11

4420184 --> Friday, 04 - 02

4420185 --> Friday, 04 - 15

4420186 --> Friday, 04 - 07

4420187 --> Friday, 03 - 30

4420188 --> Friday, 04 - 18

4420189 --> Friday, 04 - 03

4420190 --> Friday, 03 - 26

4420191 --> Friday, 04 - 15

4420192 --> Friday, 03 - 30

4420193 --> Friday, 04 - 19

4420194 --> Friday, 04 - 11

4420195 --> Friday, 03 - 27

4420196 --> Friday, 04 - 15

4420197 --> Friday, 04 - 07

4420198 --> Friday, 03 - 23

4420199 --> Friday, 04 - 12

4420200 --> Friday, 04 - 04

4420201 --> Friday, 04 - 17

4420202 --> Friday, 04 - 09

4420203 --> Friday, 04 - 01

4420204 --> Friday, 04 - 20

4420205 --> Friday, 04 - 05

4420206 --> Friday, 03 - 28

4420207 --> Friday, 04 - 17

4420208 --> Friday, 04 - 01

4420209 --> Friday, 03 - 24

4420210 --> Friday, 04 - 13

4420211 --> Friday, 03 - 29

4420212 --> Friday, 04 - 17

4420213 --> Friday, 04 - 09

4420214 --> Friday, 04 - 01

4420215 --> Friday, 04 - 14

4420216 --> Friday, 04 - 05

4420217 --> Friday, 03 - 28

4420218 --> Friday, 04 - 10

4420219 --> Friday, 04 - 02

4420220 --> Friday, 04 - 21

4420221 --> Friday, 04 - 13

4420222 --> Friday, 03 - 29

4420223 --> Friday, 04 - 18

4420224 --> Friday, 04 - 09

4420225 --> Friday, 03 - 25

4420226 --> Friday, 04 - 14

4420227 --> Friday, 04 - 06

4420228 --> Friday, 03 - 21

4420229 --> Friday, 04 - 10

4420230 --> Friday, 04 - 02

4420231 --> Friday, 04 - 22

4420232 --> Friday, 04 - 06

4420233 --> Friday, 03 - 29

4420234 --> Friday, 04 - 18

4420235 --> Friday, 04 - 03

4420236 --> Friday, 03 - 25

4420237 --> Friday, 04 - 14

4420238 --> Friday, 03 - 30

4420239 --> Friday, 04 - 19

4420240 --> Friday, 04 - 10

4420241 --> Friday, 04 - 02

4420242 --> Friday, 04 - 15

4420243 --> Friday, 04 - 07

4420244 --> Friday, 03 - 29

4420245 --> Friday, 04 - 18

4420246 --> Friday, 04 - 03

4420247 --> Friday, 03 - 26

4420248 --> Friday, 04 - 14

4420249 --> Friday, 03 - 30

4420250 --> Friday, 04 - 19

4420251 --> Friday, 04 - 11

4420252 --> Friday, 03 - 26

4420253 --> Friday, 04 - 15

4420254 --> Friday, 04 - 07

4420255 --> Friday, 03 - 23

4420256 --> Friday, 04 - 11

4420257 --> Friday, 04 - 03

4420258 --> Friday, 04 - 23

4420259 --> Friday, 04 - 08

4420260 --> Friday, 03 - 30

4420261 --> Friday, 04 - 19

4420262 --> Friday, 04 - 04

4420263 --> Friday, 03 - 27

4420264 --> Friday, 04 - 15

4420265 --> Friday, 04 - 07

4420266 --> Friday, 03 - 23

4420267 --> Friday, 04 - 12

4420268 --> Friday, 04 - 03

4420269 --> Friday, 04 - 16

4420270 --> Friday, 04 - 08

4420271 --> Friday, 03 - 31

4420272 --> Friday, 04 - 19

4420273 --> Friday, 04 - 04

4420274 --> Friday, 03 - 27

4420275 --> Friday, 04 - 16

4420276 --> Friday, 03 - 31

4420277 --> Friday, 04 - 20

4420278 --> Friday, 04 - 12

4420279 --> Friday, 03 - 28

4420280 --> Friday, 04 - 16

4420281 --> Friday, 04 - 08

4420282 --> Friday, 03 - 24

4420283 --> Friday, 04 - 13

4420284 --> Friday, 04 - 04

4420285 --> Friday, 03 - 27

4420286 --> Friday, 04 - 09

4420287 --> Friday, 04 - 01

4420288 --> Friday, 04 - 20

4420289 --> Friday, 04 - 12

4420290 --> Friday, 03 - 28

4420291 --> Friday, 04 - 17

4420292 --> Friday, 04 - 08

4420293 --> Friday, 03 - 24

4420294 --> Friday, 04 - 13

4420295 --> Friday, 04 - 05

4420296 --> Friday, 04 - 17

4420297 --> Friday, 04 - 09

4420298 --> Friday, 04 - 01

4420299 --> Friday, 04 - 21

4420300 --> Friday, 04 - 06

4420301 --> Friday, 03 - 29

4420302 --> Friday, 04 - 18

4420303 --> Friday, 04 - 03

4420304 --> Friday, 03 - 25

4420305 --> Friday, 04 - 14

4420306 --> Friday, 03 - 30

4420307 --> Friday, 04 - 19

4420308 --> Friday, 04 - 10

4420309 --> Friday, 04 - 02

4420310 --> Friday, 04 - 15

4420311 --> Friday, 04 - 07

4420312 --> Friday, 03 - 29

4420313 --> Friday, 04 - 11

4420314 --> Friday, 04 - 03

4420315 --> Friday, 03 - 26

4420316 --> Friday, 04 - 14

4420317 --> Friday, 03 - 30

4420318 --> Friday, 04 - 19

4420319 --> Friday, 04 - 11

4420320 --> Friday, 03 - 26

