Good Friday given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 0980000 through 0989999



0980000 --> Friday, 03 - 31

0980001 --> Friday, 04 - 20

0980002 --> Friday, 04 - 12

0980003 --> Friday, 03 - 28

0980004 --> Friday, 04 - 16

0980005 --> Friday, 04 - 08

0980006 --> Friday, 03 - 24

0980007 --> Friday, 04 - 13

0980008 --> Friday, 04 - 04

0980009 --> Friday, 03 - 27

0980010 --> Friday, 04 - 09

0980011 --> Friday, 04 - 01

0980012 --> Friday, 04 - 20

0980013 --> Friday, 04 - 12

0980014 --> Friday, 03 - 28

0980015 --> Friday, 04 - 17

0980016 --> Friday, 04 - 08

0980017 --> Friday, 03 - 24

0980018 --> Friday, 04 - 13

0980019 --> Friday, 04 - 05

0980020 --> Friday, 04 - 17

0980021 --> Friday, 04 - 09

0980022 --> Friday, 04 - 01

0980023 --> Friday, 04 - 21

0980024 --> Friday, 04 - 05

0980025 --> Friday, 03 - 28

0980026 --> Friday, 04 - 17

0980027 --> Friday, 04 - 02

0980028 --> Friday, 03 - 24

0980029 --> Friday, 04 - 13

0980030 --> Friday, 03 - 29

0980031 --> Friday, 04 - 18

0980032 --> Friday, 04 - 09

0980033 --> Friday, 04 - 01

0980034 --> Friday, 04 - 14

0980035 --> Friday, 04 - 06

0980036 --> Friday, 03 - 28

0980037 --> Friday, 04 - 17

0980038 --> Friday, 04 - 02

0980039 --> Friday, 04 - 22

0980040 --> Friday, 04 - 13

0980041 --> Friday, 03 - 29

0980042 --> Friday, 04 - 18

0980043 --> Friday, 04 - 10

0980044 --> Friday, 03 - 25

0980045 --> Friday, 04 - 14

0980046 --> Friday, 04 - 06

0980047 --> Friday, 03 - 22

0980048 --> Friday, 04 - 10

0980049 --> Friday, 04 - 02

0980050 --> Friday, 04 - 22

0980051 --> Friday, 04 - 07

0980052 --> Friday, 03 - 29

0980053 --> Friday, 04 - 18

0980054 --> Friday, 04 - 03

0980055 --> Friday, 03 - 26

0980056 --> Friday, 04 - 14

0980057 --> Friday, 04 - 06

0980058 --> Friday, 04 - 19

0980059 --> Friday, 04 - 11

0980060 --> Friday, 04 - 02

0980061 --> Friday, 04 - 15

0980062 --> Friday, 04 - 07

0980063 --> Friday, 03 - 30

0980064 --> Friday, 04 - 18

0980065 --> Friday, 04 - 03

0980066 --> Friday, 03 - 26

0980067 --> Friday, 04 - 15

0980068 --> Friday, 03 - 30

0980069 --> Friday, 04 - 19

0980070 --> Friday, 04 - 11

0980071 --> Friday, 03 - 27

0980072 --> Friday, 04 - 15

0980073 --> Friday, 04 - 07

0980074 --> Friday, 03 - 23

0980075 --> Friday, 04 - 12

0980076 --> Friday, 04 - 03

0980077 --> Friday, 04 - 23

0980078 --> Friday, 04 - 08

0980079 --> Friday, 03 - 31

0980080 --> Friday, 04 - 19

0980081 --> Friday, 04 - 04

0980082 --> Friday, 03 - 27

0980083 --> Friday, 04 - 16

0980084 --> Friday, 04 - 07

0980085 --> Friday, 03 - 23

0980086 --> Friday, 04 - 12

0980087 --> Friday, 04 - 04

0980088 --> Friday, 04 - 16

0980089 --> Friday, 04 - 08

0980090 --> Friday, 03 - 31

0980091 --> Friday, 04 - 20

0980092 --> Friday, 04 - 04

0980093 --> Friday, 03 - 27

0980094 --> Friday, 04 - 16

0980095 --> Friday, 04 - 01

0980096 --> Friday, 04 - 20

0980097 --> Friday, 04 - 12

0980098 --> Friday, 03 - 28

0980099 --> Friday, 04 - 17

0980100 --> Friday, 04 - 09

0980101 --> Friday, 03 - 25

0980102 --> Friday, 04 - 14

0980103 --> Friday, 04 - 06

0980104 --> Friday, 03 - 28

0980105 --> Friday, 04 - 10

0980106 --> Friday, 04 - 02

0980107 --> Friday, 04 - 22

0980108 --> Friday, 04 - 13

0980109 --> Friday, 03 - 29

0980110 --> Friday, 04 - 18

0980111 --> Friday, 04 - 10

0980112 --> Friday, 03 - 25

0980113 --> Friday, 04 - 14

0980114 --> Friday, 04 - 06

0980115 --> Friday, 03 - 22

0980116 --> Friday, 04 - 10

0980117 --> Friday, 04 - 02

0980118 --> Friday, 04 - 22

0980119 --> Friday, 04 - 07

0980120 --> Friday, 03 - 29

0980121 --> Friday, 04 - 18

0980122 --> Friday, 04 - 03

0980123 --> Friday, 03 - 26

0980124 --> Friday, 04 - 14

0980125 --> Friday, 03 - 30

0980126 --> Friday, 04 - 19

0980127 --> Friday, 04 - 11

0980128 --> Friday, 04 - 02

0980129 --> Friday, 04 - 15

0980130 --> Friday, 04 - 07

0980131 --> Friday, 03 - 30

