Good Friday given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 3260000 through 3269999



3260000 --> Friday, 03 - 31

3260001 --> Friday, 04 - 13

3260002 --> Friday, 04 - 05

3260003 --> Friday, 03 - 21

3260004 --> Friday, 04 - 09

3260005 --> Friday, 04 - 01

3260006 --> Friday, 04 - 21

3260007 --> Friday, 04 - 06

3260008 --> Friday, 03 - 28

3260009 --> Friday, 04 - 17

3260010 --> Friday, 04 - 09

3260011 --> Friday, 03 - 25

3260012 --> Friday, 04 - 13

3260013 --> Friday, 04 - 05

3260014 --> Friday, 03 - 21

3260015 --> Friday, 04 - 10

3260016 --> Friday, 04 - 01

3260017 --> Friday, 04 - 21

3260018 --> Friday, 04 - 06

3260019 --> Friday, 03 - 29

3260020 --> Friday, 04 - 17

3260021 --> Friday, 04 - 02

3260022 --> Friday, 03 - 25

3260023 --> Friday, 04 - 14

3260024 --> Friday, 03 - 29

3260025 --> Friday, 04 - 18

3260026 --> Friday, 04 - 10

3260027 --> Friday, 03 - 26

3260028 --> Friday, 04 - 14

3260029 --> Friday, 04 - 06

3260030 --> Friday, 03 - 29

3260031 --> Friday, 04 - 11

3260032 --> Friday, 04 - 02

3260033 --> Friday, 03 - 25

3260034 --> Friday, 04 - 14

3260035 --> Friday, 03 - 30

3260036 --> Friday, 04 - 18

3260037 --> Friday, 04 - 10

3260038 --> Friday, 03 - 26

3260039 --> Friday, 04 - 15

3260040 --> Friday, 04 - 06

3260041 --> Friday, 03 - 22

3260042 --> Friday, 04 - 11

3260043 --> Friday, 04 - 03

3260044 --> Friday, 04 - 22

3260045 --> Friday, 04 - 07

3260046 --> Friday, 03 - 30

3260047 --> Friday, 04 - 19

3260048 --> Friday, 04 - 03

3260049 --> Friday, 03 - 26

3260050 --> Friday, 04 - 15

3260051 --> Friday, 03 - 31

3260052 --> Friday, 03 - 22

3260053 --> Friday, 04 - 11

3260054 --> Friday, 04 - 03

3260055 --> Friday, 04 - 16

3260056 --> Friday, 04 - 07

3260057 --> Friday, 03 - 30

3260058 --> Friday, 04 - 12

3260059 --> Friday, 04 - 04

3260060 --> Friday, 03 - 26

3260061 --> Friday, 04 - 15

3260062 --> Friday, 03 - 31

3260063 --> Friday, 04 - 20

3260064 --> Friday, 04 - 11

3260065 --> Friday, 03 - 27

3260066 --> Friday, 04 - 16

3260067 --> Friday, 04 - 08

3260068 --> Friday, 03 - 23

3260069 --> Friday, 04 - 12

3260070 --> Friday, 04 - 04

3260071 --> Friday, 03 - 20

3260072 --> Friday, 04 - 08

3260073 --> Friday, 03 - 31

3260074 --> Friday, 04 - 20

3260075 --> Friday, 04 - 05

3260076 --> Friday, 03 - 27

3260077 --> Friday, 04 - 16

3260078 --> Friday, 04 - 01

3260079 --> Friday, 03 - 24

3260080 --> Friday, 04 - 12

3260081 --> Friday, 04 - 04

3260082 --> Friday, 04 - 17

3260083 --> Friday, 04 - 09

3260084 --> Friday, 03 - 31

3260085 --> Friday, 04 - 20

3260086 --> Friday, 04 - 05

3260087 --> Friday, 03 - 28

3260088 --> Friday, 04 - 16

3260089 --> Friday, 04 - 01

3260090 --> Friday, 03 - 24

3260091 --> Friday, 04 - 13

3260092 --> Friday, 03 - 28

3260093 --> Friday, 04 - 17

3260094 --> Friday, 04 - 09

3260095 --> Friday, 03 - 25

3260096 --> Friday, 04 - 13

3260097 --> Friday, 04 - 05

3260098 --> Friday, 03 - 21

3260099 --> Friday, 04 - 10

3260100 --> Friday, 04 - 02

3260101 --> Friday, 04 - 22

3260102 --> Friday, 04 - 07

3260103 --> Friday, 03 - 30

3260104 --> Friday, 04 - 18

3260105 --> Friday, 04 - 10

3260106 --> Friday, 03 - 26

3260107 --> Friday, 04 - 15

3260108 --> Friday, 04 - 06

3260109 --> Friday, 03 - 22

3260110 --> Friday, 04 - 11

3260111 --> Friday, 04 - 03

3260112 --> Friday, 04 - 22

3260113 --> Friday, 04 - 07

3260114 --> Friday, 03 - 30

3260115 --> Friday, 04 - 19

3260116 --> Friday, 04 - 03

3260117 --> Friday, 03 - 26

3260118 --> Friday, 04 - 15

3260119 --> Friday, 03 - 31

3260120 --> Friday, 04 - 19

