Good Friday given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 3280000 through 3289999



3280000 --> Friday, 04 - 07

3280001 --> Friday, 03 - 30

3280002 --> Friday, 04 - 19

3280003 --> Friday, 04 - 04

3280004 --> Friday, 03 - 26

3280005 --> Friday, 04 - 15

3280006 --> Friday, 04 - 07

3280007 --> Friday, 03 - 23

3280008 --> Friday, 04 - 11

3280009 --> Friday, 04 - 03

3280010 --> Friday, 04 - 16

3280011 --> Friday, 04 - 08

3280012 --> Friday, 03 - 30

3280013 --> Friday, 04 - 19

3280014 --> Friday, 04 - 04

3280015 --> Friday, 03 - 27

3280016 --> Friday, 04 - 15

3280017 --> Friday, 03 - 31

3280018 --> Friday, 04 - 20

3280019 --> Friday, 04 - 12

3280020 --> Friday, 03 - 27

3280021 --> Friday, 04 - 16

3280022 --> Friday, 04 - 08

3280023 --> Friday, 03 - 24

3280024 --> Friday, 04 - 12

3280025 --> Friday, 04 - 04

3280026 --> Friday, 03 - 27

3280027 --> Friday, 04 - 09

3280028 --> Friday, 03 - 31

3280029 --> Friday, 04 - 20

3280030 --> Friday, 04 - 05

3280031 --> Friday, 03 - 28

3280032 --> Friday, 04 - 16

3280033 --> Friday, 04 - 08

3280034 --> Friday, 03 - 24

3280035 --> Friday, 04 - 13

3280036 --> Friday, 04 - 04

3280037 --> Friday, 04 - 17

3280038 --> Friday, 04 - 09

3280039 --> Friday, 04 - 01

3280040 --> Friday, 04 - 20

3280041 --> Friday, 04 - 05

3280042 --> Friday, 03 - 28

3280043 --> Friday, 04 - 17

3280044 --> Friday, 04 - 01

3280045 --> Friday, 03 - 24

3280046 --> Friday, 04 - 13

3280047 --> Friday, 03 - 29

3280048 --> Friday, 04 - 17

3280049 --> Friday, 04 - 09

3280050 --> Friday, 03 - 25

3280051 --> Friday, 04 - 14

3280052 --> Friday, 04 - 05

3280053 --> Friday, 03 - 28

3280054 --> Friday, 04 - 10

3280055 --> Friday, 04 - 02

3280056 --> Friday, 04 - 21

3280057 --> Friday, 04 - 13

3280058 --> Friday, 03 - 29

3280059 --> Friday, 04 - 18

3280060 --> Friday, 04 - 09

3280061 --> Friday, 03 - 25

3280062 --> Friday, 04 - 14

3280063 --> Friday, 04 - 06

3280064 --> Friday, 03 - 21

3280065 --> Friday, 04 - 10

3280066 --> Friday, 04 - 02

3280067 --> Friday, 04 - 22

3280068 --> Friday, 04 - 06

3280069 --> Friday, 03 - 29

3280070 --> Friday, 04 - 18

3280071 --> Friday, 04 - 03

3280072 --> Friday, 03 - 25

3280073 --> Friday, 04 - 14

3280074 --> Friday, 03 - 30

3280075 --> Friday, 04 - 19

3280076 --> Friday, 04 - 10

3280077 --> Friday, 04 - 02

3280078 --> Friday, 04 - 15

3280079 --> Friday, 04 - 07

3280080 --> Friday, 03 - 29

3280081 --> Friday, 04 - 18

3280082 --> Friday, 04 - 03

3280083 --> Friday, 03 - 26

3280084 --> Friday, 04 - 14

3280085 --> Friday, 03 - 30

3280086 --> Friday, 04 - 19

3280087 --> Friday, 04 - 11

3280088 --> Friday, 03 - 26

3280089 --> Friday, 04 - 15

3280090 --> Friday, 04 - 07

3280091 --> Friday, 03 - 23

3280092 --> Friday, 04 - 11

3280093 --> Friday, 04 - 03

3280094 --> Friday, 04 - 23

3280095 --> Friday, 04 - 08

3280096 --> Friday, 03 - 30

3280097 --> Friday, 04 - 19

3280098 --> Friday, 04 - 04

3280099 --> Friday, 03 - 27

3280100 --> Friday, 04 - 16

3280101 --> Friday, 04 - 08

3280102 --> Friday, 03 - 24

3280103 --> Friday, 04 - 13

3280104 --> Friday, 04 - 04

3280105 --> Friday, 04 - 17

3280106 --> Friday, 04 - 09

3280107 --> Friday, 04 - 01

3280108 --> Friday, 04 - 20

3280109 --> Friday, 04 - 05

3280110 --> Friday, 03 - 28

3280111 --> Friday, 04 - 17

3280112 --> Friday, 04 - 01

3280113 --> Friday, 03 - 24

3280114 --> Friday, 04 - 13

3280115 --> Friday, 03 - 29

3280116 --> Friday, 04 - 17

3280117 --> Friday, 04 - 09

3280118 --> Friday, 03 - 25

3280119 --> Friday, 04 - 14

3280120 --> Friday, 04 - 05

3280121 --> Friday, 03 - 28

3280122 --> Friday, 04 - 10

3280123 --> Friday, 04 - 02

3280124 --> Friday, 04 - 21

3280125 --> Friday, 04 - 06

3280126 --> Friday, 03 - 29

3280127 --> Friday, 04 - 18

3280128 --> Friday, 04 - 09

3280129 --> Friday, 03 - 25

3280130 --> Friday, 04 - 14

3280131 --> Friday, 04 - 06

3280132 --> Friday, 03 - 21

3280133 --> Friday, 04 - 10

3280134 --> Friday, 04 - 02

3280135 --> Friday, 04 - 22

3280136 --> Friday, 04 - 06

3280137 --> Friday, 03 - 29

3280138 --> Friday, 04 - 18

3280139 --> Friday, 04 - 03

3280140 --> Friday, 03 - 25

3280141 --> Friday, 04 - 14

3280142 --> Friday, 03 - 30

3280143 --> Friday, 04 - 19

3280144 --> Friday, 04 - 10

3280145 --> Friday, 03 - 26

3280146 --> Friday, 04 - 15

3280147 --> Friday, 04 - 07

3280148 --> Friday, 03 - 29

3280149 --> Friday, 04 - 11

3280150 --> Friday, 04 - 03

3280151 --> Friday, 03 - 26

3280152 --> Friday, 04 - 14

3280153 --> Friday, 03 - 30

3280154 --> Friday, 04 - 19

3280155 --> Friday, 04 - 11

