Good Friday given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 1400000 through 1409999



1400000 --> Friday, 04 - 14
1400174 --> Friday, 04 - 08

1400175 --> Friday, 03 - 31

1400176 --> Friday, 04 - 19

1400177 --> Friday, 04 - 11

1400178 --> Friday, 03 - 27

1400179 --> Friday, 04 - 16

1400180 --> Friday, 04 - 07

1400181 --> Friday, 03 - 23

1400182 --> Friday, 04 - 12

1400183 --> Friday, 04 - 04

1400184 --> Friday, 04 - 23

1400185 --> Friday, 04 - 08

1400186 --> Friday, 03 - 31

1400187 --> Friday, 04 - 20

1400188 --> Friday, 04 - 04

1400189 --> Friday, 03 - 27

1400190 --> Friday, 04 - 16

1400191 --> Friday, 04 - 01

1400192 --> Friday, 03 - 23

1400193 --> Friday, 04 - 12

1400194 --> Friday, 03 - 28

1400195 --> Friday, 04 - 17

1400196 --> Friday, 04 - 08

1400197 --> Friday, 03 - 31

1400198 --> Friday, 04 - 13

1400199 --> Friday, 04 - 05

1400200 --> Friday, 03 - 28

1400201 --> Friday, 04 - 10

1400202 --> Friday, 04 - 02

1400203 --> Friday, 04 - 22

1400204 --> Friday, 04 - 13

1400205 --> Friday, 03 - 29

1400206 --> Friday, 04 - 18

1400207 --> Friday, 04 - 03

1400208 --> Friday, 03 - 25

1400209 --> Friday, 04 - 14

1400210 --> Friday, 04 - 06

1400211 --> Friday, 03 - 22

1400212 --> Friday, 04 - 10

1400213 --> Friday, 04 - 02

1400214 --> Friday, 04 - 22

1400215 --> Friday, 04 - 07

1400216 --> Friday, 03 - 29

1400217 --> Friday, 04 - 18

1400218 --> Friday, 04 - 03

1400219 --> Friday, 03 - 26

1400220 --> Friday, 04 - 14

1400221 --> Friday, 03 - 30

1400222 --> Friday, 04 - 19

1400223 --> Friday, 04 - 11

1400224 --> Friday, 03 - 26

1400225 --> Friday, 04 - 15

1400226 --> Friday, 04 - 07

1400227 --> Friday, 03 - 23

1400228 --> Friday, 04 - 11

1400229 --> Friday, 04 - 03

1400230 --> Friday, 03 - 26

1400231 --> Friday, 04 - 08

1400232 --> Friday, 03 - 30

1400233 --> Friday, 04 - 19

1400234 --> Friday, 04 - 11

1400235 --> Friday, 03 - 27

1400236 --> Friday, 04 - 15

1400237 --> Friday, 04 - 07

1400238 --> Friday, 03 - 23

1400239 --> Friday, 04 - 12

1400240 --> Friday, 04 - 03

1400241 --> Friday, 04 - 23

1400242 --> Friday, 04 - 08

1400243 --> Friday, 03 - 31

1400244 --> Friday, 04 - 19

1400245 --> Friday, 04 - 04

1400246 --> Friday, 03 - 27

1400247 --> Friday, 04 - 16

1400248 --> Friday, 03 - 31

1400249 --> Friday, 03 - 23

1400250 --> Friday, 04 - 12

1400251 --> Friday, 03 - 28

1400252 --> Friday, 04 - 16

1400253 --> Friday, 04 - 08

1400254 --> Friday, 03 - 31

1400255 --> Friday, 04 - 13

1400256 --> Friday, 04 - 04

1400257 --> Friday, 03 - 27

1400258 --> Friday, 04 - 16

1400259 --> Friday, 04 - 01

1400260 --> Friday, 04 - 20

1400261 --> Friday, 04 - 12

1400262 --> Friday, 03 - 28

1400263 --> Friday, 04 - 17

1400264 --> Friday, 04 - 08

1400265 --> Friday, 03 - 24

1400266 --> Friday, 04 - 13

1400267 --> Friday, 04 - 05

1400268 --> Friday, 03 - 20

1400269 --> Friday, 04 - 09

1400270 --> Friday, 04 - 01

1400271 --> Friday, 04 - 21

1400272 --> Friday, 04 - 05

1400273 --> Friday, 03 - 28

1400274 --> Friday, 04 - 17

1400275 --> Friday, 04 - 02

1400276 --> Friday, 03 - 24

1400277 --> Friday, 04 - 13

1400278 --> Friday, 04 - 05

1400279 --> Friday, 04 - 18

1400280 --> Friday, 04 - 09

1400281 --> Friday, 04 - 01

1400282 --> Friday, 04 - 14

1400283 --> Friday, 04 - 06

1400284 --> Friday, 03 - 28

1400285 --> Friday, 04 - 17

1400286 --> Friday, 04 - 02

1400287 --> Friday, 03 - 25

1400288 --> Friday, 04 - 13

1400289 --> Friday, 03 - 29

1400290 --> Friday, 04 - 18

1400291 --> Friday, 04 - 10

1400292 --> Friday, 03 - 25

1400293 --> Friday, 04 - 14

1400294 --> Friday, 04 - 06

1400295 --> Friday, 03 - 22

1400296 --> Friday, 04 - 10

1400297 --> Friday, 04 - 02

1400298 --> Friday, 04 - 22

1400299 --> Friday, 04 - 07

1400300 --> Friday, 03 - 30

1400301 --> Friday, 04 - 19

1400302 --> Friday, 04 - 04

1400303 --> Friday, 03 - 27

1400304 --> Friday, 04 - 15

1400305 --> Friday, 04 - 07

1400306 --> Friday, 03 - 23

1400307 --> Friday, 04 - 12

1400308 --> Friday, 04 - 03

1400309 --> Friday, 04 - 23

1400310 --> Friday, 04 - 08

1400311 --> Friday, 03 - 31

1400312 --> Friday, 04 - 19

1400313 --> Friday, 04 - 04

1400314 --> Friday, 03 - 27

1400315 --> Friday, 04 - 16

1400316 --> Friday, 03 - 31

1400317 --> Friday, 03 - 23

1400318 --> Friday, 04 - 12

1400319 --> Friday, 03 - 28

1400320 --> Friday, 04 - 16

1400321 --> Friday, 04 - 08

1400322 --> Friday, 03 - 24

1400323 --> Friday, 04 - 13

1400324 --> Friday, 04 - 04

1400325 --> Friday, 03 - 27

1400326 --> Friday, 04 - 09

1400327 --> Friday, 04 - 01

1400328 --> Friday, 04 - 20

1400329 --> Friday, 04 - 12

1400330 --> Friday, 03 - 28

1400331 --> Friday, 04 - 17

1400332 --> Friday, 04 - 08

1400333 --> Friday, 03 - 24

1400334 --> Friday, 04 - 13

1400335 --> Friday, 04 - 05

1400336 --> Friday, 03 - 20

1400337 --> Friday, 04 - 09

1400338 --> Friday, 04 - 01

1400339 --> Friday, 04 - 21

1400340 --> Friday, 04 - 05

1400341 --> Friday, 03 - 28

1400342 --> Friday, 04 - 17

1400343 --> Friday, 04 - 02

1400344 --> Friday, 03 - 24

1400345 --> Friday, 04 - 13

1400346 --> Friday, 03 - 29

1400347 --> Friday, 04 - 18

1400348 --> Friday, 04 - 09

1400349 --> Friday, 04 - 01

1400350 --> Friday, 04 - 14

1400351 --> Friday, 04 - 06

1400352 --> Friday, 03 - 28

1400353 --> Friday, 04 - 17

1400354 --> Friday, 04 - 02

1400355 --> Friday, 03 - 25

1400356 --> Friday, 04 - 13

1400357 --> Friday, 03 - 29

1400358 --> Friday, 04 - 18

1400359 --> Friday, 04 - 10

1400360 --> Friday, 03 - 25

1400361 --> Friday, 04 - 14

1400362 --> Friday, 04 - 06

1400363 --> Friday, 03 - 22

1400364 --> Friday, 04 - 10

1400365 --> Friday, 04 - 02

1400366 --> Friday, 04 - 22

1400367 --> Friday, 04 - 07

1400368 --> Friday, 03 - 29

1400369 --> Friday, 04 - 18

1400370 --> Friday, 04 - 03

1400371 --> Friday, 03 - 26

1400372 --> Friday, 04 - 14

1400373 --> Friday, 04 - 06

1400374 --> Friday, 03 - 22

1400375 --> Friday, 04 - 11

1400376 --> Friday, 04 - 02

1400377 --> Friday, 04 - 15

1400378 --> Friday, 04 - 07

1400379 --> Friday, 03 - 30

1400380 --> Friday, 04 - 18

1400381 --> Friday, 04 - 03

1400382 --> Friday, 03 - 26

1400383 --> Friday, 04 - 15

1400384 --> Friday, 03 - 30

1400385 --> Friday, 04 - 19

1400386 --> Friday, 04 - 11

1400387 --> Friday, 03 - 27

1400388 --> Friday, 04 - 15

1400389 --> Friday, 04 - 07

1400390 --> Friday, 03 - 23

1400391 --> Friday, 04 - 12

1400392 --> Friday, 04 - 03

1400393 --> Friday, 03 - 26

1400394 --> Friday, 04 - 08

1400395 --> Friday, 03 - 31

1400396 --> Friday, 04 - 19

1400397 --> Friday, 04 - 04

1400398 --> Friday, 03 - 27

1400399 --> Friday, 04 - 16

1400400 --> Friday, 04 - 07

1400401 --> Friday, 03 - 23

