Good Friday given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 1240000 through 1249999



1240000 --> Friday, 03 - 24

1240001 --> Friday, 04 - 13

1240002 --> Friday, 04 - 05

1240003 --> Friday, 03 - 21

1240004 --> Friday, 04 - 09

1240005 --> Friday, 04 - 01

1240006 --> Friday, 04 - 21

1240007 --> Friday, 04 - 06

1240008 --> Friday, 03 - 28

1240009 --> Friday, 04 - 17

1240010 --> Friday, 04 - 09

1240011 --> Friday, 03 - 25

1240012 --> Friday, 04 - 13

1240013 --> Friday, 04 - 05

1240014 --> Friday, 03 - 21

1240015 --> Friday, 04 - 10

1240016 --> Friday, 04 - 01

1240017 --> Friday, 04 - 21

1240018 --> Friday, 04 - 06

1240019 --> Friday, 03 - 29

1240020 --> Friday, 04 - 17

1240021 --> Friday, 04 - 02

1240022 --> Friday, 03 - 25

1240023 --> Friday, 04 - 14

1240024 --> Friday, 03 - 29

1240025 --> Friday, 04 - 18

1240026 --> Friday, 04 - 10

1240027 --> Friday, 03 - 26

1240028 --> Friday, 04 - 14

1240029 --> Friday, 04 - 06

1240030 --> Friday, 03 - 29

1240031 --> Friday, 04 - 11

1240032 --> Friday, 04 - 02

1240033 --> Friday, 03 - 25

1240034 --> Friday, 04 - 14

1240035 --> Friday, 03 - 30

1240036 --> Friday, 04 - 18

1240037 --> Friday, 04 - 10

1240038 --> Friday, 03 - 26

1240039 --> Friday, 04 - 15

1240040 --> Friday, 04 - 06

1240041 --> Friday, 03 - 22

1240042 --> Friday, 04 - 11

1240043 --> Friday, 04 - 03

1240044 --> Friday, 04 - 22

1240045 --> Friday, 04 - 07

1240046 --> Friday, 03 - 30

1240047 --> Friday, 04 - 19

1240048 --> Friday, 04 - 03

1240049 --> Friday, 03 - 26

1240050 --> Friday, 04 - 15

1240051 --> Friday, 03 - 31

1240052 --> Friday, 03 - 22

1240053 --> Friday, 04 - 11

1240054 --> Friday, 03 - 27

1240055 --> Friday, 04 - 16

1240056 --> Friday, 04 - 07

1240057 --> Friday, 03 - 30

1240058 --> Friday, 04 - 12

1240059 --> Friday, 04 - 04

1240060 --> Friday, 03 - 26

1240061 --> Friday, 04 - 15

1240062 --> Friday, 03 - 31

1240063 --> Friday, 04 - 20

1240064 --> Friday, 04 - 11

1240065 --> Friday, 03 - 27

1240066 --> Friday, 04 - 16

1240067 --> Friday, 04 - 08

1240068 --> Friday, 03 - 23

1240069 --> Friday, 04 - 12

1240070 --> Friday, 04 - 04

1240071 --> Friday, 03 - 20

1240072 --> Friday, 04 - 08

1240073 --> Friday, 03 - 31

1240074 --> Friday, 04 - 20

1240075 --> Friday, 04 - 05

1240076 --> Friday, 03 - 27

1240077 --> Friday, 04 - 16

1240078 --> Friday, 04 - 01

1240079 --> Friday, 03 - 24

1240080 --> Friday, 04 - 12

1240081 --> Friday, 04 - 04

1240082 --> Friday, 04 - 17

1240083 --> Friday, 04 - 09

1240084 --> Friday, 03 - 31

1240085 --> Friday, 04 - 20

1240086 --> Friday, 04 - 05

1240087 --> Friday, 03 - 28

1240088 --> Friday, 04 - 16

1240089 --> Friday, 04 - 01

1240090 --> Friday, 03 - 24

1240091 --> Friday, 04 - 13

1240092 --> Friday, 03 - 28

1240093 --> Friday, 04 - 17

1240094 --> Friday, 04 - 09

1240095 --> Friday, 03 - 25

1240096 --> Friday, 04 - 13

1240097 --> Friday, 04 - 05

1240098 --> Friday, 03 - 21

1240099 --> Friday, 04 - 10

1240100 --> Friday, 04 - 02

1240101 --> Friday, 04 - 22

1240102 --> Friday, 04 - 07

1240103 --> Friday, 03 - 30

1240104 --> Friday, 04 - 18

1240105 --> Friday, 04 - 10

1240106 --> Friday, 03 - 26

1240107 --> Friday, 04 - 15

1240108 --> Friday, 04 - 06

1240109 --> Friday, 03 - 22

1240110 --> Friday, 04 - 11

1240111 --> Friday, 04 - 03

1240112 --> Friday, 04 - 22

1240113 --> Friday, 04 - 07

1240114 --> Friday, 03 - 30

1240115 --> Friday, 04 - 19

1240116 --> Friday, 04 - 03

1240117 --> Friday, 03 - 26

1240118 --> Friday, 04 - 15

1240119 --> Friday, 03 - 31

1240120 --> Friday, 04 - 19

1240121 --> Friday, 04 - 11

1240122 --> Friday, 03 - 27

1240123 --> Friday, 04 - 16

1240124 --> Friday, 04 - 07

1240125 --> Friday, 03 - 30

1240126 --> Friday, 04 - 12

1240127 --> Friday, 04 - 04

1240128 --> Friday, 03 - 26

1240129 --> Friday, 04 - 15

1240130 --> Friday, 03 - 31

1240131 --> Friday, 04 - 20

1240132 --> Friday, 04 - 11

1240133 --> Friday, 03 - 27

1240134 --> Friday, 04 - 16

1240135 --> Friday, 04 - 08

1240136 --> Friday, 03 - 23

1240137 --> Friday, 04 - 12

1240138 --> Friday, 04 - 04

1240139 --> Friday, 04 - 17

1240140 --> Friday, 04 - 08

1240141 --> Friday, 03 - 31

1240142 --> Friday, 04 - 20

1240143 --> Friday, 04 - 05

1240144 --> Friday, 03 - 27

1240145 --> Friday, 04 - 16

1240146 --> Friday, 04 - 01

1240147 --> Friday, 03 - 24

1240148 --> Friday, 04 - 12

1240149 --> Friday, 03 - 28

1240150 --> Friday, 04 - 17

1240151 --> Friday, 04 - 09

1240152 --> Friday, 03 - 31

1240153 --> Friday, 04 - 13

1240154 --> Friday, 04 - 05

1240155 --> Friday, 03 - 28

1240156 --> Friday, 04 - 16

1240157 --> Friday, 04 - 01

1240158 --> Friday, 04 - 21

1240159 --> Friday, 04 - 13

1240160 --> Friday, 03 - 28

1240161 --> Friday, 04 - 17

1240162 --> Friday, 04 - 09

1240163 --> Friday, 03 - 25

1240164 --> Friday, 04 - 13

1240165 --> Friday, 04 - 05

1240166 --> Friday, 03 - 21

1240167 --> Friday, 04 - 10

1240168 --> Friday, 04 - 01

1240169 --> Friday, 04 - 21

1240170 --> Friday, 04 - 06

1240171 --> Friday, 03 - 29

1240172 --> Friday, 04 - 17

1240173 --> Friday, 04 - 02

1240174 --> Friday, 03 - 25

1240175 --> Friday, 04 - 14

1240176 --> Friday, 04 - 05

1240177 --> Friday, 04 - 18

1240178 --> Friday, 04 - 10

1240179 --> Friday, 04 - 02

1240180 --> Friday, 04 - 21

1240181 --> Friday, 04 - 06

1240182 --> Friday, 03 - 29

1240183 --> Friday, 04 - 18

1240184 --> Friday, 04 - 02

1240185 --> Friday, 03 - 25

1240186 --> Friday, 04 - 14

1240187 --> Friday, 03 - 30

1240188 --> Friday, 04 - 18

1240189 --> Friday, 04 - 10

1240190 --> Friday, 03 - 26

1240191 --> Friday, 04 - 15

1240192 --> Friday, 04 - 06

1240193 --> Friday, 03 - 22

1240194 --> Friday, 04 - 11

1240195 --> Friday, 04 - 03

1240196 --> Friday, 04 - 22

1240197 --> Friday, 04 - 07

1240198 --> Friday, 03 - 30

1240199 --> Friday, 04 - 19

1240200 --> Friday, 04 - 04

1240201 --> Friday, 03 - 27

1240202 --> Friday, 04 - 16

1240203 --> Friday, 04 - 01

1240204 --> Friday, 03 - 23

1240205 --> Friday, 04 - 12

1240206 --> Friday, 03 - 28

1240207 --> Friday, 04 - 17

1240208 --> Friday, 04 - 08

1240209 --> Friday, 03 - 31

1240210 --> Friday, 04 - 13

1240211 --> Friday, 04 - 05

1240212 --> Friday, 03 - 27

1240213 --> Friday, 04 - 16

1240214 --> Friday, 04 - 01

1240215 --> Friday, 04 - 21

1240216 --> Friday, 04 - 12

1240217 --> Friday, 03 - 28

1240218 --> Friday, 04 - 17

1240219 --> Friday, 04 - 09

1240220 --> Friday, 03 - 24

1240221 --> Friday, 04 - 13

1240222 --> Friday, 04 - 05

1240223 --> Friday, 03 - 21

1240224 --> Friday, 04 - 09

1240225 --> Friday, 04 - 01

1240226 --> Friday, 04 - 21

1240227 --> Friday, 04 - 06

1240228 --> Friday, 03 - 28

1240229 --> Friday, 04 - 17

1240230 --> Friday, 04 - 02

1240231 --> Friday, 03 - 25

1240232 --> Friday, 04 - 13

1240233 --> Friday, 04 - 05

1240234 --> Friday, 04 - 18

1240235 --> Friday, 04 - 10

1240236 --> Friday, 04 - 01

1240237 --> Friday, 04 - 21

1240238 --> Friday, 04 - 06

1240239 --> Friday, 03 - 29

1240240 --> Friday, 04 - 17

1240241 --> Friday, 04 - 02

1240242 --> Friday, 03 - 25

1240243 --> Friday, 04 - 14

1240244 --> Friday, 03 - 29

1240245 --> Friday, 04 - 18

1240246 --> Friday, 04 - 10

1240247 --> Friday, 03 - 26

1240248 --> Friday, 04 - 14

1240249 --> Friday, 04 - 06

1240250 --> Friday, 03 - 22

1240251 --> Friday, 04 - 11

1240252 --> Friday, 04 - 02

1240253 --> Friday, 04 - 22

1240254 --> Friday, 04 - 07

1240255 --> Friday, 03 - 30

1240256 --> Friday, 04 - 18

1240257 --> Friday, 04 - 10

1240258 --> Friday, 03 - 26

1240259 --> Friday, 04 - 15

1240260 --> Friday, 04 - 06

1240261 --> Friday, 03 - 22

1240262 --> Friday, 04 - 11

1240263 --> Friday, 04 - 03

1240264 --> Friday, 04 - 22

1240265 --> Friday, 04 - 07

1240266 --> Friday, 03 - 30

1240267 --> Friday, 04 - 19

1240268 --> Friday, 04 - 03

1240269 --> Friday, 03 - 26

1240270 --> Friday, 04 - 15

1240271 --> Friday, 03 - 31

1240272 --> Friday, 04 - 19

1240273 --> Friday, 04 - 11

1240274 --> Friday, 03 - 27

1240275 --> Friday, 04 - 16

1240276 --> Friday, 04 - 07

1240277 --> Friday, 03 - 30

1240278 --> Friday, 04 - 12

1240279 --> Friday, 04 - 04

1240280 --> Friday, 03 - 26

1240281 --> Friday, 04 - 15

1240282 --> Friday, 03 - 31

1240283 --> Friday, 04 - 20

1240284 --> Friday, 04 - 11

1240285 --> Friday, 03 - 27

1240286 --> Friday, 04 - 16

1240287 --> Friday, 04 - 08

1240288 --> Friday, 03 - 23

1240289 --> Friday, 04 - 12

1240290 --> Friday, 04 - 04

1240291 --> Friday, 04 - 17

1240292 --> Friday, 04 - 08

1240293 --> Friday, 03 - 31

1240294 --> Friday, 04 - 20

1240295 --> Friday, 04 - 05

1240296 --> Friday, 03 - 27

1240297 --> Friday, 04 - 16

1240298 --> Friday, 04 - 01

1240299 --> Friday, 03 - 24

1240300 --> Friday, 04 - 13

1240301 --> Friday, 03 - 29

1240302 --> Friday, 04 - 18

1240303 --> Friday, 04 - 10

1240304 --> Friday, 04 - 01

1240305 --> Friday, 04 - 14

1240306 --> Friday, 04 - 06

1240307 --> Friday, 03 - 29

1240308 --> Friday, 04 - 17

1240309 --> Friday, 04 - 02

1240310 --> Friday, 03 - 25

1240311 --> Friday, 04 - 14

1240312 --> Friday, 03 - 29

1240313 --> Friday, 04 - 18

1240314 --> Friday, 04 - 10

1240315 --> Friday, 03 - 26

1240316 --> Friday, 04 - 14

1240317 --> Friday, 04 - 06

1240318 --> Friday, 03 - 22

1240319 --> Friday, 04 - 11

1240320 --> Friday, 04 - 02

1240321 --> Friday, 04 - 22

1240322 --> Friday, 04 - 07

1240323 --> Friday, 03 - 30

1240324 --> Friday, 04 - 18

1240325 --> Friday, 04 - 03

1240326 --> Friday, 03 - 26

1240327 --> Friday, 04 - 15

1240328 --> Friday, 04 - 06

1240329 --> Friday, 03 - 22

1240330 --> Friday, 04 - 11

1240331 --> Friday, 04 - 03

1240332 --> Friday, 04 - 22

1240333 --> Friday, 04 - 07

1240334 --> Friday, 03 - 30

1240335 --> Friday, 04 - 19

1240336 --> Friday, 04 - 03

1240337 --> Friday, 03 - 26

1240338 --> Friday, 04 - 15

1240339 --> Friday, 03 - 31

1240340 --> Friday, 04 - 19

1240341 --> Friday, 04 - 11

1240342 --> Friday, 03 - 27

1240343 --> Friday, 04 - 16

1240344 --> Friday, 04 - 07

1240345 --> Friday, 03 - 23

1240346 --> Friday, 04 - 12

1240347 --> Friday, 04 - 04

1240348 --> Friday, 03 - 26

1240349 --> Friday, 04 - 08

1240350 --> Friday, 03 - 31

1240351 --> Friday, 04 - 20

1240352 --> Friday, 04 - 11

1240353 --> Friday, 03 - 27

1240354 --> Friday, 04 - 16

1240355 --> Friday, 04 - 08

1240356 --> Friday, 03 - 23

1240357 --> Friday, 04 - 12

1240358 --> Friday, 04 - 04

1240359 --> Friday, 04 - 17

1240360 --> Friday, 04 - 08

1240361 --> Friday, 03 - 31

1240362 --> Friday, 04 - 20

1240363 --> Friday, 04 - 05

1240364 --> Friday, 03 - 27

1240365 --> Friday, 04 - 16

1240366 --> Friday, 04 - 01

1240367 --> Friday, 03 - 24

1240368 --> Friday, 04 - 12

1240369 --> Friday, 03 - 28

1240370 --> Friday, 04 - 17

1240371 --> Friday, 04 - 09

1240372 --> Friday, 03 - 31

1240373 --> Friday, 04 - 13

1240374 --> Friday, 04 - 05

1240375 --> Friday, 03 - 28

1240376 --> Friday, 04 - 16

1240377 --> Friday, 04 - 01

1240378 --> Friday, 04 - 21

1240379 --> Friday, 04 - 06

1240380 --> Friday, 03 - 28

1240381 --> Friday, 04 - 17

1240382 --> Friday, 04 - 09

1240383 --> Friday, 03 - 25

1240384 --> Friday, 04 - 13

1240385 --> Friday, 04 - 05

1240386 --> Friday, 03 - 21

1240387 --> Friday, 04 - 10

1240388 --> Friday, 04 - 01

1240389 --> Friday, 04 - 21

1240390 --> Friday, 04 - 06

1240391 --> Friday, 03 - 29

1240392 --> Friday, 04 - 17

1240393 --> Friday, 04 - 02

1240394 --> Friday, 03 - 25

1240395 --> Friday, 04 - 14

1240396 --> Friday, 03 - 29

1240397 --> Friday, 04 - 18

