Good Friday given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 2390000 through 2399999



2390000 --> Friday, 04 - 14

2390001 --> Friday, 04 - 06

2390002 --> Friday, 03 - 22

2390003 --> Friday, 04 - 11

2390004 --> Friday, 04 - 02

2390005 --> Friday, 04 - 22

2390006 --> Friday, 04 - 07

2390007 --> Friday, 03 - 30

2390008 --> Friday, 04 - 18

2390009 --> Friday, 04 - 03

2390010 --> Friday, 03 - 26

2390011 --> Friday, 04 - 15

2390012 --> Friday, 03 - 30

2390013 --> Friday, 04 - 19

2390014 --> Friday, 04 - 11

2390015 --> Friday, 03 - 27

2390016 --> Friday, 04 - 15

2390017 --> Friday, 04 - 07

2390018 --> Friday, 03 - 30

2390019 --> Friday, 04 - 12

2390020 --> Friday, 04 - 03

2390021 --> Friday, 03 - 26

2390022 --> Friday, 04 - 15

2390023 --> Friday, 03 - 31

2390024 --> Friday, 04 - 19

2390025 --> Friday, 04 - 11

2390026 --> Friday, 03 - 27

2390027 --> Friday, 04 - 16

2390028 --> Friday, 04 - 07

2390029 --> Friday, 03 - 23

2390030 --> Friday, 04 - 12

2390031 --> Friday, 04 - 04

2390032 --> Friday, 04 - 23

2390033 --> Friday, 04 - 08

2390034 --> Friday, 03 - 31

2390035 --> Friday, 04 - 20

2390036 --> Friday, 04 - 04

2390037 --> Friday, 03 - 27

2390038 --> Friday, 04 - 16

2390039 --> Friday, 04 - 01

2390040 --> Friday, 03 - 23

2390041 --> Friday, 04 - 12

2390042 --> Friday, 04 - 04

2390043 --> Friday, 04 - 17

2390044 --> Friday, 04 - 08

2390045 --> Friday, 03 - 31

2390046 --> Friday, 04 - 20

2390047 --> Friday, 04 - 05

2390048 --> Friday, 03 - 27

2390049 --> Friday, 04 - 16

2390050 --> Friday, 04 - 01

2390051 --> Friday, 04 - 21

2390052 --> Friday, 04 - 12

2390053 --> Friday, 03 - 28

2390054 --> Friday, 04 - 17

2390055 --> Friday, 04 - 09

2390056 --> Friday, 03 - 24

2390057 --> Friday, 04 - 13

2390058 --> Friday, 04 - 05

2390059 --> Friday, 03 - 21

2390060 --> Friday, 04 - 09

2390061 --> Friday, 04 - 01

2390062 --> Friday, 04 - 21

2390063 --> Friday, 04 - 06

2390064 --> Friday, 03 - 28

2390065 --> Friday, 04 - 17

2390066 --> Friday, 04 - 09

2390067 --> Friday, 03 - 25

2390068 --> Friday, 04 - 13

2390069 --> Friday, 04 - 05

2390070 --> Friday, 04 - 18

2390071 --> Friday, 04 - 10

2390072 --> Friday, 04 - 01

2390073 --> Friday, 04 - 21

2390074 --> Friday, 04 - 06

2390075 --> Friday, 03 - 29

2390076 --> Friday, 04 - 17

2390077 --> Friday, 04 - 02

2390078 --> Friday, 03 - 25

2390079 --> Friday, 04 - 14

2390080 --> Friday, 03 - 29

2390081 --> Friday, 04 - 18

2390082 --> Friday, 04 - 10

2390083 --> Friday, 03 - 26

2390084 --> Friday, 04 - 14

2390085 --> Friday, 04 - 06

2390086 --> Friday, 03 - 22

2390087 --> Friday, 04 - 11

2390088 --> Friday, 04 - 02

2390089 --> Friday, 04 - 22

2390090 --> Friday, 04 - 07

2390091 --> Friday, 03 - 30

2390092 --> Friday, 04 - 18

2390093 --> Friday, 04 - 10

2390094 --> Friday, 03 - 26

2390095 --> Friday, 04 - 15

2390096 --> Friday, 04 - 06

2390097 --> Friday, 03 - 22

2390098 --> Friday, 04 - 11

2390099 --> Friday, 04 - 03

2390100 --> Friday, 04 - 23

2390101 --> Friday, 04 - 08

2390102 --> Friday, 03 - 31

2390103 --> Friday, 04 - 20

2390104 --> Friday, 04 - 04

2390105 --> Friday, 03 - 27

2390106 --> Friday, 04 - 16

2390107 --> Friday, 04 - 01

2390108 --> Friday, 03 - 23

2390109 --> Friday, 04 - 12

2390110 --> Friday, 03 - 28

2390111 --> Friday, 04 - 17

2390112 --> Friday, 04 - 08

2390113 --> Friday, 03 - 31

2390114 --> Friday, 04 - 13

2390115 --> Friday, 04 - 05

2390116 --> Friday, 03 - 27

2390117 --> Friday, 04 - 16

2390118 --> Friday, 04 - 01

2390119 --> Friday, 04 - 21

2390120 --> Friday, 04 - 12

2390121 --> Friday, 03 - 28

2390122 --> Friday, 04 - 17

2390123 --> Friday, 04 - 09

2390124 --> Friday, 03 - 24

2390125 --> Friday, 04 - 13

2390126 --> Friday, 04 - 05

2390127 --> Friday, 03 - 21

2390128 --> Friday, 04 - 09

