Good Friday given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 5300000 through 5309999



5300000 --> Friday, 04 - 07

5300001 --> Friday, 03 - 30

5300002 --> Friday, 04 - 19

5300003 --> Friday, 04 - 04

5300004 --> Friday, 03 - 26

5300005 --> Friday, 04 - 15

5300006 --> Friday, 04 - 07

5300007 --> Friday, 03 - 23

5300008 --> Friday, 04 - 11

5300009 --> Friday, 04 - 03

5300010 --> Friday, 04 - 16

5300011 --> Friday, 04 - 08

5300012 --> Friday, 03 - 30

5300013 --> Friday, 04 - 19

5300014 --> Friday, 04 - 04

5300015 --> Friday, 03 - 27

5300016 --> Friday, 04 - 15

5300017 --> Friday, 03 - 31

5300018 --> Friday, 04 - 20

5300019 --> Friday, 04 - 12

5300020 --> Friday, 03 - 27

5300021 --> Friday, 04 - 16

5300022 --> Friday, 04 - 08

5300023 --> Friday, 03 - 24

5300024 --> Friday, 04 - 12

5300025 --> Friday, 04 - 04

5300026 --> Friday, 03 - 27

5300027 --> Friday, 04 - 09

5300028 --> Friday, 03 - 31

5300029 --> Friday, 04 - 20

5300030 --> Friday, 04 - 12

5300031 --> Friday, 03 - 28

5300032 --> Friday, 04 - 16

5300033 --> Friday, 04 - 08

5300034 --> Friday, 03 - 24

5300035 --> Friday, 04 - 13

5300036 --> Friday, 04 - 04

5300037 --> Friday, 04 - 17

5300038 --> Friday, 04 - 09

5300039 --> Friday, 04 - 01

5300040 --> Friday, 04 - 20

5300041 --> Friday, 04 - 05

5300042 --> Friday, 03 - 28

5300043 --> Friday, 04 - 17

5300044 --> Friday, 04 - 01

5300045 --> Friday, 03 - 24

5300046 --> Friday, 04 - 13

5300047 --> Friday, 03 - 29

5300048 --> Friday, 04 - 17

5300049 --> Friday, 04 - 09

5300050 --> Friday, 03 - 25

5300051 --> Friday, 04 - 14

5300052 --> Friday, 04 - 05

5300053 --> Friday, 03 - 28

5300054 --> Friday, 04 - 10

5300055 --> Friday, 04 - 02

5300056 --> Friday, 04 - 21

5300057 --> Friday, 04 - 13

5300058 --> Friday, 03 - 29

5300059 --> Friday, 04 - 18

5300060 --> Friday, 04 - 09

5300061 --> Friday, 03 - 25

5300062 --> Friday, 04 - 14

5300063 --> Friday, 04 - 06

5300064 --> Friday, 03 - 21

5300065 --> Friday, 04 - 10

5300066 --> Friday, 04 - 02

5300067 --> Friday, 04 - 22

5300068 --> Friday, 04 - 06

5300069 --> Friday, 03 - 29

5300070 --> Friday, 04 - 18

5300071 --> Friday, 04 - 03

5300072 --> Friday, 03 - 25

5300073 --> Friday, 04 - 14

5300074 --> Friday, 03 - 30

5300075 --> Friday, 04 - 19

5300076 --> Friday, 04 - 10

5300077 --> Friday, 04 - 02

5300078 --> Friday, 04 - 15

5300079 --> Friday, 04 - 07

5300080 --> Friday, 03 - 29

5300081 --> Friday, 04 - 18

5300082 --> Friday, 04 - 03

5300083 --> Friday, 03 - 26

5300084 --> Friday, 04 - 14

5300085 --> Friday, 03 - 30

5300086 --> Friday, 04 - 19

5300087 --> Friday, 04 - 11

5300088 --> Friday, 03 - 26

5300089 --> Friday, 04 - 15

5300090 --> Friday, 04 - 07

5300091 --> Friday, 03 - 23

5300092 --> Friday, 04 - 11

5300093 --> Friday, 04 - 03

5300094 --> Friday, 04 - 23

5300095 --> Friday, 04 - 08

5300096 --> Friday, 03 - 30

5300097 --> Friday, 04 - 19

5300098 --> Friday, 04 - 04

5300099 --> Friday, 03 - 27

5300100 --> Friday, 04 - 16

5300101 --> Friday, 04 - 08

5300102 --> Friday, 03 - 24

5300103 --> Friday, 04 - 13

5300104 --> Friday, 04 - 04

5300105 --> Friday, 04 - 17

5300106 --> Friday, 04 - 09

5300107 --> Friday, 04 - 01

5300108 --> Friday, 04 - 20

5300109 --> Friday, 04 - 05

5300110 --> Friday, 03 - 28

5300111 --> Friday, 04 - 17

5300112 --> Friday, 04 - 01

5300113 --> Friday, 03 - 24

5300114 --> Friday, 04 - 13

5300115 --> Friday, 03 - 29

5300116 --> Friday, 04 - 17

5300117 --> Friday, 04 - 09

5300118 --> Friday, 03 - 25

5300119 --> Friday, 04 - 14

5300120 --> Friday, 04 - 05

5300121 --> Friday, 03 - 28

5300122 --> Friday, 04 - 10

5300123 --> Friday, 04 - 02

5300124 --> Friday, 04 - 21

5300125 --> Friday, 04 - 13

5300126 --> Friday, 03 - 29

5300127 --> Friday, 04 - 18

5300128 --> Friday, 04 - 09

5300129 --> Friday, 03 - 25

5300130 --> Friday, 04 - 14

5300131 --> Friday, 04 - 06

5300132 --> Friday, 03 - 21

5300133 --> Friday, 04 - 10

5300134 --> Friday, 04 - 02

5300135 --> Friday, 04 - 22

5300136 --> Friday, 04 - 06

5300137 --> Friday, 03 - 29

5300138 --> Friday, 04 - 18

5300139 --> Friday, 04 - 03

5300140 --> Friday, 03 - 25

5300141 --> Friday, 04 - 14

5300142 --> Friday, 03 - 30

5300143 --> Friday, 04 - 19

5300144 --> Friday, 04 - 10

5300145 --> Friday, 03 - 26

5300146 --> Friday, 04 - 15

5300147 --> Friday, 04 - 07

5300148 --> Friday, 03 - 29

5300149 --> Friday, 04 - 11

