Easter Sunday given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 1980000 through 1989999



1980000 --> Sunday, 04 - 16

1980001 --> Sunday, 04 - 01

1980002 --> Sunday, 04 - 21

1980003 --> Sunday, 04 - 13

1980004 --> Sunday, 03 - 28

1980005 --> Sunday, 04 - 17

1980006 --> Sunday, 04 - 09

1980007 --> Sunday, 03 - 25

1980008 --> Sunday, 04 - 13

1980009 --> Sunday, 04 - 05

1980010 --> Sunday, 04 - 25

1980011 --> Sunday, 04 - 10

1980012 --> Sunday, 04 - 01

1980013 --> Sunday, 04 - 21

1980014 --> Sunday, 04 - 06

1980015 --> Sunday, 03 - 29

1980016 --> Sunday, 04 - 17

1980017 --> Sunday, 04 - 02

1980018 --> Sunday, 03 - 25

1980019 --> Sunday, 04 - 14

1980020 --> Sunday, 04 - 05

1980021 --> Sunday, 04 - 18

1980022 --> Sunday, 04 - 10

1980023 --> Sunday, 04 - 02

1980024 --> Sunday, 04 - 21

1980025 --> Sunday, 04 - 06

1980026 --> Sunday, 03 - 29

1980027 --> Sunday, 04 - 18

1980028 --> Sunday, 04 - 02

1980029 --> Sunday, 04 - 22

1980030 --> Sunday, 04 - 14

1980031 --> Sunday, 03 - 30

1980032 --> Sunday, 04 - 18

1980033 --> Sunday, 04 - 10

1980034 --> Sunday, 03 - 26

1980035 --> Sunday, 04 - 15

1980036 --> Sunday, 04 - 06

1980037 --> Sunday, 03 - 22

1980038 --> Sunday, 04 - 11

1980039 --> Sunday, 04 - 03

1980040 --> Sunday, 04 - 22

1980041 --> Sunday, 04 - 07

1980042 --> Sunday, 03 - 30

1980043 --> Sunday, 04 - 19

1980044 --> Sunday, 04 - 10

1980045 --> Sunday, 03 - 26

1980046 --> Sunday, 04 - 15

1980047 --> Sunday, 03 - 31

1980048 --> Sunday, 04 - 19

1980049 --> Sunday, 04 - 11

1980050 --> Sunday, 04 - 03

1980051 --> Sunday, 04 - 16

1980052 --> Sunday, 04 - 07

1980053 --> Sunday, 03 - 30

1980054 --> Sunday, 04 - 19

1980055 --> Sunday, 04 - 04

1980056 --> Sunday, 03 - 26

1980057 --> Sunday, 04 - 15

1980058 --> Sunday, 03 - 31

1980059 --> Sunday, 04 - 20

1980060 --> Sunday, 04 - 11

1980061 --> Sunday, 03 - 27

1980062 --> Sunday, 04 - 16

1980063 --> Sunday, 04 - 08

1980064 --> Sunday, 03 - 30

1980065 --> Sunday, 04 - 12

1980066 --> Sunday, 04 - 04

1980067 --> Sunday, 04 - 24

1980068 --> Sunday, 04 - 08

1980069 --> Sunday, 03 - 31

1980070 --> Sunday, 04 - 20

1980071 --> Sunday, 04 - 05

1980072 --> Sunday, 03 - 27

1980073 --> Sunday, 04 - 16

1980074 --> Sunday, 04 - 08

1980075 --> Sunday, 03 - 24

1980076 --> Sunday, 04 - 12

1980077 --> Sunday, 04 - 04

1980078 --> Sunday, 04 - 24

1980079 --> Sunday, 04 - 09

1980080 --> Sunday, 03 - 31

1980081 --> Sunday, 04 - 20

1980082 --> Sunday, 04 - 05

1980083 --> Sunday, 03 - 28

1980084 --> Sunday, 04 - 16

1980085 --> Sunday, 04 - 01

1980086 --> Sunday, 04 - 21

1980087 --> Sunday, 04 - 13

1980088 --> Sunday, 03 - 28

1980089 --> Sunday, 04 - 17

1980090 --> Sunday, 04 - 09

1980091 --> Sunday, 03 - 25

1980092 --> Sunday, 04 - 13

1980093 --> Sunday, 04 - 05

1980094 --> Sunday, 03 - 28

1980095 --> Sunday, 04 - 10

1980096 --> Sunday, 04 - 01

1980097 --> Sunday, 04 - 21

1980098 --> Sunday, 04 - 13

1980099 --> Sunday, 03 - 29

1980100 --> Sunday, 04 - 18

1980101 --> Sunday, 04 - 10

1980102 --> Sunday, 03 - 26

1980103 --> Sunday, 04 - 15

1980104 --> Sunday, 04 - 06

1980105 --> Sunday, 04 - 19

1980106 --> Sunday, 04 - 11

1980107 --> Sunday, 04 - 03

