Good Friday given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 2820000 through 2829999



2820000 --> Friday, 03 - 31

2820001 --> Friday, 04 - 20

2820002 --> Friday, 04 - 12

2820003 --> Friday, 03 - 28

2820004 --> Friday, 04 - 16

2820005 --> Friday, 04 - 08

2820006 --> Friday, 03 - 24

2820007 --> Friday, 04 - 13

2820008 --> Friday, 04 - 04

2820009 --> Friday, 03 - 27

2820010 --> Friday, 04 - 09

2820011 --> Friday, 04 - 01

2820012 --> Friday, 04 - 20

2820013 --> Friday, 04 - 12

2820014 --> Friday, 03 - 28

2820015 --> Friday, 04 - 17

2820016 --> Friday, 04 - 08

2820017 --> Friday, 03 - 24

2820018 --> Friday, 04 - 13

2820019 --> Friday, 04 - 05

2820020 --> Friday, 04 - 17

2820021 --> Friday, 04 - 09

2820022 --> Friday, 04 - 01

2820023 --> Friday, 04 - 21

2820024 --> Friday, 04 - 05

2820025 --> Friday, 03 - 28

2820026 --> Friday, 04 - 17

2820027 --> Friday, 04 - 02

2820028 --> Friday, 03 - 24

2820029 --> Friday, 04 - 13

2820030 --> Friday, 03 - 29

2820031 --> Friday, 04 - 18

2820032 --> Friday, 04 - 09

2820033 --> Friday, 04 - 01

2820034 --> Friday, 04 - 14

2820035 --> Friday, 04 - 06

2820036 --> Friday, 03 - 28

2820037 --> Friday, 04 - 10

2820038 --> Friday, 04 - 02

2820039 --> Friday, 04 - 22

2820040 --> Friday, 04 - 13

2820041 --> Friday, 03 - 29

2820042 --> Friday, 04 - 18

2820043 --> Friday, 04 - 10

2820044 --> Friday, 03 - 25

2820045 --> Friday, 04 - 14

2820046 --> Friday, 04 - 06

2820047 --> Friday, 03 - 22

2820048 --> Friday, 04 - 10

2820049 --> Friday, 04 - 02

2820050 --> Friday, 04 - 22

2820051 --> Friday, 04 - 07

2820052 --> Friday, 03 - 29

2820053 --> Friday, 04 - 18

2820054 --> Friday, 04 - 03

2820055 --> Friday, 03 - 26

2820056 --> Friday, 04 - 14

2820057 --> Friday, 03 - 30

2820058 --> Friday, 04 - 19

2820059 --> Friday, 04 - 11

2820060 --> Friday, 04 - 02

2820061 --> Friday, 04 - 15

2820062 --> Friday, 04 - 07

2820063 --> Friday, 03 - 30

2820064 --> Friday, 04 - 18

2820065 --> Friday, 04 - 03

2820066 --> Friday, 03 - 26

2820067 --> Friday, 04 - 15

2820068 --> Friday, 03 - 30

2820069 --> Friday, 04 - 19

2820070 --> Friday, 04 - 11

2820071 --> Friday, 03 - 27

2820072 --> Friday, 04 - 15

2820073 --> Friday, 04 - 07

2820074 --> Friday, 03 - 23

2820075 --> Friday, 04 - 12

2820076 --> Friday, 04 - 03

2820077 --> Friday, 04 - 23

2820078 --> Friday, 04 - 08

2820079 --> Friday, 03 - 31

2820080 --> Friday, 04 - 19

2820081 --> Friday, 04 - 04

2820082 --> Friday, 03 - 27

2820083 --> Friday, 04 - 16

2820084 --> Friday, 04 - 07

2820085 --> Friday, 03 - 23

2820086 --> Friday, 04 - 12

2820087 --> Friday, 04 - 04

2820088 --> Friday, 04 - 16

2820089 --> Friday, 04 - 08

2820090 --> Friday, 03 - 31

2820091 --> Friday, 04 - 20

2820092 --> Friday, 04 - 04

2820093 --> Friday, 03 - 27

2820094 --> Friday, 04 - 16

2820095 --> Friday, 04 - 01

2820096 --> Friday, 04 - 20

2820097 --> Friday, 04 - 12

2820098 --> Friday, 03 - 28

2820099 --> Friday, 04 - 17

2820100 --> Friday, 04 - 09

2820101 --> Friday, 03 - 25

2820102 --> Friday, 04 - 14

2820103 --> Friday, 04 - 06

2820104 --> Friday, 03 - 28

2820105 --> Friday, 04 - 10

2820106 --> Friday, 04 - 02

2820107 --> Friday, 04 - 22

2820108 --> Friday, 04 - 13

2820109 --> Friday, 03 - 29

2820110 --> Friday, 04 - 18

2820111 --> Friday, 04 - 10

2820112 --> Friday, 03 - 25

2820113 --> Friday, 04 - 14

2820114 --> Friday, 04 - 06

2820115 --> Friday, 03 - 22

2820116 --> Friday, 04 - 10

2820117 --> Friday, 04 - 02

2820118 --> Friday, 04 - 22

2820119 --> Friday, 04 - 07

2820120 --> Friday, 03 - 29

2820121 --> Friday, 04 - 18

2820122 --> Friday, 04 - 03

2820123 --> Friday, 03 - 26

2820124 --> Friday, 04 - 14

2820125 --> Friday, 03 - 30

2820126 --> Friday, 04 - 19

2820127 --> Friday, 04 - 11

2820128 --> Friday, 04 - 02

2820129 --> Friday, 04 - 15

2820130 --> Friday, 04 - 07

2820131 --> Friday, 03 - 30

2820132 --> Friday, 04 - 11

2820133 --> Friday, 04 - 03

2820134 --> Friday, 03 - 26

2820135 --> Friday, 04 - 08

2820136 --> Friday, 03 - 30

2820137 --> Friday, 04 - 19

2820138 --> Friday, 04 - 11

2820139 --> Friday, 03 - 27

2820140 --> Friday, 04 - 15

2820141 --> Friday, 04 - 07

2820142 --> Friday, 03 - 23

2820143 --> Friday, 04 - 12

2820144 --> Friday, 04 - 03

2820145 --> Friday, 04 - 23

2820146 --> Friday, 04 - 08

2820147 --> Friday, 03 - 31

2820148 --> Friday, 04 - 19

2820149 --> Friday, 04 - 04

2820150 --> Friday, 03 - 27

2820151 --> Friday, 04 - 16

2820152 --> Friday, 03 - 31

2820153 --> Friday, 03 - 23

2820154 --> Friday, 04 - 12

2820155 --> Friday, 03 - 28

2820156 --> Friday, 04 - 16

2820157 --> Friday, 04 - 08

2820158 --> Friday, 03 - 31

2820159 --> Friday, 04 - 13

2820160 --> Friday, 04 - 04

2820161 --> Friday, 03 - 27

2820162 --> Friday, 04 - 16

2820163 --> Friday, 04 - 01

2820164 --> Friday, 04 - 20

2820165 --> Friday, 04 - 12

2820166 --> Friday, 03 - 28

2820167 --> Friday, 04 - 17

2820168 --> Friday, 04 - 08

2820169 --> Friday, 03 - 24

2820170 --> Friday, 04 - 13

2820171 --> Friday, 04 - 05

2820172 --> Friday, 03 - 20

2820173 --> Friday, 04 - 09

2820174 --> Friday, 04 - 01

2820175 --> Friday, 04 - 21

2820176 --> Friday, 04 - 05

2820177 --> Friday, 03 - 28

2820178 --> Friday, 04 - 17

2820179 --> Friday, 04 - 02

2820180 --> Friday, 03 - 24

2820181 --> Friday, 04 - 13

2820182 --> Friday, 04 - 05

2820183 --> Friday, 04 - 18

2820184 --> Friday, 04 - 09

2820185 --> Friday, 04 - 01

2820186 --> Friday, 04 - 21

2820187 --> Friday, 04 - 06

2820188 --> Friday, 03 - 28

2820189 --> Friday, 04 - 17

2820190 --> Friday, 04 - 02

2820191 --> Friday, 03 - 25

2820192 --> Friday, 04 - 13

2820193 --> Friday, 03 - 29

2820194 --> Friday, 04 - 18

2820195 --> Friday, 04 - 10

2820196 --> Friday, 03 - 25

2820197 --> Friday, 04 - 14

2820198 --> Friday, 04 - 06

2820199 --> Friday, 03 - 22

2820200 --> Friday, 04 - 11

2820201 --> Friday, 04 - 03

2820202 --> Friday, 04 - 23

2820203 --> Friday, 04 - 08

2820204 --> Friday, 03 - 30

2820205 --> Friday, 04 - 19

2820206 --> Friday, 04 - 04

2820207 --> Friday, 03 - 27

2820208 --> Friday, 04 - 15

2820209 --> Friday, 03 - 31

2820210 --> Friday, 03 - 23

2820211 --> Friday, 04 - 12

2820212 --> Friday, 04 - 03

2820213 --> Friday, 04 - 16

2820214 --> Friday, 04 - 08

2820215 --> Friday, 03 - 31

2820216 --> Friday, 04 - 19

2820217 --> Friday, 04 - 04

2820218 --> Friday, 03 - 27

2820219 --> Friday, 04 - 16

2820220 --> Friday, 03 - 31

2820221 --> Friday, 04 - 20

2820222 --> Friday, 04 - 12

2820223 --> Friday, 03 - 28

2820224 --> Friday, 04 - 16

2820225 --> Friday, 04 - 08

2820226 --> Friday, 03 - 24

2820227 --> Friday, 04 - 13

2820228 --> Friday, 04 - 04

2820229 --> Friday, 03 - 20

2820230 --> Friday, 04 - 09

2820231 --> Friday, 04 - 01

2820232 --> Friday, 04 - 20

2820233 --> Friday, 04 - 05

2820234 --> Friday, 03 - 28

2820235 --> Friday, 04 - 17

2820236 --> Friday, 04 - 08

2820237 --> Friday, 03 - 24

2820238 --> Friday, 04 - 13

2820239 --> Friday, 04 - 05

2820240 --> Friday, 04 - 17

2820241 --> Friday, 04 - 09

2820242 --> Friday, 04 - 01

2820243 --> Friday, 04 - 21

2820244 --> Friday, 04 - 05

2820245 --> Friday, 03 - 28

2820246 --> Friday, 04 - 17

2820247 --> Friday, 04 - 02

2820248 --> Friday, 03 - 24

2820249 --> Friday, 04 - 13

2820250 --> Friday, 03 - 29

2820251 --> Friday, 04 - 18

2820252 --> Friday, 04 - 09

2820253 --> Friday, 03 - 25

2820254 --> Friday, 04 - 14

2820255 --> Friday, 04 - 06

2820256 --> Friday, 03 - 28

2820257 --> Friday, 04 - 10

2820258 --> Friday, 04 - 02

2820259 --> Friday, 04 - 22

2820260 --> Friday, 04 - 13

2820261 --> Friday, 03 - 29

2820262 --> Friday, 04 - 18

2820263 --> Friday, 04 - 10

2820264 --> Friday, 03 - 25

2820265 --> Friday, 04 - 14

2820266 --> Friday, 04 - 06

2820267 --> Friday, 03 - 22

2820268 --> Friday, 04 - 10

2820269 --> Friday, 04 - 02

2820270 --> Friday, 04 - 22

2820271 --> Friday, 04 - 07

2820272 --> Friday, 03 - 29

2820273 --> Friday, 04 - 18

2820274 --> Friday, 04 - 03

2820275 --> Friday, 03 - 26

2820276 --> Friday, 04 - 14

2820277 --> Friday, 03 - 30

2820278 --> Friday, 04 - 19

2820279 --> Friday, 04 - 11

2820280 --> Friday, 04 - 02

2820281 --> Friday, 04 - 15

2820282 --> Friday, 04 - 07

2820283 --> Friday, 03 - 30

2820284 --> Friday, 04 - 11

2820285 --> Friday, 04 - 03

2820286 --> Friday, 03 - 26

2820287 --> Friday, 04 - 08

2820288 --> Friday, 03 - 30

2820289 --> Friday, 04 - 19

2820290 --> Friday, 04 - 11

2820291 --> Friday, 03 - 27

2820292 --> Friday, 04 - 15

2820293 --> Friday, 04 - 07

2820294 --> Friday, 03 - 23

2820295 --> Friday, 04 - 12

2820296 --> Friday, 04 - 03

2820297 --> Friday, 04 - 23

2820298 --> Friday, 04 - 08

2820299 --> Friday, 03 - 31

2820300 --> Friday, 04 - 20

2820301 --> Friday, 04 - 05

2820302 --> Friday, 03 - 28

2820303 --> Friday, 04 - 17

2820304 --> Friday, 04 - 01

2820305 --> Friday, 03 - 24

2820306 --> Friday, 04 - 13

2820307 --> Friday, 03 - 29

2820308 --> Friday, 04 - 17

2820309 --> Friday, 04 - 09

2820310 --> Friday, 04 - 01

2820311 --> Friday, 04 - 14

2820312 --> Friday, 04 - 05

2820313 --> Friday, 03 - 28

2820314 --> Friday, 04 - 17

2820315 --> Friday, 04 - 02

2820316 --> Friday, 03 - 24

2820317 --> Friday, 04 - 13

2820318 --> Friday, 03 - 29

2820319 --> Friday, 04 - 18

2820320 --> Friday, 04 - 09

2820321 --> Friday, 03 - 25

2820322 --> Friday, 04 - 14

2820323 --> Friday, 04 - 06

2820324 --> Friday, 03 - 21

2820325 --> Friday, 04 - 10

2820326 --> Friday, 04 - 02

2820327 --> Friday, 04 - 22

2820328 --> Friday, 04 - 06

2820329 --> Friday, 03 - 29

2820330 --> Friday, 04 - 18

2820331 --> Friday, 04 - 03

2820332 --> Friday, 03 - 25

2820333 --> Friday, 04 - 14

2820334 --> Friday, 04 - 06

2820335 --> Friday, 03 - 22

2820336 --> Friday, 04 - 10

2820337 --> Friday, 04 - 02

2820338 --> Friday, 04 - 22

2820339 --> Friday, 04 - 07

2820340 --> Friday, 03 - 29

2820341 --> Friday, 04 - 18

2820342 --> Friday, 04 - 03

2820343 --> Friday, 03 - 26

2820344 --> Friday, 04 - 14

2820345 --> Friday, 03 - 30

2820346 --> Friday, 04 - 19

2820347 --> Friday, 04 - 11

2820348 --> Friday, 03 - 26

2820349 --> Friday, 04 - 15

2820350 --> Friday, 04 - 07

2820351 --> Friday, 03 - 23

2820352 --> Friday, 04 - 11

2820353 --> Friday, 04 - 03

2820354 --> Friday, 03 - 26

2820355 --> Friday, 04 - 08

2820356 --> Friday, 03 - 30

2820357 --> Friday, 04 - 19

2820358 --> Friday, 04 - 11

2820359 --> Friday, 03 - 27

2820360 --> Friday, 04 - 15

2820361 --> Friday, 04 - 07

2820362 --> Friday, 03 - 23

2820363 --> Friday, 04 - 12

2820364 --> Friday, 04 - 03

2820365 --> Friday, 04 - 23

2820366 --> Friday, 04 - 08

2820367 --> Friday, 03 - 31

2820368 --> Friday, 04 - 19

2820369 --> Friday, 04 - 04

2820370 --> Friday, 03 - 27

2820371 --> Friday, 04 - 16

2820372 --> Friday, 03 - 31

2820373 --> Friday, 03 - 23

2820374 --> Friday, 04 - 12

2820375 --> Friday, 03 - 28

2820376 --> Friday, 04 - 16

2820377 --> Friday, 04 - 08

2820378 --> Friday, 03 - 31

2820379 --> Friday, 04 - 13

2820380 --> Friday, 04 - 04

2820381 --> Friday, 03 - 27

2820382 --> Friday, 04 - 09

2820383 --> Friday, 04 - 01

2820384 --> Friday, 04 - 20

2820385 --> Friday, 04 - 12

2820386 --> Friday, 03 - 28

2820387 --> Friday, 04 - 17

2820388 --> Friday, 04 - 08

2820389 --> Friday, 03 - 24

2820390 --> Friday, 04 - 13

2820391 --> Friday, 04 - 05

2820392 --> Friday, 03 - 20

2820393 --> Friday, 04 - 09

2820394 --> Friday, 04 - 01

2820395 --> Friday, 04 - 21

2820396 --> Friday, 04 - 05

2820397 --> Friday, 03 - 28

2820398 --> Friday, 04 - 17

2820399 --> Friday, 04 - 02

2820400 --> Friday, 03 - 24

2820401 --> Friday, 04 - 13

2820402 --> Friday, 03 - 29

