Good Friday given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 3510000 through 3519999



3510000 --> Friday, 04 - 14

3510001 --> Friday, 04 - 06

3510002 --> Friday, 03 - 22

3510003 --> Friday, 04 - 11

3510004 --> Friday, 04 - 02

3510005 --> Friday, 04 - 15

3510006 --> Friday, 04 - 07

3510007 --> Friday, 03 - 30

3510008 --> Friday, 04 - 18

3510009 --> Friday, 04 - 03

3510010 --> Friday, 03 - 26

3510011 --> Friday, 04 - 15

3510012 --> Friday, 03 - 30

3510013 --> Friday, 04 - 19

3510014 --> Friday, 04 - 11

3510015 --> Friday, 03 - 27

3510016 --> Friday, 04 - 15

3510017 --> Friday, 04 - 07

3510018 --> Friday, 03 - 23

3510019 --> Friday, 04 - 12

3510020 --> Friday, 04 - 03

3510021 --> Friday, 03 - 26

3510022 --> Friday, 04 - 08

3510023 --> Friday, 03 - 31

3510024 --> Friday, 04 - 19

3510025 --> Friday, 04 - 04

3510026 --> Friday, 03 - 27

3510027 --> Friday, 04 - 16

3510028 --> Friday, 04 - 07

3510029 --> Friday, 03 - 23

3510030 --> Friday, 04 - 12

3510031 --> Friday, 04 - 04

3510032 --> Friday, 04 - 23

3510033 --> Friday, 04 - 08

3510034 --> Friday, 03 - 31

3510035 --> Friday, 04 - 20

3510036 --> Friday, 04 - 04

3510037 --> Friday, 03 - 27

3510038 --> Friday, 04 - 16

3510039 --> Friday, 04 - 01

3510040 --> Friday, 03 - 23

3510041 --> Friday, 04 - 12

3510042 --> Friday, 03 - 28

3510043 --> Friday, 04 - 17

3510044 --> Friday, 04 - 08

3510045 --> Friday, 03 - 24

3510046 --> Friday, 04 - 13

3510047 --> Friday, 04 - 05

3510048 --> Friday, 03 - 27

3510049 --> Friday, 04 - 09

3510050 --> Friday, 04 - 01

3510051 --> Friday, 04 - 21

3510052 --> Friday, 04 - 12

3510053 --> Friday, 03 - 28

3510054 --> Friday, 04 - 17

3510055 --> Friday, 04 - 09

3510056 --> Friday, 03 - 24

3510057 --> Friday, 04 - 13

3510058 --> Friday, 04 - 05

3510059 --> Friday, 03 - 21

3510060 --> Friday, 04 - 09

3510061 --> Friday, 04 - 01

3510062 --> Friday, 04 - 21

3510063 --> Friday, 04 - 06

3510064 --> Friday, 03 - 28

3510065 --> Friday, 04 - 17

3510066 --> Friday, 04 - 02

3510067 --> Friday, 03 - 25

3510068 --> Friday, 04 - 13

3510069 --> Friday, 03 - 29

3510070 --> Friday, 04 - 18

3510071 --> Friday, 04 - 10

3510072 --> Friday, 04 - 01

3510073 --> Friday, 04 - 14

3510074 --> Friday, 04 - 06

3510075 --> Friday, 03 - 29

3510076 --> Friday, 04 - 17

3510077 --> Friday, 04 - 02

3510078 --> Friday, 03 - 25

3510079 --> Friday, 04 - 07

3510080 --> Friday, 03 - 29

3510081 --> Friday, 04 - 18

3510082 --> Friday, 04 - 10

3510083 --> Friday, 03 - 26

3510084 --> Friday, 04 - 14

3510085 --> Friday, 04 - 06

3510086 --> Friday, 03 - 22

3510087 --> Friday, 04 - 11

3510088 --> Friday, 04 - 02

3510089 --> Friday, 04 - 22

3510090 --> Friday, 04 - 07

3510091 --> Friday, 03 - 30

3510092 --> Friday, 04 - 18

3510093 --> Friday, 04 - 03

3510094 --> Friday, 03 - 26

3510095 --> Friday, 04 - 15

3510096 --> Friday, 04 - 06

3510097 --> Friday, 03 - 22

3510098 --> Friday, 04 - 11

3510099 --> Friday, 03 - 27

3510100 --> Friday, 04 - 16

3510101 --> Friday, 04 - 08

3510102 --> Friday, 03 - 31

3510103 --> Friday, 04 - 13

3510104 --> Friday, 04 - 04

3510105 --> Friday, 03 - 27

3510106 --> Friday, 04 - 16

3510107 --> Friday, 04 - 01

3510108 --> Friday, 04 - 20

3510109 --> Friday, 04 - 12

3510110 --> Friday, 03 - 28

3510111 --> Friday, 04 - 17

3510112 --> Friday, 04 - 08

3510113 --> Friday, 03 - 24

3510114 --> Friday, 04 - 13

3510115 --> Friday, 04 - 05

3510116 --> Friday, 03 - 27

3510117 --> Friday, 04 - 09

3510118 --> Friday, 04 - 01

3510119 --> Friday, 04 - 21

3510120 --> Friday, 04 - 05

3510121 --> Friday, 03 - 28

3510122 --> Friday, 04 - 17

3510123 --> Friday, 04 - 02

3510124 --> Friday, 03 - 24

3510125 --> Friday, 04 - 13

3510126 --> Friday, 04 - 05

3510127 --> Friday, 04 - 18

3510128 --> Friday, 04 - 09

3510129 --> Friday, 04 - 01

3510130 --> Friday, 04 - 21

3510131 --> Friday, 04 - 06

3510132 --> Friday, 03 - 28

3510133 --> Friday, 04 - 17

3510134 --> Friday, 04 - 02

3510135 --> Friday, 03 - 25

3510136 --> Friday, 04 - 13

3510137 --> Friday, 03 - 29

3510138 --> Friday, 04 - 18

