Good Friday given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 0540000 through 0549999



0540000 --> Friday, 04 - 07

0540001 --> Friday, 03 - 30

0540002 --> Friday, 04 - 19

0540003 --> Friday, 04 - 04

0540004 --> Friday, 03 - 26

0540005 --> Friday, 04 - 15

0540006 --> Friday, 03 - 31

0540007 --> Friday, 04 - 20

0540008 --> Friday, 04 - 11

0540009 --> Friday, 03 - 27

0540010 --> Friday, 04 - 16

0540011 --> Friday, 04 - 08

0540012 --> Friday, 03 - 30

0540013 --> Friday, 04 - 12

0540014 --> Friday, 04 - 04

0540015 --> Friday, 03 - 27

0540016 --> Friday, 04 - 15

0540017 --> Friday, 03 - 31

0540018 --> Friday, 04 - 20

0540019 --> Friday, 04 - 05

0540020 --> Friday, 03 - 27

0540021 --> Friday, 04 - 16

0540022 --> Friday, 04 - 08

0540023 --> Friday, 03 - 24

0540024 --> Friday, 04 - 12

0540025 --> Friday, 04 - 04

0540026 --> Friday, 04 - 17

0540027 --> Friday, 04 - 09

0540028 --> Friday, 03 - 31

0540029 --> Friday, 04 - 20

0540030 --> Friday, 04 - 05

0540031 --> Friday, 03 - 28

0540032 --> Friday, 04 - 16

0540033 --> Friday, 04 - 01

0540034 --> Friday, 03 - 24

0540035 --> Friday, 04 - 13

0540036 --> Friday, 04 - 04

0540037 --> Friday, 04 - 17

0540038 --> Friday, 04 - 09

0540039 --> Friday, 03 - 25

0540040 --> Friday, 04 - 13

0540041 --> Friday, 04 - 05

0540042 --> Friday, 03 - 28

0540043 --> Friday, 04 - 10

0540044 --> Friday, 04 - 01

0540045 --> Friday, 04 - 21

0540046 --> Friday, 04 - 13

0540047 --> Friday, 03 - 29

0540048 --> Friday, 04 - 17

0540049 --> Friday, 04 - 09

0540050 --> Friday, 03 - 25

0540051 --> Friday, 04 - 14

0540052 --> Friday, 04 - 05

0540053 --> Friday, 03 - 21

0540054 --> Friday, 04 - 10

0540055 --> Friday, 04 - 02

0540056 --> Friday, 04 - 21

0540057 --> Friday, 04 - 06

0540058 --> Friday, 03 - 29

0540059 --> Friday, 04 - 18

0540060 --> Friday, 04 - 02

0540061 --> Friday, 03 - 25

0540062 --> Friday, 04 - 14

0540063 --> Friday, 03 - 30

0540064 --> Friday, 04 - 18

0540065 --> Friday, 04 - 10

0540066 --> Friday, 04 - 02

0540067 --> Friday, 04 - 15

0540068 --> Friday, 04 - 06

0540069 --> Friday, 03 - 29

0540070 --> Friday, 04 - 18

0540071 --> Friday, 04 - 03

0540072 --> Friday, 03 - 25

0540073 --> Friday, 04 - 14

0540074 --> Friday, 03 - 30

0540075 --> Friday, 04 - 19

0540076 --> Friday, 04 - 10

0540077 --> Friday, 03 - 26

0540078 --> Friday, 04 - 15

0540079 --> Friday, 04 - 07

0540080 --> Friday, 03 - 22

0540081 --> Friday, 04 - 11

0540082 --> Friday, 04 - 03

0540083 --> Friday, 04 - 23

0540084 --> Friday, 04 - 07

0540085 --> Friday, 03 - 30

0540086 --> Friday, 04 - 19

0540087 --> Friday, 04 - 04

0540088 --> Friday, 03 - 26

0540089 --> Friday, 04 - 15

0540090 --> Friday, 04 - 07

0540091 --> Friday, 03 - 23

0540092 --> Friday, 04 - 11

0540093 --> Friday, 04 - 03

0540094 --> Friday, 04 - 16

0540095 --> Friday, 04 - 08

0540096 --> Friday, 03 - 30

0540097 --> Friday, 04 - 19

0540098 --> Friday, 04 - 04

0540099 --> Friday, 03 - 27

0540100 --> Friday, 04 - 16

0540101 --> Friday, 04 - 01

0540102 --> Friday, 03 - 24

0540103 --> Friday, 04 - 13

0540104 --> Friday, 03 - 28

0540105 --> Friday, 04 - 17

0540106 --> Friday, 04 - 09

0540107 --> Friday, 03 - 25

0540108 --> Friday, 04 - 13

0540109 --> Friday, 04 - 05

0540110 --> Friday, 03 - 28

0540111 --> Friday, 04 - 10

0540112 --> Friday, 04 - 01

0540113 --> Friday, 04 - 21

0540114 --> Friday, 04 - 06

0540115 --> Friday, 03 - 29

0540116 --> Friday, 04 - 17

0540117 --> Friday, 04 - 09

0540118 --> Friday, 03 - 25

0540119 --> Friday, 04 - 14

0540120 --> Friday, 04 - 05

