Good Friday given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 1320000 through 1329999



1320000 --> Friday, 04 - 21

1320001 --> Friday, 04 - 06

1320002 --> Friday, 03 - 29

1320003 --> Friday, 04 - 18

1320004 --> Friday, 04 - 09

1320005 --> Friday, 03 - 25

1320006 --> Friday, 04 - 14

1320007 --> Friday, 03 - 30

1320008 --> Friday, 04 - 18

1320009 --> Friday, 04 - 10

1320010 --> Friday, 04 - 02

1320011 --> Friday, 04 - 15

1320012 --> Friday, 04 - 06

1320013 --> Friday, 03 - 29

1320014 --> Friday, 04 - 18

1320015 --> Friday, 04 - 03

1320016 --> Friday, 03 - 25

1320017 --> Friday, 04 - 14

1320018 --> Friday, 03 - 30

1320019 --> Friday, 04 - 19

1320020 --> Friday, 04 - 10

1320021 --> Friday, 03 - 26

1320022 --> Friday, 04 - 15

1320023 --> Friday, 04 - 07

1320024 --> Friday, 03 - 29

1320025 --> Friday, 04 - 11

1320026 --> Friday, 04 - 03

1320027 --> Friday, 04 - 23

1320028 --> Friday, 04 - 07

1320029 --> Friday, 03 - 30

1320030 --> Friday, 04 - 19

1320031 --> Friday, 04 - 04

1320032 --> Friday, 03 - 26

1320033 --> Friday, 04 - 15

1320034 --> Friday, 04 - 07

1320035 --> Friday, 03 - 23

1320036 --> Friday, 04 - 11

1320037 --> Friday, 04 - 03

1320038 --> Friday, 04 - 16

1320039 --> Friday, 04 - 08

1320040 --> Friday, 03 - 30

1320041 --> Friday, 04 - 19

1320042 --> Friday, 04 - 04

1320043 --> Friday, 03 - 27

1320044 --> Friday, 04 - 15

1320045 --> Friday, 03 - 31

1320046 --> Friday, 04 - 20

1320047 --> Friday, 04 - 12

1320048 --> Friday, 03 - 27

1320049 --> Friday, 04 - 16

1320050 --> Friday, 04 - 08

1320051 --> Friday, 03 - 24

1320052 --> Friday, 04 - 12

1320053 --> Friday, 04 - 04

1320054 --> Friday, 03 - 27

1320055 --> Friday, 04 - 09

1320056 --> Friday, 03 - 31

1320057 --> Friday, 04 - 20

1320058 --> Friday, 04 - 12

1320059 --> Friday, 03 - 28

1320060 --> Friday, 04 - 16

1320061 --> Friday, 04 - 08

1320062 --> Friday, 03 - 24

1320063 --> Friday, 04 - 13

1320064 --> Friday, 04 - 04

1320065 --> Friday, 04 - 17

1320066 --> Friday, 04 - 09

1320067 --> Friday, 04 - 01

1320068 --> Friday, 04 - 20

1320069 --> Friday, 04 - 05

1320070 --> Friday, 03 - 28

1320071 --> Friday, 04 - 17

1320072 --> Friday, 04 - 01

1320073 --> Friday, 03 - 24

1320074 --> Friday, 04 - 13

1320075 --> Friday, 03 - 29

1320076 --> Friday, 04 - 17

1320077 --> Friday, 04 - 09

1320078 --> Friday, 04 - 01

1320079 --> Friday, 04 - 14

1320080 --> Friday, 04 - 05

1320081 --> Friday, 03 - 28

1320082 --> Friday, 04 - 10

1320083 --> Friday, 04 - 02

1320084 --> Friday, 04 - 21

1320085 --> Friday, 04 - 13

1320086 --> Friday, 03 - 29

1320087 --> Friday, 04 - 18

1320088 --> Friday, 04 - 09

1320089 --> Friday, 03 - 25

1320090 --> Friday, 04 - 14

1320091 --> Friday, 04 - 06

1320092 --> Friday, 03 - 21

1320093 --> Friday, 04 - 10

1320094 --> Friday, 04 - 02

1320095 --> Friday, 04 - 22

1320096 --> Friday, 04 - 06

