Good Friday given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 0060000 through 0069999



0060000 --> Friday, 04 - 21

0060001 --> Friday, 04 - 06

0060002 --> Friday, 03 - 29

0060003 --> Friday, 04 - 11

0060004 --> Friday, 04 - 02

0060005 --> Friday, 03 - 25

0060006 --> Friday, 04 - 14

0060007 --> Friday, 03 - 30

0060008 --> Friday, 04 - 18

0060009 --> Friday, 04 - 10

0060010 --> Friday, 03 - 26

0060011 --> Friday, 04 - 15

0060012 --> Friday, 04 - 06

0060013 --> Friday, 03 - 22

0060014 --> Friday, 04 - 11

0060015 --> Friday, 04 - 03

0060016 --> Friday, 04 - 22

0060017 --> Friday, 04 - 07

0060018 --> Friday, 03 - 30

0060019 --> Friday, 04 - 19

0060020 --> Friday, 04 - 10

0060021 --> Friday, 03 - 26

0060022 --> Friday, 04 - 15

0060023 --> Friday, 03 - 31

0060024 --> Friday, 03 - 22

0060025 --> Friday, 04 - 11

0060026 --> Friday, 04 - 03

0060027 --> Friday, 04 - 16

0060028 --> Friday, 04 - 07

0060029 --> Friday, 03 - 30

0060030 --> Friday, 04 - 19

0060031 --> Friday, 04 - 04

0060032 --> Friday, 03 - 26

0060033 --> Friday, 04 - 15

0060034 --> Friday, 03 - 31

0060035 --> Friday, 04 - 20

0060036 --> Friday, 04 - 11

0060037 --> Friday, 03 - 27

0060038 --> Friday, 04 - 16

0060039 --> Friday, 04 - 08

0060040 --> Friday, 03 - 23

0060041 --> Friday, 04 - 12

0060042 --> Friday, 04 - 04

0060043 --> Friday, 03 - 20

0060044 --> Friday, 04 - 08

0060045 --> Friday, 03 - 31

0060046 --> Friday, 04 - 20

0060047 --> Friday, 04 - 05

0060048 --> Friday, 03 - 27

0060049 --> Friday, 04 - 16

0060050 --> Friday, 04 - 08

0060051 --> Friday, 03 - 24

0060052 --> Friday, 04 - 12

0060053 --> Friday, 04 - 04

0060054 --> Friday, 04 - 17

0060055 --> Friday, 04 - 09

0060056 --> Friday, 03 - 31

0060057 --> Friday, 04 - 20

