Good Friday given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 3050000 through 3059999



3050000 --> Friday, 04 - 07

3050001 --> Friday, 03 - 23

3050002 --> Friday, 04 - 12

3050003 --> Friday, 04 - 04

3050004 --> Friday, 03 - 26

3050005 --> Friday, 04 - 08

3050006 --> Friday, 03 - 31

3050007 --> Friday, 04 - 20

3050008 --> Friday, 04 - 11

3050009 --> Friday, 03 - 27

3050010 --> Friday, 04 - 16

3050011 --> Friday, 04 - 08

3050012 --> Friday, 03 - 23

3050013 --> Friday, 04 - 12

3050014 --> Friday, 04 - 04

3050015 --> Friday, 04 - 17

3050016 --> Friday, 04 - 08

3050017 --> Friday, 03 - 31

3050018 --> Friday, 04 - 20

3050019 --> Friday, 04 - 05

3050020 --> Friday, 03 - 27

3050021 --> Friday, 04 - 16

3050022 --> Friday, 04 - 01

3050023 --> Friday, 03 - 24

3050024 --> Friday, 04 - 12

3050025 --> Friday, 03 - 28

3050026 --> Friday, 04 - 17

3050027 --> Friday, 04 - 09

3050028 --> Friday, 03 - 31

3050029 --> Friday, 04 - 13

3050030 --> Friday, 04 - 05

3050031 --> Friday, 03 - 28

3050032 --> Friday, 04 - 09

3050033 --> Friday, 04 - 01

3050034 --> Friday, 04 - 21

3050035 --> Friday, 04 - 06

3050036 --> Friday, 03 - 28

3050037 --> Friday, 04 - 17

3050038 --> Friday, 04 - 09

3050039 --> Friday, 03 - 25

3050040 --> Friday, 04 - 13

3050041 --> Friday, 04 - 05

3050042 --> Friday, 03 - 21

3050043 --> Friday, 04 - 10

3050044 --> Friday, 04 - 01

3050045 --> Friday, 04 - 21

3050046 --> Friday, 04 - 06

3050047 --> Friday, 03 - 29

3050048 --> Friday, 04 - 17

3050049 --> Friday, 04 - 02

3050050 --> Friday, 03 - 25

3050051 --> Friday, 04 - 14

3050052 --> Friday, 03 - 29

3050053 --> Friday, 04 - 18

3050054 --> Friday, 04 - 10

3050055 --> Friday, 03 - 26

3050056 --> Friday, 04 - 14

3050057 --> Friday, 04 - 06

3050058 --> Friday, 03 - 29

3050059 --> Friday, 04 - 11

3050060 --> Friday, 04 - 02

3050061 --> Friday, 03 - 25

3050062 --> Friday, 04 - 14

3050063 --> Friday, 03 - 30

3050064 --> Friday, 04 - 18

3050065 --> Friday, 04 - 10

3050066 --> Friday, 03 - 26

3050067 --> Friday, 04 - 15

3050068 --> Friday, 04 - 06

3050069 --> Friday, 03 - 22

3050070 --> Friday, 04 - 11

3050071 --> Friday, 04 - 03

3050072 --> Friday, 04 - 22

3050073 --> Friday, 04 - 07

3050074 --> Friday, 03 - 30

3050075 --> Friday, 04 - 19

3050076 --> Friday, 04 - 03

3050077 --> Friday, 03 - 26

3050078 --> Friday, 04 - 15

3050079 --> Friday, 03 - 31

3050080 --> Friday, 03 - 22

3050081 --> Friday, 04 - 11

3050082 --> Friday, 04 - 03

3050083 --> Friday, 04 - 16

3050084 --> Friday, 04 - 07

3050085 --> Friday, 03 - 30

3050086 --> Friday, 04 - 19

3050087 --> Friday, 04 - 04

3050088 --> Friday, 03 - 26

3050089 --> Friday, 04 - 15

3050090 --> Friday, 03 - 31

3050091 --> Friday, 04 - 20

3050092 --> Friday, 04 - 11

3050093 --> Friday, 03 - 27

3050094 --> Friday, 04 - 16

3050095 --> Friday, 04 - 08

3050096 --> Friday, 03 - 23

3050097 --> Friday, 04 - 12

3050098 --> Friday, 04 - 04

3050099 --> Friday, 03 - 20

3050100 --> Friday, 04 - 09

3050101 --> Friday, 04 - 01

3050102 --> Friday, 04 - 21

3050103 --> Friday, 04 - 06

3050104 --> Friday, 03 - 28

3050105 --> Friday, 04 - 17

3050106 --> Friday, 04 - 09

3050107 --> Friday, 03 - 25

3050108 --> Friday, 04 - 13

3050109 --> Friday, 04 - 05

3050110 --> Friday, 04 - 18

3050111 --> Friday, 04 - 10

3050112 --> Friday, 04 - 01

3050113 --> Friday, 04 - 21

3050114 --> Friday, 04 - 06

3050115 --> Friday, 03 - 29

3050116 --> Friday, 04 - 17

3050117 --> Friday, 04 - 02

3050118 --> Friday, 03 - 25

3050119 --> Friday, 04 - 14

3050120 --> Friday, 03 - 29

3050121 --> Friday, 04 - 18

3050122 --> Friday, 04 - 10

3050123 --> Friday, 03 - 26

3050124 --> Friday, 04 - 14

3050125 --> Friday, 04 - 06

3050126 --> Friday, 03 - 29

3050127 --> Friday, 04 - 11

3050128 --> Friday, 04 - 02

3050129 --> Friday, 04 - 22

3050130 --> Friday, 04 - 07

3050131 --> Friday, 03 - 30

3050132 --> Friday, 04 - 18

3050133 --> Friday, 04 - 10

3050134 --> Friday, 03 - 26

3050135 --> Friday, 04 - 15

3050136 --> Friday, 04 - 06

3050137 --> Friday, 03 - 22

3050138 --> Friday, 04 - 11

3050139 --> Friday, 04 - 03

3050140 --> Friday, 04 - 22

3050141 --> Friday, 04 - 07

3050142 --> Friday, 03 - 30

3050143 --> Friday, 04 - 19

3050144 --> Friday, 04 - 03

3050145 --> Friday, 03 - 26

3050146 --> Friday, 04 - 15

3050147 --> Friday, 03 - 31

3050148 --> Friday, 04 - 19

3050149 --> Friday, 04 - 11

3050150 --> Friday, 03 - 27

3050151 --> Friday, 04 - 16

3050152 --> Friday, 04 - 07

3050153 --> Friday, 03 - 30

3050154 --> Friday, 04 - 12

3050155 --> Friday, 04 - 04

3050156 --> Friday, 03 - 26

3050157 --> Friday, 04 - 15

3050158 --> Friday, 03 - 31

3050159 --> Friday, 04 - 20

3050160 --> Friday, 04 - 11

3050161 --> Friday, 03 - 27

3050162 --> Friday, 04 - 16

3050163 --> Friday, 04 - 08

3050164 --> Friday, 03 - 23

3050165 --> Friday, 04 - 12

3050166 --> Friday, 04 - 04

3050167 --> Friday, 04 - 17

3050168 --> Friday, 04 - 08

3050169 --> Friday, 03 - 31

3050170 --> Friday, 04 - 20

3050171 --> Friday, 04 - 05

3050172 --> Friday, 03 - 27

3050173 --> Friday, 04 - 16

3050174 --> Friday, 04 - 01

3050175 --> Friday, 03 - 24

3050176 --> Friday, 04 - 12

3050177 --> Friday, 04 - 04

3050178 --> Friday, 04 - 17

3050179 --> Friday, 04 - 09

3050180 --> Friday, 03 - 31

3050181 --> Friday, 04 - 20

3050182 --> Friday, 04 - 05

3050183 --> Friday, 03 - 28

3050184 --> Friday, 04 - 16

3050185 --> Friday, 04 - 01

3050186 --> Friday, 04 - 21

3050187 --> Friday, 04 - 13

3050188 --> Friday, 03 - 28

3050189 --> Friday, 04 - 17

3050190 --> Friday, 04 - 09

3050191 --> Friday, 03 - 25

3050192 --> Friday, 04 - 13

3050193 --> Friday, 04 - 05

3050194 --> Friday, 03 - 21

3050195 --> Friday, 04 - 10

3050196 --> Friday, 04 - 01

3050197 --> Friday, 04 - 21

3050198 --> Friday, 04 - 06

3050199 --> Friday, 03 - 29

3050200 --> Friday, 04 - 18

3050201 --> Friday, 04 - 03

3050202 --> Friday, 03 - 26

3050203 --> Friday, 04 - 15

3050204 --> Friday, 03 - 30

3050205 --> Friday, 04 - 19

3050206 --> Friday, 04 - 11

3050207 --> Friday, 03 - 27

3050208 --> Friday, 04 - 15

3050209 --> Friday, 04 - 07

3050210 --> Friday, 03 - 30

3050211 --> Friday, 04 - 12

3050212 --> Friday, 04 - 03

3050213 --> Friday, 03 - 26

3050214 --> Friday, 04 - 15

3050215 --> Friday, 03 - 31

3050216 --> Friday, 04 - 19

3050217 --> Friday, 04 - 11

3050218 --> Friday, 03 - 27

3050219 --> Friday, 04 - 16

3050220 --> Friday, 04 - 07

3050221 --> Friday, 03 - 23

3050222 --> Friday, 04 - 12

3050223 --> Friday, 04 - 04

3050224 --> Friday, 04 - 23

3050225 --> Friday, 04 - 08

3050226 --> Friday, 03 - 31

3050227 --> Friday, 04 - 20

3050228 --> Friday, 04 - 04

3050229 --> Friday, 03 - 27

3050230 --> Friday, 04 - 16

3050231 --> Friday, 04 - 01

3050232 --> Friday, 03 - 23

3050233 --> Friday, 04 - 12

3050234 --> Friday, 04 - 04

3050235 --> Friday, 04 - 17

3050236 --> Friday, 04 - 08

3050237 --> Friday, 03 - 31

3050238 --> Friday, 04 - 20

3050239 --> Friday, 04 - 05

3050240 --> Friday, 03 - 27

3050241 --> Friday, 04 - 16

3050242 --> Friday, 04 - 01

3050243 --> Friday, 04 - 21

3050244 --> Friday, 04 - 12

3050245 --> Friday, 03 - 28

3050246 --> Friday, 04 - 17

3050247 --> Friday, 04 - 09

3050248 --> Friday, 03 - 24

3050249 --> Friday, 04 - 13

3050250 --> Friday, 04 - 05

3050251 --> Friday, 03 - 21

3050252 --> Friday, 04 - 09

3050253 --> Friday, 04 - 01

3050254 --> Friday, 04 - 21

3050255 --> Friday, 04 - 06

3050256 --> Friday, 03 - 28

3050257 --> Friday, 04 - 17

3050258 --> Friday, 04 - 09

3050259 --> Friday, 03 - 25

3050260 --> Friday, 04 - 13

3050261 --> Friday, 04 - 05

3050262 --> Friday, 04 - 18

3050263 --> Friday, 04 - 10

3050264 --> Friday, 04 - 01

3050265 --> Friday, 04 - 21

3050266 --> Friday, 04 - 06

3050267 --> Friday, 03 - 29

3050268 --> Friday, 04 - 17

3050269 --> Friday, 04 - 02

3050270 --> Friday, 03 - 25

3050271 --> Friday, 04 - 14

3050272 --> Friday, 03 - 29

3050273 --> Friday, 04 - 18

3050274 --> Friday, 04 - 10

3050275 --> Friday, 03 - 26

3050276 --> Friday, 04 - 14

3050277 --> Friday, 04 - 06

3050278 --> Friday, 03 - 29

3050279 --> Friday, 04 - 11

3050280 --> Friday, 04 - 02

3050281 --> Friday, 04 - 22

3050282 --> Friday, 04 - 07

3050283 --> Friday, 03 - 30

3050284 --> Friday, 04 - 18

3050285 --> Friday, 04 - 10

