Good Friday given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 3850000 through 3859999



3850000 --> Friday, 03 - 31

3850001 --> Friday, 04 - 20

3850002 --> Friday, 04 - 12

3850003 --> Friday, 03 - 28

3850004 --> Friday, 04 - 16

3850005 --> Friday, 04 - 08

3850006 --> Friday, 03 - 24

3850007 --> Friday, 04 - 13

3850008 --> Friday, 04 - 04

3850009 --> Friday, 04 - 17

3850010 --> Friday, 04 - 09

3850011 --> Friday, 04 - 01

3850012 --> Friday, 04 - 20

3850013 --> Friday, 04 - 05

3850014 --> Friday, 03 - 28

3850015 --> Friday, 04 - 17

3850016 --> Friday, 04 - 01

3850017 --> Friday, 03 - 24

3850018 --> Friday, 04 - 13

3850019 --> Friday, 03 - 29

3850020 --> Friday, 04 - 17

3850021 --> Friday, 04 - 09

3850022 --> Friday, 04 - 01

3850023 --> Friday, 04 - 14

3850024 --> Friday, 04 - 05

3850025 --> Friday, 03 - 28

3850026 --> Friday, 04 - 17

3850027 --> Friday, 04 - 02

3850028 --> Friday, 04 - 21

3850029 --> Friday, 04 - 13

3850030 --> Friday, 03 - 29

3850031 --> Friday, 04 - 18

3850032 --> Friday, 04 - 09

3850033 --> Friday, 03 - 25

3850034 --> Friday, 04 - 14

3850035 --> Friday, 04 - 06

3850036 --> Friday, 03 - 21

3850037 --> Friday, 04 - 10

3850038 --> Friday, 04 - 02

3850039 --> Friday, 04 - 22

3850040 --> Friday, 04 - 06

3850041 --> Friday, 03 - 29

3850042 --> Friday, 04 - 18

3850043 --> Friday, 04 - 03

3850044 --> Friday, 03 - 25

3850045 --> Friday, 04 - 14

3850046 --> Friday, 03 - 30

3850047 --> Friday, 04 - 19

3850048 --> Friday, 04 - 10

3850049 --> Friday, 04 - 02

3850050 --> Friday, 04 - 15

3850051 --> Friday, 04 - 07

3850052 --> Friday, 03 - 29

3850053 --> Friday, 04 - 18

3850054 --> Friday, 04 - 03

3850055 --> Friday, 03 - 26

3850056 --> Friday, 04 - 14

3850057 --> Friday, 03 - 30

3850058 --> Friday, 04 - 19

3850059 --> Friday, 04 - 11

3850060 --> Friday, 03 - 26

3850061 --> Friday, 04 - 15

3850062 --> Friday, 04 - 07

3850063 --> Friday, 03 - 23

3850064 --> Friday, 04 - 11

3850065 --> Friday, 04 - 03

3850066 --> Friday, 04 - 23

3850067 --> Friday, 04 - 08

3850068 --> Friday, 03 - 30

3850069 --> Friday, 04 - 19

3850070 --> Friday, 04 - 04

3850071 --> Friday, 03 - 27

3850072 --> Friday, 04 - 15

3850073 --> Friday, 04 - 07

3850074 --> Friday, 03 - 23

3850075 --> Friday, 04 - 12

