Easter Sunday given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 5300000 through 5309999



5300000 --> Sunday, 04 - 09

5300001 --> Sunday, 04 - 01

5300002 --> Sunday, 04 - 21

5300003 --> Sunday, 04 - 06

5300004 --> Sunday, 03 - 28

5300005 --> Sunday, 04 - 17

5300006 --> Sunday, 04 - 09

5300007 --> Sunday, 03 - 25

5300008 --> Sunday, 04 - 13

5300009 --> Sunday, 04 - 05

5300010 --> Sunday, 04 - 18

5300011 --> Sunday, 04 - 10

5300012 --> Sunday, 04 - 01

5300013 --> Sunday, 04 - 21

5300014 --> Sunday, 04 - 06

5300015 --> Sunday, 03 - 29

5300016 --> Sunday, 04 - 17

5300017 --> Sunday, 04 - 02

5300018 --> Sunday, 04 - 22

5300019 --> Sunday, 04 - 14

5300020 --> Sunday, 03 - 29

5300021 --> Sunday, 04 - 18

5300022 --> Sunday, 04 - 10

5300023 --> Sunday, 03 - 26

5300024 --> Sunday, 04 - 14

5300025 --> Sunday, 04 - 06

5300026 --> Sunday, 03 - 29

5300027 --> Sunday, 04 - 11

5300028 --> Sunday, 04 - 02

5300029 --> Sunday, 04 - 22

5300030 --> Sunday, 04 - 14

5300031 --> Sunday, 03 - 30

5300032 --> Sunday, 04 - 18

5300033 --> Sunday, 04 - 10

5300034 --> Sunday, 03 - 26

5300035 --> Sunday, 04 - 15

5300036 --> Sunday, 04 - 06

5300037 --> Sunday, 04 - 19

5300038 --> Sunday, 04 - 11

5300039 --> Sunday, 04 - 03

5300040 --> Sunday, 04 - 22

5300041 --> Sunday, 04 - 07

5300042 --> Sunday, 03 - 30

5300043 --> Sunday, 04 - 19

5300044 --> Sunday, 04 - 03

5300045 --> Sunday, 03 - 26

5300046 --> Sunday, 04 - 15

5300047 --> Sunday, 03 - 31

5300048 --> Sunday, 04 - 19

5300049 --> Sunday, 04 - 11

5300050 --> Sunday, 03 - 27

5300051 --> Sunday, 04 - 16

5300052 --> Sunday, 04 - 07

5300053 --> Sunday, 03 - 30

5300054 --> Sunday, 04 - 12

5300055 --> Sunday, 04 - 04

5300056 --> Sunday, 04 - 23

5300057 --> Sunday, 04 - 15

5300058 --> Sunday, 03 - 31

5300059 --> Sunday, 04 - 20

5300060 --> Sunday, 04 - 11

5300061 --> Sunday, 03 - 27

5300062 --> Sunday, 04 - 16

5300063 --> Sunday, 04 - 08

5300064 --> Sunday, 03 - 23

5300065 --> Sunday, 04 - 12

5300066 --> Sunday, 04 - 04

5300067 --> Sunday, 04 - 24

5300068 --> Sunday, 04 - 08

5300069 --> Sunday, 03 - 31

5300070 --> Sunday, 04 - 20

