Easter Sunday given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 3120000 through 3129999



3120000 --> Sunday, 03 - 26

3120001 --> Sunday, 04 - 15

3120002 --> Sunday, 03 - 31

3120003 --> Sunday, 04 - 20

3120004 --> Sunday, 04 - 11

3120005 --> Sunday, 04 - 03

3120006 --> Sunday, 04 - 16

3120007 --> Sunday, 04 - 08

3120008 --> Sunday, 03 - 30

3120009 --> Sunday, 04 - 12

3120010 --> Sunday, 04 - 04

3120011 --> Sunday, 04 - 24

3120012 --> Sunday, 04 - 15

3120013 --> Sunday, 03 - 31

3120014 --> Sunday, 04 - 20

3120015 --> Sunday, 04 - 12

3120016 --> Sunday, 03 - 27

3120017 --> Sunday, 04 - 16

3120018 --> Sunday, 04 - 08

3120019 --> Sunday, 03 - 24

3120020 --> Sunday, 04 - 12

3120021 --> Sunday, 04 - 04

3120022 --> Sunday, 04 - 24

3120023 --> Sunday, 04 - 09

3120024 --> Sunday, 03 - 31

3120025 --> Sunday, 04 - 20

3120026 --> Sunday, 04 - 05

3120027 --> Sunday, 03 - 28

3120028 --> Sunday, 04 - 16

3120029 --> Sunday, 04 - 01

3120030 --> Sunday, 04 - 21

3120031 --> Sunday, 04 - 13

3120032 --> Sunday, 04 - 04

3120033 --> Sunday, 04 - 17

3120034 --> Sunday, 04 - 09

3120035 --> Sunday, 04 - 01

3120036 --> Sunday, 04 - 20

3120037 --> Sunday, 04 - 05

3120038 --> Sunday, 03 - 28

3120039 --> Sunday, 04 - 17

3120040 --> Sunday, 04 - 01

3120041 --> Sunday, 04 - 21

3120042 --> Sunday, 04 - 13

3120043 --> Sunday, 03 - 29

3120044 --> Sunday, 04 - 17

3120045 --> Sunday, 04 - 09

3120046 --> Sunday, 03 - 25

3120047 --> Sunday, 04 - 14

3120048 --> Sunday, 04 - 05

3120049 --> Sunday, 04 - 25

3120050 --> Sunday, 04 - 10

3120051 --> Sunday, 04 - 02

3120052 --> Sunday, 04 - 21

3120053 --> Sunday, 04 - 06

3120054 --> Sunday, 03 - 29

3120055 --> Sunday, 04 - 18

3120056 --> Sunday, 04 - 09

3120057 --> Sunday, 03 - 25

3120058 --> Sunday, 04 - 14

3120059 --> Sunday, 04 - 06

3120060 --> Sunday, 04 - 18

3120061 --> Sunday, 04 - 10

3120062 --> Sunday, 04 - 02

3120063 --> Sunday, 04 - 22

3120064 --> Sunday, 04 - 06

3120065 --> Sunday, 03 - 29

3120066 --> Sunday, 04 - 18

3120067 --> Sunday, 04 - 03

