Easter Sunday given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 0360000 through 0369999



0360000 --> Sunday, 04 - 09

0360001 --> Sunday, 04 - 01

0360002 --> Sunday, 04 - 21

0360003 --> Sunday, 04 - 06

0360004 --> Sunday, 03 - 28

0360005 --> Sunday, 04 - 17

0360006 --> Sunday, 04 - 02

0360007 --> Sunday, 04 - 22

0360008 --> Sunday, 04 - 13

0360009 --> Sunday, 03 - 29

0360010 --> Sunday, 04 - 18

0360011 --> Sunday, 04 - 10

0360012 --> Sunday, 03 - 25

0360013 --> Sunday, 04 - 14

0360014 --> Sunday, 04 - 06

0360015 --> Sunday, 03 - 22

0360016 --> Sunday, 04 - 10

0360017 --> Sunday, 04 - 02

0360018 --> Sunday, 04 - 22

0360019 --> Sunday, 04 - 07

0360020 --> Sunday, 03 - 29

0360021 --> Sunday, 04 - 18

0360022 --> Sunday, 04 - 10

0360023 --> Sunday, 03 - 26

0360024 --> Sunday, 04 - 14

0360025 --> Sunday, 04 - 06

0360026 --> Sunday, 04 - 19

0360027 --> Sunday, 04 - 11

0360028 --> Sunday, 04 - 02

0360029 --> Sunday, 04 - 22

0360030 --> Sunday, 04 - 07

0360031 --> Sunday, 03 - 30

0360032 --> Sunday, 04 - 18

0360033 --> Sunday, 04 - 03

0360034 --> Sunday, 03 - 26

0360035 --> Sunday, 04 - 15

0360036 --> Sunday, 03 - 30

0360037 --> Sunday, 04 - 19

0360038 --> Sunday, 04 - 11

0360039 --> Sunday, 03 - 27

0360040 --> Sunday, 04 - 15

0360041 --> Sunday, 04 - 07

0360042 --> Sunday, 03 - 30

0360043 --> Sunday, 04 - 12

0360044 --> Sunday, 04 - 03

0360045 --> Sunday, 04 - 23

0360046 --> Sunday, 04 - 15

0360047 --> Sunday, 03 - 31

0360048 --> Sunday, 04 - 19

0360049 --> Sunday, 04 - 11

0360050 --> Sunday, 03 - 27

0360051 --> Sunday, 04 - 16

0360052 --> Sunday, 04 - 07

0360053 --> Sunday, 03 - 23

0360054 --> Sunday, 04 - 12

0360055 --> Sunday, 04 - 04

0360056 --> Sunday, 04 - 23

0360057 --> Sunday, 04 - 08

0360058 --> Sunday, 03 - 31

0360059 --> Sunday, 04 - 20

0360060 --> Sunday, 04 - 04

0360061 --> Sunday, 03 - 27

0360062 --> Sunday, 04 - 16

0360063 --> Sunday, 04 - 01

0360064 --> Sunday, 04 - 20

0360065 --> Sunday, 04 - 12

0360066 --> Sunday, 04 - 04

0360067 --> Sunday, 04 - 17

0360068 --> Sunday, 04 - 08

0360069 --> Sunday, 03 - 31

0360070 --> Sunday, 04 - 13

0360071 --> Sunday, 04 - 05

0360072 --> Sunday, 03 - 27

0360073 --> Sunday, 04 - 16

0360074 --> Sunday, 04 - 01

0360075 --> Sunday, 04 - 21

0360076 --> Sunday, 04 - 12

0360077 --> Sunday, 03 - 28

0360078 --> Sunday, 04 - 17

0360079 --> Sunday, 04 - 09

0360080 --> Sunday, 03 - 24

0360081 --> Sunday, 04 - 13

0360082 --> Sunday, 04 - 05

0360083 --> Sunday, 04 - 25

0360084 --> Sunday, 04 - 09

0360085 --> Sunday, 04 - 01

0360086 --> Sunday, 04 - 21

0360087 --> Sunday, 04 - 06

0360088 --> Sunday, 03 - 28

0360089 --> Sunday, 04 - 17

0360090 --> Sunday, 04 - 02

0360091 --> Sunday, 03 - 25

0360092 --> Sunday, 04 - 13

0360093 --> Sunday, 04 - 05

0360094 --> Sunday, 04 - 18

0360095 --> Sunday, 04 - 10

0360096 --> Sunday, 04 - 01

0360097 --> Sunday, 04 - 21

0360098 --> Sunday, 04 - 06

0360099 --> Sunday, 03 - 29

0360100 --> Sunday, 04 - 18

0360101 --> Sunday, 04 - 03

0360102 --> Sunday, 03 - 26

0360103 --> Sunday, 04 - 15

0360104 --> Sunday, 03 - 30

0360105 --> Sunday, 04 - 19

0360106 --> Sunday, 04 - 11

0360107 --> Sunday, 03 - 27

0360108 --> Sunday, 04 - 15

0360109 --> Sunday, 04 - 07

0360110 --> Sunday, 03 - 23

0360111 --> Sunday, 04 - 12

0360112 --> Sunday, 04 - 03

0360113 --> Sunday, 04 - 23

0360114 --> Sunday, 04 - 08

0360115 --> Sunday, 03 - 31

0360116 --> Sunday, 04 - 19

0360117 --> Sunday, 04 - 11

0360118 --> Sunday, 03 - 27

0360119 --> Sunday, 04 - 16

0360120 --> Sunday, 04 - 07

0360121 --> Sunday, 03 - 23

0360122 --> Sunday, 04 - 12

0360123 --> Sunday, 04 - 04

0360124 --> Sunday, 04 - 23

0360125 --> Sunday, 04 - 08

0360126 --> Sunday, 03 - 31

0360127 --> Sunday, 04 - 20

0360128 --> Sunday, 04 - 04

0360129 --> Sunday, 03 - 27

0360130 --> Sunday, 04 - 16

0360131 --> Sunday, 04 - 01

0360132 --> Sunday, 04 - 20

0360133 --> Sunday, 04 - 12

0360134 --> Sunday, 03 - 28

0360135 --> Sunday, 04 - 17

