Easter Sunday given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 2630000 through 2639999



2630000 --> Sunday, 03 - 26

2630001 --> Sunday, 04 - 15

2630002 --> Sunday, 04 - 07

2630003 --> Sunday, 03 - 23

2630004 --> Sunday, 04 - 11

2630005 --> Sunday, 04 - 03

2630006 --> Sunday, 04 - 23

2630007 --> Sunday, 04 - 08

2630008 --> Sunday, 03 - 30

2630009 --> Sunday, 04 - 19

2630010 --> Sunday, 04 - 04

2630011 --> Sunday, 03 - 27

2630012 --> Sunday, 04 - 15

2630013 --> Sunday, 04 - 07

2630014 --> Sunday, 04 - 20

2630015 --> Sunday, 04 - 12

2630016 --> Sunday, 04 - 03

2630017 --> Sunday, 04 - 23

2630018 --> Sunday, 04 - 08

2630019 --> Sunday, 03 - 31

2630020 --> Sunday, 04 - 19

2630021 --> Sunday, 04 - 04

2630022 --> Sunday, 03 - 27

2630023 --> Sunday, 04 - 16

2630024 --> Sunday, 03 - 31

2630025 --> Sunday, 04 - 20

2630026 --> Sunday, 04 - 12

2630027 --> Sunday, 03 - 28

2630028 --> Sunday, 04 - 16

2630029 --> Sunday, 04 - 08

2630030 --> Sunday, 03 - 24

2630031 --> Sunday, 04 - 13

2630032 --> Sunday, 04 - 04

2630033 --> Sunday, 04 - 24

2630034 --> Sunday, 04 - 09

2630035 --> Sunday, 04 - 01

2630036 --> Sunday, 04 - 20

2630037 --> Sunday, 04 - 05

2630038 --> Sunday, 03 - 28

2630039 --> Sunday, 04 - 17

2630040 --> Sunday, 04 - 08

2630041 --> Sunday, 03 - 24

2630042 --> Sunday, 04 - 13

2630043 --> Sunday, 04 - 05

2630044 --> Sunday, 04 - 24

2630045 --> Sunday, 04 - 09

2630046 --> Sunday, 04 - 01

2630047 --> Sunday, 04 - 21

2630048 --> Sunday, 04 - 05

2630049 --> Sunday, 03 - 28

2630050 --> Sunday, 04 - 17

2630051 --> Sunday, 04 - 02

2630052 --> Sunday, 04 - 21

2630053 --> Sunday, 04 - 13

2630054 --> Sunday, 03 - 29

2630055 --> Sunday, 04 - 18

2630056 --> Sunday, 04 - 09

2630057 --> Sunday, 03 - 25

2630058 --> Sunday, 04 - 14

2630059 --> Sunday, 04 - 06

2630060 --> Sunday, 03 - 28

2630061 --> Sunday, 04 - 10

2630062 --> Sunday, 04 - 02

2630063 --> Sunday, 04 - 22

2630064 --> Sunday, 04 - 13

2630065 --> Sunday, 03 - 29

2630066 --> Sunday, 04 - 18

