Easter Sunday given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 5350000 through 5359999



5350000 --> Sunday, 04 - 16

5350001 --> Sunday, 04 - 01

5350002 --> Sunday, 04 - 21

5350003 --> Sunday, 04 - 13

5350004 --> Sunday, 04 - 04

5350005 --> Sunday, 04 - 17

5350006 --> Sunday, 04 - 09

5350007 --> Sunday, 04 - 01

5350008 --> Sunday, 04 - 20

5350009 --> Sunday, 04 - 05

5350010 --> Sunday, 03 - 28

5350011 --> Sunday, 04 - 17

5350012 --> Sunday, 04 - 01

5350013 --> Sunday, 04 - 21

5350014 --> Sunday, 04 - 13

5350015 --> Sunday, 03 - 29

5350016 --> Sunday, 04 - 17

5350017 --> Sunday, 04 - 09

5350018 --> Sunday, 03 - 25

5350019 --> Sunday, 04 - 14

5350020 --> Sunday, 04 - 05

5350021 --> Sunday, 04 - 25

5350022 --> Sunday, 04 - 10

5350023 --> Sunday, 04 - 02

5350024 --> Sunday, 04 - 21

5350025 --> Sunday, 04 - 06

5350026 --> Sunday, 03 - 29

5350027 --> Sunday, 04 - 18

5350028 --> Sunday, 04 - 09

5350029 --> Sunday, 03 - 25

5350030 --> Sunday, 04 - 14

5350031 --> Sunday, 04 - 06

5350032 --> Sunday, 04 - 18

5350033 --> Sunday, 04 - 10

5350034 --> Sunday, 04 - 02

5350035 --> Sunday, 04 - 22

5350036 --> Sunday, 04 - 06

5350037 --> Sunday, 03 - 29

5350038 --> Sunday, 04 - 18

5350039 --> Sunday, 04 - 03

5350040 --> Sunday, 04 - 22

5350041 --> Sunday, 04 - 14

5350042 --> Sunday, 03 - 30

5350043 --> Sunday, 04 - 19

5350044 --> Sunday, 04 - 10

5350045 --> Sunday, 03 - 26

5350046 --> Sunday, 04 - 15

5350047 --> Sunday, 04 - 07

5350048 --> Sunday, 03 - 29

5350049 --> Sunday, 04 - 11

5350050 --> Sunday, 04 - 03

5350051 --> Sunday, 04 - 23

5350052 --> Sunday, 04 - 14

5350053 --> Sunday, 03 - 30

5350054 --> Sunday, 04 - 19

5350055 --> Sunday, 04 - 11

5350056 --> Sunday, 03 - 26

5350057 --> Sunday, 04 - 15

5350058 --> Sunday, 04 - 07

5350059 --> Sunday, 04 - 20

5350060 --> Sunday, 04 - 11

