Easter Sunday given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 1970000 through 1979999



1970000 --> Sunday, 04 - 09

1970001 --> Sunday, 03 - 25

1970002 --> Sunday, 04 - 14

1970003 --> Sunday, 04 - 06

1970004 --> Sunday, 04 - 25

1970005 --> Sunday, 04 - 10

1970006 --> Sunday, 04 - 02

1970007 --> Sunday, 04 - 22

1970008 --> Sunday, 04 - 06

1970009 --> Sunday, 03 - 29

1970010 --> Sunday, 04 - 18

1970011 --> Sunday, 04 - 03

1970012 --> Sunday, 03 - 25

1970013 --> Sunday, 04 - 14

1970014 --> Sunday, 03 - 30

1970015 --> Sunday, 04 - 19

1970016 --> Sunday, 04 - 10

1970017 --> Sunday, 03 - 26

1970018 --> Sunday, 04 - 15

1970019 --> Sunday, 04 - 07

1970020 --> Sunday, 03 - 29

1970021 --> Sunday, 04 - 11

1970022 --> Sunday, 04 - 03

1970023 --> Sunday, 04 - 23

1970024 --> Sunday, 04 - 14

1970025 --> Sunday, 03 - 30

1970026 --> Sunday, 04 - 19

1970027 --> Sunday, 04 - 11

1970028 --> Sunday, 03 - 26

1970029 --> Sunday, 04 - 15

1970030 --> Sunday, 04 - 07

1970031 --> Sunday, 03 - 23

1970032 --> Sunday, 04 - 11

1970033 --> Sunday, 04 - 03

1970034 --> Sunday, 04 - 23

1970035 --> Sunday, 04 - 08

1970036 --> Sunday, 03 - 30

1970037 --> Sunday, 04 - 19

1970038 --> Sunday, 04 - 04

1970039 --> Sunday, 03 - 27

1970040 --> Sunday, 04 - 15

1970041 --> Sunday, 03 - 31

1970042 --> Sunday, 04 - 20

1970043 --> Sunday, 04 - 12

1970044 --> Sunday, 04 - 03

1970045 --> Sunday, 04 - 16

1970046 --> Sunday, 04 - 08

1970047 --> Sunday, 03 - 31

1970048 --> Sunday, 04 - 19

1970049 --> Sunday, 04 - 04

1970050 --> Sunday, 03 - 27

1970051 --> Sunday, 04 - 16

1970052 --> Sunday, 03 - 31

1970053 --> Sunday, 04 - 20

1970054 --> Sunday, 04 - 12

1970055 --> Sunday, 03 - 28

1970056 --> Sunday, 04 - 16

1970057 --> Sunday, 04 - 08

1970058 --> Sunday, 03 - 24

1970059 --> Sunday, 04 - 13

1970060 --> Sunday, 04 - 04

1970061 --> Sunday, 04 - 24

1970062 --> Sunday, 04 - 09

1970063 --> Sunday, 04 - 01

1970064 --> Sunday, 04 - 20

1970065 --> Sunday, 04 - 05

1970066 --> Sunday, 03 - 28

1970067 --> Sunday, 04 - 17

1970068 --> Sunday, 04 - 08

1970069 --> Sunday, 03 - 24

1970070 --> Sunday, 04 - 13

1970071 --> Sunday, 04 - 05

1970072 --> Sunday, 04 - 17

1970073 --> Sunday, 04 - 09

1970074 --> Sunday, 04 - 01

1970075 --> Sunday, 04 - 14

1970076 --> Sunday, 04 - 05

1970077 --> Sunday, 03 - 28

1970078 --> Sunday, 04 - 17

1970079 --> Sunday, 04 - 02

1970080 --> Sunday, 04 - 21

1970081 --> Sunday, 04 - 13

1970082 --> Sunday, 03 - 29

1970083 --> Sunday, 04 - 18

1970084 --> Sunday, 04 - 09

1970085 --> Sunday, 03 - 25

1970086 --> Sunday, 04 - 14

1970087 --> Sunday, 04 - 06

1970088 --> Sunday, 03 - 28

1970089 --> Sunday, 04 - 10

1970090 --> Sunday, 04 - 02

1970091 --> Sunday, 04 - 22

1970092 --> Sunday, 04 - 06

1970093 --> Sunday, 03 - 29

1970094 --> Sunday, 04 - 18

1970095 --> Sunday, 04 - 03

1970096 --> Sunday, 03 - 25

1970097 --> Sunday, 04 - 14

1970098 --> Sunday, 04 - 06

1970099 --> Sunday, 04 - 19

1970100 --> Sunday, 04 - 11

1970101 --> Sunday, 04 - 03

1970102 --> Sunday, 04 - 23

1970103 --> Sunday, 04 - 08

1970104 --> Sunday, 03 - 30

1970105 --> Sunday, 04 - 19

1970106 --> Sunday, 04 - 04

1970107 --> Sunday, 03 - 27

1970108 --> Sunday, 04 - 15

1970109 --> Sunday, 03 - 31

1970110 --> Sunday, 04 - 20

1970111 --> Sunday, 04 - 12

