Easter Sunday given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 2150000 through 2159999



2150000 --> Sunday, 04 - 09

2150001 --> Sunday, 03 - 25

2150002 --> Sunday, 04 - 14

2150003 --> Sunday, 04 - 06

2150004 --> Sunday, 04 - 25

2150005 --> Sunday, 04 - 10

2150006 --> Sunday, 04 - 02

2150007 --> Sunday, 04 - 22

2150008 --> Sunday, 04 - 06

2150009 --> Sunday, 03 - 29

2150010 --> Sunday, 04 - 18

2150011 --> Sunday, 04 - 03

2150012 --> Sunday, 03 - 25

2150013 --> Sunday, 04 - 14

2150014 --> Sunday, 03 - 30

2150015 --> Sunday, 04 - 19

2150016 --> Sunday, 04 - 10

2150017 --> Sunday, 04 - 02

2150018 --> Sunday, 04 - 15

2150019 --> Sunday, 04 - 07

2150020 --> Sunday, 03 - 29

2150021 --> Sunday, 04 - 11

2150022 --> Sunday, 04 - 03

2150023 --> Sunday, 04 - 23

2150024 --> Sunday, 04 - 14

2150025 --> Sunday, 03 - 30

2150026 --> Sunday, 04 - 19

2150027 --> Sunday, 04 - 11

2150028 --> Sunday, 03 - 26

2150029 --> Sunday, 04 - 15

2150030 --> Sunday, 04 - 07

2150031 --> Sunday, 03 - 23

2150032 --> Sunday, 04 - 11

2150033 --> Sunday, 04 - 03

2150034 --> Sunday, 04 - 23

2150035 --> Sunday, 04 - 08

2150036 --> Sunday, 03 - 30

2150037 --> Sunday, 04 - 19

2150038 --> Sunday, 04 - 04

2150039 --> Sunday, 03 - 27

2150040 --> Sunday, 04 - 15

2150041 --> Sunday, 03 - 31

2150042 --> Sunday, 04 - 20

2150043 --> Sunday, 04 - 12

2150044 --> Sunday, 04 - 03

2150045 --> Sunday, 04 - 16

2150046 --> Sunday, 04 - 08

2150047 --> Sunday, 03 - 31

2150048 --> Sunday, 04 - 19

2150049 --> Sunday, 04 - 04

2150050 --> Sunday, 03 - 27

2150051 --> Sunday, 04 - 16

2150052 --> Sunday, 03 - 31

2150053 --> Sunday, 04 - 20

2150054 --> Sunday, 04 - 12

2150055 --> Sunday, 03 - 28

2150056 --> Sunday, 04 - 16

2150057 --> Sunday, 04 - 08

2150058 --> Sunday, 03 - 24

2150059 --> Sunday, 04 - 13

2150060 --> Sunday, 04 - 04

2150061 --> Sunday, 04 - 24

2150062 --> Sunday, 04 - 09

2150063 --> Sunday, 04 - 01

2150064 --> Sunday, 04 - 20

2150065 --> Sunday, 04 - 05

2150066 --> Sunday, 03 - 28

2150067 --> Sunday, 04 - 17

2150068 --> Sunday, 04 - 08

2150069 --> Sunday, 03 - 24

2150070 --> Sunday, 04 - 13

2150071 --> Sunday, 04 - 05

2150072 --> Sunday, 04 - 24

2150073 --> Sunday, 04 - 09

2150074 --> Sunday, 04 - 01

2150075 --> Sunday, 04 - 21

2150076 --> Sunday, 04 - 05

2150077 --> Sunday, 03 - 28

2150078 --> Sunday, 04 - 17

2150079 --> Sunday, 04 - 02

2150080 --> Sunday, 04 - 21

2150081 --> Sunday, 04 - 13

2150082 --> Sunday, 03 - 29

2150083 --> Sunday, 04 - 18

2150084 --> Sunday, 04 - 09

2150085 --> Sunday, 03 - 25

2150086 --> Sunday, 04 - 14

2150087 --> Sunday, 04 - 06

2150088 --> Sunday, 03 - 28

2150089 --> Sunday, 04 - 10

2150090 --> Sunday, 04 - 02

2150091 --> Sunday, 04 - 22

2150092 --> Sunday, 04 - 13

2150093 --> Sunday, 03 - 29

2150094 --> Sunday, 04 - 18

2150095 --> Sunday, 04 - 10

2150096 --> Sunday, 03 - 25

2150097 --> Sunday, 04 - 14

2150098 --> Sunday, 04 - 06

2150099 --> Sunday, 04 - 19

2150100 --> Sunday, 04 - 11

2150101 --> Sunday, 04 - 03

2150102 --> Sunday, 04 - 23

2150103 --> Sunday, 04 - 08

2150104 --> Sunday, 03 - 30

2150105 --> Sunday, 04 - 19

2150106 --> Sunday, 04 - 04

2150107 --> Sunday, 03 - 27

2150108 --> Sunday, 04 - 15

2150109 --> Sunday, 03 - 31

2150110 --> Sunday, 04 - 20

2150111 --> Sunday, 04 - 12

2150112 --> Sunday, 04 - 03

2150113 --> Sunday, 04 - 16

2150114 --> Sunday, 04 - 08

2150115 --> Sunday, 03 - 31

2150116 --> Sunday, 04 - 12

2150117 --> Sunday, 04 - 04

2150118 --> Sunday, 04 - 24

2150119 --> Sunday, 04 - 09

2150120 --> Sunday, 03 - 31

2150121 --> Sunday, 04 - 20

2150122 --> Sunday, 04 - 12

2150123 --> Sunday, 03 - 28

2150124 --> Sunday, 04 - 16

2150125 --> Sunday, 04 - 08

2150126 --> Sunday, 03 - 24

2150127 --> Sunday, 04 - 13

2150128 --> Sunday, 04 - 04

2150129 --> Sunday, 04 - 24

2150130 --> Sunday, 04 - 09

2150131 --> Sunday, 04 - 01

2150132 --> Sunday, 04 - 20

2150133 --> Sunday, 04 - 05

2150134 --> Sunday, 03 - 28

2150135 --> Sunday, 04 - 17

2150136 --> Sunday, 04 - 01

2150137 --> Sunday, 04 - 21

2150138 --> Sunday, 04 - 13

2150139 --> Sunday, 03 - 29

2150140 --> Sunday, 04 - 17

2150141 --> Sunday, 04 - 09

2150142 --> Sunday, 04 - 01

2150143 --> Sunday, 04 - 14

2150144 --> Sunday, 04 - 05

2150145 --> Sunday, 03 - 28

2150146 --> Sunday, 04 - 17

2150147 --> Sunday, 04 - 02

2150148 --> Sunday, 04 - 21

2150149 --> Sunday, 04 - 13

2150150 --> Sunday, 03 - 29

2150151 --> Sunday, 04 - 18

2150152 --> Sunday, 04 - 09

2150153 --> Sunday, 03 - 25

2150154 --> Sunday, 04 - 14

2150155 --> Sunday, 04 - 06

2150156 --> Sunday, 04 - 25

2150157 --> Sunday, 04 - 10

2150158 --> Sunday, 04 - 02

2150159 --> Sunday, 04 - 22

2150160 --> Sunday, 04 - 06

2150161 --> Sunday, 03 - 29

2150162 --> Sunday, 04 - 18

2150163 --> Sunday, 04 - 03

2150164 --> Sunday, 03 - 25

2150165 --> Sunday, 04 - 14

2150166 --> Sunday, 04 - 06

2150167 --> Sunday, 04 - 19

2150168 --> Sunday, 04 - 10

2150169 --> Sunday, 04 - 02

2150170 --> Sunday, 04 - 22

2150171 --> Sunday, 04 - 07

2150172 --> Sunday, 03 - 29

2150173 --> Sunday, 04 - 18

2150174 --> Sunday, 04 - 03

2150175 --> Sunday, 04 - 23

2150176 --> Sunday, 04 - 14

2150177 --> Sunday, 03 - 30

2150178 --> Sunday, 04 - 19

2150179 --> Sunday, 04 - 11

2150180 --> Sunday, 03 - 26

2150181 --> Sunday, 04 - 15

2150182 --> Sunday, 04 - 07

2150183 --> Sunday, 03 - 23

2150184 --> Sunday, 04 - 11

2150185 --> Sunday, 04 - 03

2150186 --> Sunday, 04 - 23

2150187 --> Sunday, 04 - 08

2150188 --> Sunday, 03 - 30

2150189 --> Sunday, 04 - 19

2150190 --> Sunday, 04 - 11

2150191 --> Sunday, 03 - 27

2150192 --> Sunday, 04 - 15

2150193 --> Sunday, 04 - 07

2150194 --> Sunday, 04 - 20

2150195 --> Sunday, 04 - 12

2150196 --> Sunday, 04 - 03

2150197 --> Sunday, 04 - 23

2150198 --> Sunday, 04 - 08

2150199 --> Sunday, 03 - 31

2150200 --> Sunday, 04 - 20

2150201 --> Sunday, 04 - 05

2150202 --> Sunday, 03 - 28

2150203 --> Sunday, 04 - 17

2150204 --> Sunday, 04 - 01

2150205 --> Sunday, 04 - 21

2150206 --> Sunday, 04 - 13

2150207 --> Sunday, 03 - 29

2150208 --> Sunday, 04 - 17

2150209 --> Sunday, 04 - 09

2150210 --> Sunday, 03 - 25

2150211 --> Sunday, 04 - 14

2150212 --> Sunday, 04 - 05

2150213 --> Sunday, 04 - 25

2150214 --> Sunday, 04 - 10

2150215 --> Sunday, 04 - 02

2150216 --> Sunday, 04 - 21

2150217 --> Sunday, 04 - 06

2150218 --> Sunday, 03 - 29

2150219 --> Sunday, 04 - 18

2150220 --> Sunday, 04 - 09

2150221 --> Sunday, 03 - 25

2150222 --> Sunday, 04 - 14

2150223 --> Sunday, 04 - 06

2150224 --> Sunday, 04 - 18

2150225 --> Sunday, 04 - 10

2150226 --> Sunday, 04 - 02

2150227 --> Sunday, 04 - 22

2150228 --> Sunday, 04 - 06

2150229 --> Sunday, 03 - 29

2150230 --> Sunday, 04 - 18

2150231 --> Sunday, 04 - 03

2150232 --> Sunday, 04 - 22

2150233 --> Sunday, 04 - 14

2150234 --> Sunday, 03 - 30

