Easter Sunday given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 4780000 through 4789999



4780000 --> Sunday, 03 - 26

4780001 --> Sunday, 04 - 15

4780002 --> Sunday, 03 - 31

4780003 --> Sunday, 04 - 20

4780004 --> Sunday, 04 - 11

4780005 --> Sunday, 03 - 27

4780006 --> Sunday, 04 - 16

4780007 --> Sunday, 04 - 08

4780008 --> Sunday, 03 - 30

4780009 --> Sunday, 04 - 12

4780010 --> Sunday, 04 - 04

4780011 --> Sunday, 04 - 24

4780012 --> Sunday, 04 - 15

4780013 --> Sunday, 03 - 31

4780014 --> Sunday, 04 - 20

4780015 --> Sunday, 04 - 12

4780016 --> Sunday, 03 - 27

4780017 --> Sunday, 04 - 16

4780018 --> Sunday, 04 - 08

4780019 --> Sunday, 03 - 24

4780020 --> Sunday, 04 - 12

4780021 --> Sunday, 04 - 04

4780022 --> Sunday, 04 - 24

4780023 --> Sunday, 04 - 09

4780024 --> Sunday, 03 - 31

4780025 --> Sunday, 04 - 20

4780026 --> Sunday, 04 - 05

4780027 --> Sunday, 03 - 28

4780028 --> Sunday, 04 - 16

4780029 --> Sunday, 04 - 01

4780030 --> Sunday, 04 - 21

4780031 --> Sunday, 04 - 13

4780032 --> Sunday, 04 - 04

4780033 --> Sunday, 04 - 17

4780034 --> Sunday, 04 - 09

4780035 --> Sunday, 04 - 01

4780036 --> Sunday, 04 - 20

4780037 --> Sunday, 04 - 05

4780038 --> Sunday, 03 - 28

4780039 --> Sunday, 04 - 10

4780040 --> Sunday, 04 - 01

4780041 --> Sunday, 04 - 21

4780042 --> Sunday, 04 - 13

4780043 --> Sunday, 03 - 29

4780044 --> Sunday, 04 - 17

4780045 --> Sunday, 04 - 09

4780046 --> Sunday, 03 - 25

4780047 --> Sunday, 04 - 14

4780048 --> Sunday, 04 - 05

4780049 --> Sunday, 04 - 25

4780050 --> Sunday, 04 - 10

4780051 --> Sunday, 04 - 02

4780052 --> Sunday, 04 - 21

4780053 --> Sunday, 04 - 06

4780054 --> Sunday, 03 - 29

4780055 --> Sunday, 04 - 18

4780056 --> Sunday, 04 - 09

4780057 --> Sunday, 03 - 25

