Easter Sunday given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 4730000 through 4739999



4730000 --> Sunday, 04 - 23
4730165 --> Sunday, 03 - 31

4730166 --> Sunday, 04 - 20

4730167 --> Sunday, 04 - 05

4730168 --> Sunday, 03 - 27

4730169 --> Sunday, 04 - 16

4730170 --> Sunday, 04 - 01

4730171 --> Sunday, 04 - 21

4730172 --> Sunday, 04 - 12

4730173 --> Sunday, 03 - 28

4730174 --> Sunday, 04 - 17

4730175 --> Sunday, 04 - 09

4730176 --> Sunday, 03 - 31

4730177 --> Sunday, 04 - 13

4730178 --> Sunday, 04 - 05

4730179 --> Sunday, 03 - 28

4730180 --> Sunday, 04 - 16

4730181 --> Sunday, 04 - 01

4730182 --> Sunday, 04 - 21

4730183 --> Sunday, 04 - 06

4730184 --> Sunday, 03 - 28

4730185 --> Sunday, 04 - 17

4730186 --> Sunday, 04 - 09

4730187 --> Sunday, 03 - 25

4730188 --> Sunday, 04 - 13

4730189 --> Sunday, 04 - 05

4730190 --> Sunday, 04 - 25

4730191 --> Sunday, 04 - 10

4730192 --> Sunday, 04 - 01

4730193 --> Sunday, 04 - 21

4730194 --> Sunday, 04 - 06

4730195 --> Sunday, 03 - 29

4730196 --> Sunday, 04 - 17

4730197 --> Sunday, 04 - 02

4730198 --> Sunday, 03 - 25

4730199 --> Sunday, 04 - 14

4730200 --> Sunday, 03 - 30

4730201 --> Sunday, 04 - 19

4730202 --> Sunday, 04 - 11

4730203 --> Sunday, 03 - 27

4730204 --> Sunday, 04 - 15

4730205 --> Sunday, 04 - 07

4730206 --> Sunday, 03 - 23

4730207 --> Sunday, 04 - 12

4730208 --> Sunday, 04 - 03

4730209 --> Sunday, 04 - 23

4730210 --> Sunday, 04 - 08

4730211 --> Sunday, 03 - 31

4730212 --> Sunday, 04 - 19

4730213 --> Sunday, 04 - 11

4730214 --> Sunday, 03 - 27

4730215 --> Sunday, 04 - 16

4730216 --> Sunday, 04 - 07

4730217 --> Sunday, 03 - 23

4730218 --> Sunday, 04 - 12

4730219 --> Sunday, 04 - 04

4730220 --> Sunday, 04 - 23

4730221 --> Sunday, 04 - 08

4730222 --> Sunday, 03 - 31

4730223 --> Sunday, 04 - 20

4730224 --> Sunday, 04 - 04

4730225 --> Sunday, 03 - 27

4730226 --> Sunday, 04 - 16

4730227 --> Sunday, 04 - 01

4730228 --> Sunday, 04 - 20

4730229 --> Sunday, 04 - 12

4730230 --> Sunday, 03 - 28

4730231 --> Sunday, 04 - 17

4730232 --> Sunday, 04 - 08

4730233 --> Sunday, 03 - 31

4730234 --> Sunday, 04 - 13

4730235 --> Sunday, 04 - 05

4730236 --> Sunday, 03 - 27

4730237 --> Sunday, 04 - 16

4730238 --> Sunday, 04 - 01

4730239 --> Sunday, 04 - 21

