Easter Sunday given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 1820000 through 1829999



1820000 --> Sunday, 03 - 26

1820001 --> Sunday, 04 - 15

1820002 --> Sunday, 04 - 07

1820003 --> Sunday, 04 - 20

1820004 --> Sunday, 04 - 11

1820005 --> Sunday, 04 - 03

1820006 --> Sunday, 04 - 23

1820007 --> Sunday, 04 - 08

1820008 --> Sunday, 03 - 30

1820009 --> Sunday, 04 - 19

1820010 --> Sunday, 04 - 04

1820011 --> Sunday, 03 - 27

1820012 --> Sunday, 04 - 15

1820013 --> Sunday, 03 - 31

1820014 --> Sunday, 04 - 20

1820015 --> Sunday, 04 - 12

1820016 --> Sunday, 03 - 27

1820017 --> Sunday, 04 - 16

1820018 --> Sunday, 04 - 08

1820019 --> Sunday, 03 - 24

1820020 --> Sunday, 04 - 12

1820021 --> Sunday, 04 - 04

1820022 --> Sunday, 04 - 24

1820023 --> Sunday, 04 - 09

1820024 --> Sunday, 03 - 31

1820025 --> Sunday, 04 - 20

1820026 --> Sunday, 04 - 12

1820027 --> Sunday, 03 - 28

1820028 --> Sunday, 04 - 16

1820029 --> Sunday, 04 - 08

1820030 --> Sunday, 03 - 24

1820031 --> Sunday, 04 - 13

1820032 --> Sunday, 04 - 04

1820033 --> Sunday, 04 - 24

1820034 --> Sunday, 04 - 09

1820035 --> Sunday, 04 - 01

1820036 --> Sunday, 04 - 20

1820037 --> Sunday, 04 - 05

1820038 --> Sunday, 03 - 28

1820039 --> Sunday, 04 - 17

1820040 --> Sunday, 04 - 01

1820041 --> Sunday, 04 - 21

1820042 --> Sunday, 04 - 13

1820043 --> Sunday, 03 - 29

1820044 --> Sunday, 04 - 17

1820045 --> Sunday, 04 - 09

1820046 --> Sunday, 04 - 01

1820047 --> Sunday, 04 - 14

1820048 --> Sunday, 04 - 05

1820049 --> Sunday, 03 - 28

1820050 --> Sunday, 04 - 10

1820051 --> Sunday, 04 - 02

1820052 --> Sunday, 04 - 21

1820053 --> Sunday, 04 - 13

1820054 --> Sunday, 03 - 29

1820055 --> Sunday, 04 - 18

1820056 --> Sunday, 04 - 09

1820057 --> Sunday, 03 - 25

1820058 --> Sunday, 04 - 14

1820059 --> Sunday, 04 - 06

1820060 --> Sunday, 04 - 25

1820061 --> Sunday, 04 - 10

1820062 --> Sunday, 04 - 02

1820063 --> Sunday, 04 - 22

1820064 --> Sunday, 04 - 06

1820065 --> Sunday, 03 - 29

1820066 --> Sunday, 04 - 18

1820067 --> Sunday, 04 - 03

1820068 --> Sunday, 03 - 25

1820069 --> Sunday, 04 - 14

1820070 --> Sunday, 03 - 30

1820071 --> Sunday, 04 - 19

1820072 --> Sunday, 04 - 10

1820073 --> Sunday, 04 - 02

1820074 --> Sunday, 04 - 15

1820075 --> Sunday, 04 - 07

1820076 --> Sunday, 03 - 29

1820077 --> Sunday, 04 - 18

1820078 --> Sunday, 04 - 03

1820079 --> Sunday, 04 - 23

1820080 --> Sunday, 04 - 14

1820081 --> Sunday, 03 - 30

1820082 --> Sunday, 04 - 19

1820083 --> Sunday, 04 - 11

1820084 --> Sunday, 03 - 26

1820085 --> Sunday, 04 - 15

1820086 --> Sunday, 04 - 07

1820087 --> Sunday, 03 - 23

1820088 --> Sunday, 04 - 11

1820089 --> Sunday, 04 - 03

1820090 --> Sunday, 04 - 23

1820091 --> Sunday, 04 - 08

1820092 --> Sunday, 03 - 30

1820093 --> Sunday, 04 - 19

1820094 --> Sunday, 04 - 04

1820095 --> Sunday, 03 - 27

1820096 --> Sunday, 04 - 15

1820097 --> Sunday, 04 - 07

1820098 --> Sunday, 04 - 20

1820099 --> Sunday, 04 - 12

1820100 --> Sunday, 04 - 04

1820101 --> Sunday, 04 - 24

1820102 --> Sunday, 04 - 09

1820103 --> Sunday, 04 - 01

1820104 --> Sunday, 04 - 20

1820105 --> Sunday, 04 - 05

1820106 --> Sunday, 03 - 28

1820107 --> Sunday, 04 - 17

1820108 --> Sunday, 04 - 01

1820109 --> Sunday, 04 - 21

1820110 --> Sunday, 04 - 13

1820111 --> Sunday, 03 - 29

1820112 --> Sunday, 04 - 17

1820113 --> Sunday, 04 - 09

1820114 --> Sunday, 03 - 25

1820115 --> Sunday, 04 - 14

1820116 --> Sunday, 04 - 05

1820117 --> Sunday, 03 - 28

1820118 --> Sunday, 04 - 10

1820119 --> Sunday, 04 - 02

1820120 --> Sunday, 04 - 21

1820121 --> Sunday, 04 - 13

1820122 --> Sunday, 03 - 29

1820123 --> Sunday, 04 - 18

1820124 --> Sunday, 04 - 09

1820125 --> Sunday, 03 - 25

1820126 --> Sunday, 04 - 14

1820127 --> Sunday, 04 - 06

1820128 --> Sunday, 04 - 25

1820129 --> Sunday, 04 - 10

1820130 --> Sunday, 04 - 02

1820131 --> Sunday, 04 - 22

1820132 --> Sunday, 04 - 06

1820133 --> Sunday, 03 - 29

1820134 --> Sunday, 04 - 18

1820135 --> Sunday, 04 - 03

1820136 --> Sunday, 03 - 25

1820137 --> Sunday, 04 - 14

1820138 --> Sunday, 03 - 30

1820139 --> Sunday, 04 - 19

1820140 --> Sunday, 04 - 10

1820141 --> Sunday, 04 - 02

1820142 --> Sunday, 04 - 15

1820143 --> Sunday, 04 - 07

1820144 --> Sunday, 03 - 29

1820145 --> Sunday, 04 - 11

1820146 --> Sunday, 04 - 03

1820147 --> Sunday, 04 - 23

1820148 --> Sunday, 04 - 14

1820149 --> Sunday, 03 - 30

1820150 --> Sunday, 04 - 19

1820151 --> Sunday, 04 - 11

1820152 --> Sunday, 03 - 26

1820153 --> Sunday, 04 - 15

1820154 --> Sunday, 04 - 07

1820155 --> Sunday, 03 - 23

1820156 --> Sunday, 04 - 11

1820157 --> Sunday, 04 - 03

1820158 --> Sunday, 04 - 23

1820159 --> Sunday, 04 - 08

1820160 --> Sunday, 03 - 30

1820161 --> Sunday, 04 - 19

1820162 --> Sunday, 04 - 04

1820163 --> Sunday, 03 - 27

1820164 --> Sunday, 04 - 15

1820165 --> Sunday, 03 - 31

1820166 --> Sunday, 04 - 20

1820167 --> Sunday, 04 - 12

1820168 --> Sunday, 04 - 03

1820169 --> Sunday, 04 - 16

1820170 --> Sunday, 04 - 08

1820171 --> Sunday, 03 - 31

1820172 --> Sunday, 04 - 19

1820173 --> Sunday, 04 - 04

1820174 --> Sunday, 03 - 27

1820175 --> Sunday, 04 - 16

1820176 --> Sunday, 03 - 31

1820177 --> Sunday, 04 - 20

1820178 --> Sunday, 04 - 12

1820179 --> Sunday, 03 - 28

1820180 --> Sunday, 04 - 16

1820181 --> Sunday, 04 - 08

1820182 --> Sunday, 03 - 24

1820183 --> Sunday, 04 - 13

1820184 --> Sunday, 04 - 04

1820185 --> Sunday, 04 - 24

1820186 --> Sunday, 04 - 09

1820187 --> Sunday, 04 - 01

1820188 --> Sunday, 04 - 20

1820189 --> Sunday, 04 - 05

