Easter Sunday given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 5130000 through 5139999



5130000 --> Sunday, 04 - 16

5130001 --> Sunday, 04 - 08

5130002 --> Sunday, 03 - 24

5130003 --> Sunday, 04 - 13

5130004 --> Sunday, 04 - 04

5130005 --> Sunday, 04 - 24

5130006 --> Sunday, 04 - 09

5130007 --> Sunday, 04 - 01

5130008 --> Sunday, 04 - 20

5130009 --> Sunday, 04 - 12

5130010 --> Sunday, 03 - 28

5130011 --> Sunday, 04 - 17

5130012 --> Sunday, 04 - 08

5130013 --> Sunday, 03 - 24

5130014 --> Sunday, 04 - 13

5130015 --> Sunday, 04 - 05

5130016 --> Sunday, 04 - 24

5130017 --> Sunday, 04 - 09

5130018 --> Sunday, 04 - 01

5130019 --> Sunday, 04 - 21

5130020 --> Sunday, 04 - 05

5130021 --> Sunday, 03 - 28

5130022 --> Sunday, 04 - 17

5130023 --> Sunday, 04 - 02

5130024 --> Sunday, 04 - 21

5130025 --> Sunday, 04 - 13

5130026 --> Sunday, 03 - 29

5130027 --> Sunday, 04 - 18

5130028 --> Sunday, 04 - 09

5130029 --> Sunday, 04 - 01

5130030 --> Sunday, 04 - 14

5130031 --> Sunday, 04 - 06

5130032 --> Sunday, 03 - 28

5130033 --> Sunday, 04 - 17

5130034 --> Sunday, 04 - 02

5130035 --> Sunday, 04 - 22

5130036 --> Sunday, 04 - 13

5130037 --> Sunday, 03 - 29

5130038 --> Sunday, 04 - 18

5130039 --> Sunday, 04 - 10

5130040 --> Sunday, 03 - 25

5130041 --> Sunday, 04 - 14

5130042 --> Sunday, 04 - 06

5130043 --> Sunday, 04 - 19

5130044 --> Sunday, 04 - 10

5130045 --> Sunday, 04 - 02

5130046 --> Sunday, 04 - 22

5130047 --> Sunday, 04 - 07

5130048 --> Sunday, 03 - 29

5130049 --> Sunday, 04 - 18

5130050 --> Sunday, 04 - 03

5130051 --> Sunday, 03 - 26

5130052 --> Sunday, 04 - 14

5130053 --> Sunday, 04 - 06

5130054 --> Sunday, 04 - 19

5130055 --> Sunday, 04 - 11

5130056 --> Sunday, 04 - 02

5130057 --> Sunday, 04 - 15

5130058 --> Sunday, 04 - 07

5130059 --> Sunday, 03 - 30

5130060 --> Sunday, 04 - 18

5130061 --> Sunday, 04 - 03

5130062 --> Sunday, 04 - 23

5130063 --> Sunday, 04 - 15

5130064 --> Sunday, 03 - 30

5130065 --> Sunday, 04 - 19

5130066 --> Sunday, 04 - 11

5130067 --> Sunday, 03 - 27

5130068 --> Sunday, 04 - 15

5130069 --> Sunday, 04 - 07

5130070 --> Sunday, 03 - 23

5130071 --> Sunday, 04 - 12

5130072 --> Sunday, 04 - 03

5130073 --> Sunday, 04 - 23

5130074 --> Sunday, 04 - 08

5130075 --> Sunday, 03 - 31

5130076 --> Sunday, 04 - 19

5130077 --> Sunday, 04 - 04

5130078 --> Sunday, 03 - 27

5130079 --> Sunday, 04 - 16

5130080 --> Sunday, 04 - 07

5130081 --> Sunday, 04 - 20

5130082 --> Sunday, 04 - 12

5130083 --> Sunday, 04 - 04

5130084 --> Sunday, 04 - 23

5130085 --> Sunday, 04 - 08

5130086 --> Sunday, 03 - 31

5130087 --> Sunday, 04 - 20

5130088 --> Sunday, 04 - 04

5130089 --> Sunday, 03 - 27

5130090 --> Sunday, 04 - 16

5130091 --> Sunday, 04 - 01

5130092 --> Sunday, 04 - 20

5130093 --> Sunday, 04 - 12

5130094 --> Sunday, 03 - 28

5130095 --> Sunday, 04 - 17

5130096 --> Sunday, 04 - 08

5130097 --> Sunday, 03 - 24

5130098 --> Sunday, 04 - 13

5130099 --> Sunday, 04 - 05

5130100 --> Sunday, 03 - 28

5130101 --> Sunday, 04 - 10

5130102 --> Sunday, 04 - 02

5130103 --> Sunday, 04 - 22

5130104 --> Sunday, 04 - 13

5130105 --> Sunday, 03 - 29

5130106 --> Sunday, 04 - 18

5130107 --> Sunday, 04 - 10

5130108 --> Sunday, 03 - 25

5130109 --> Sunday, 04 - 14

5130110 --> Sunday, 04 - 06

5130111 --> Sunday, 04 - 19

5130112 --> Sunday, 04 - 10

5130113 --> Sunday, 04 - 02

5130114 --> Sunday, 04 - 22

5130115 --> Sunday, 04 - 07

5130116 --> Sunday, 03 - 29

5130117 --> Sunday, 04 - 18

5130118 --> Sunday, 04 - 03

5130119 --> Sunday, 03 - 26

5130120 --> Sunday, 04 - 14

5130121 --> Sunday, 03 - 30

5130122 --> Sunday, 04 - 19

5130123 --> Sunday, 04 - 11

5130124 --> Sunday, 04 - 02

5130125 --> Sunday, 04 - 15

5130126 --> Sunday, 04 - 07

5130127 --> Sunday, 03 - 30

5130128 --> Sunday, 04 - 18

5130129 --> Sunday, 04 - 03

5130130 --> Sunday, 04 - 23

5130131 --> Sunday, 04 - 15

5130132 --> Sunday, 03 - 30

5130133 --> Sunday, 04 - 19

5130134 --> Sunday, 04 - 11

5130135 --> Sunday, 03 - 27

5130136 --> Sunday, 04 - 15

5130137 --> Sunday, 04 - 07

5130138 --> Sunday, 03 - 23

5130139 --> Sunday, 04 - 12

5130140 --> Sunday, 04 - 03

5130141 --> Sunday, 04 - 23

5130142 --> Sunday, 04 - 08

5130143 --> Sunday, 03 - 31

5130144 --> Sunday, 04 - 19

5130145 --> Sunday, 04 - 04

5130146 --> Sunday, 03 - 27

5130147 --> Sunday, 04 - 16

5130148 --> Sunday, 04 - 07

5130149 --> Sunday, 04 - 20

5130150 --> Sunday, 04 - 12

5130151 --> Sunday, 04 - 04

5130152 --> Sunday, 04 - 16

5130153 --> Sunday, 04 - 08

5130154 --> Sunday, 03 - 31

5130155 --> Sunday, 04 - 13

5130156 --> Sunday, 04 - 04

5130157 --> Sunday, 03 - 27

5130158 --> Sunday, 04 - 16

5130159 --> Sunday, 04 - 01

5130160 --> Sunday, 04 - 20

5130161 --> Sunday, 04 - 12

5130162 --> Sunday, 03 - 28

5130163 --> Sunday, 04 - 17

5130164 --> Sunday, 04 - 08

5130165 --> Sunday, 03 - 24

5130166 --> Sunday, 04 - 13

5130167 --> Sunday, 04 - 05

5130168 --> Sunday, 04 - 24

5130169 --> Sunday, 04 - 09

5130170 --> Sunday, 04 - 01

5130171 --> Sunday, 04 - 21

5130172 --> Sunday, 04 - 05

5130173 --> Sunday, 03 - 28

5130174 --> Sunday, 04 - 17

5130175 --> Sunday, 04 - 02

5130176 --> Sunday, 03 - 24

5130177 --> Sunday, 04 - 13

5130178 --> Sunday, 04 - 05

5130179 --> Sunday, 04 - 18

5130180 --> Sunday, 04 - 09

5130181 --> Sunday, 04 - 01

5130182 --> Sunday, 04 - 21

5130183 --> Sunday, 04 - 06

5130184 --> Sunday, 03 - 28

5130185 --> Sunday, 04 - 17

5130186 --> Sunday, 04 - 02

5130187 --> Sunday, 04 - 22

5130188 --> Sunday, 04 - 13

5130189 --> Sunday, 03 - 29

5130190 --> Sunday, 04 - 18

5130191 --> Sunday, 04 - 10

5130192 --> Sunday, 03 - 25

5130193 --> Sunday, 04 - 14

5130194 --> Sunday, 04 - 06

5130195 --> Sunday, 03 - 22

5130196 --> Sunday, 04 - 10

5130197 --> Sunday, 04 - 02

5130198 --> Sunday, 04 - 22

5130199 --> Sunday, 04 - 07

5130200 --> Sunday, 03 - 30

5130201 --> Sunday, 04 - 19

5130202 --> Sunday, 04 - 04

5130203 --> Sunday, 03 - 27

5130204 --> Sunday, 04 - 15

5130205 --> Sunday, 04 - 07

5130206 --> Sunday, 04 - 20

5130207 --> Sunday, 04 - 12

5130208 --> Sunday, 04 - 03

5130209 --> Sunday, 04 - 16

5130210 --> Sunday, 04 - 08

5130211 --> Sunday, 03 - 31

5130212 --> Sunday, 04 - 19

5130213 --> Sunday, 04 - 04

5130214 --> Sunday, 03 - 27

5130215 --> Sunday, 04 - 16

5130216 --> Sunday, 03 - 31

5130217 --> Sunday, 04 - 20

5130218 --> Sunday, 04 - 12

5130219 --> Sunday, 03 - 28

5130220 --> Sunday, 04 - 16

5130221 --> Sunday, 04 - 08

5130222 --> Sunday, 03 - 24

5130223 --> Sunday, 04 - 13

5130224 --> Sunday, 04 - 04

5130225 --> Sunday, 04 - 24

5130226 --> Sunday, 04 - 09

5130227 --> Sunday, 04 - 01

5130228 --> Sunday, 04 - 20

5130229 --> Sunday, 04 - 05

5130230 --> Sunday, 03 - 28

5130231 --> Sunday, 04 - 17

5130232 --> Sunday, 04 - 08

5130233 --> Sunday, 03 - 24

5130234 --> Sunday, 04 - 13

5130235 --> Sunday, 04 - 05

5130236 --> Sunday, 04 - 24

5130237 --> Sunday, 04 - 09

5130238 --> Sunday, 04 - 01

5130239 --> Sunday, 04 - 21

5130240 --> Sunday, 04 - 05

5130241 --> Sunday, 03 - 28

5130242 --> Sunday, 04 - 17

5130243 --> Sunday, 04 - 02

5130244 --> Sunday, 04 - 21

5130245 --> Sunday, 04 - 13

5130246 --> Sunday, 03 - 29

5130247 --> Sunday, 04 - 18

5130248 --> Sunday, 04 - 09

5130249 --> Sunday, 03 - 25

5130250 --> Sunday, 04 - 14

5130251 --> Sunday, 04 - 06

5130252 --> Sunday, 03 - 28

5130253 --> Sunday, 04 - 10

5130254 --> Sunday, 04 - 02

5130255 --> Sunday, 04 - 22

5130256 --> Sunday, 04 - 13

5130257 --> Sunday, 03 - 29

5130258 --> Sunday, 04 - 18

5130259 --> Sunday, 04 - 10

5130260 --> Sunday, 03 - 25

5130261 --> Sunday, 04 - 14

5130262 --> Sunday, 04 - 06

5130263 --> Sunday, 04 - 19

5130264 --> Sunday, 04 - 10

5130265 --> Sunday, 04 - 02

5130266 --> Sunday, 04 - 22

5130267 --> Sunday, 04 - 07

5130268 --> Sunday, 03 - 29

5130269 --> Sunday, 04 - 18

5130270 --> Sunday, 04 - 03

5130271 --> Sunday, 03 - 26

5130272 --> Sunday, 04 - 14

5130273 --> Sunday, 03 - 30

5130274 --> Sunday, 04 - 19

5130275 --> Sunday, 04 - 11

5130276 --> Sunday, 04 - 02

5130277 --> Sunday, 04 - 15

