Easter Sunday given in mod 5,700,000 (full-cycle)

This is for [years] mod 5,700,000 --> 4760000 through 4769999



4760000 --> Sunday, 04 - 09

4760001 --> Sunday, 04 - 01

4760002 --> Sunday, 04 - 21

4760003 --> Sunday, 04 - 06

4760004 --> Sunday, 03 - 28

4760005 --> Sunday, 04 - 17

4760006 --> Sunday, 04 - 02

4760007 --> Sunday, 03 - 25

4760008 --> Sunday, 04 - 13

4760009 --> Sunday, 04 - 05

4760010 --> Sunday, 04 - 18

4760011 --> Sunday, 04 - 10

4760012 --> Sunday, 04 - 01

4760013 --> Sunday, 04 - 14

4760014 --> Sunday, 04 - 06

4760015 --> Sunday, 03 - 29

4760016 --> Sunday, 04 - 17

4760017 --> Sunday, 04 - 02

4760018 --> Sunday, 04 - 22

4760019 --> Sunday, 04 - 14

4760020 --> Sunday, 03 - 29

4760021 --> Sunday, 04 - 18

4760022 --> Sunday, 04 - 10

4760023 --> Sunday, 03 - 26

4760024 --> Sunday, 04 - 14

4760025 --> Sunday, 04 - 06

4760026 --> Sunday, 03 - 22

4760027 --> Sunday, 04 - 11

4760028 --> Sunday, 04 - 02

4760029 --> Sunday, 04 - 22

4760030 --> Sunday, 04 - 07

4760031 --> Sunday, 03 - 30

4760032 --> Sunday, 04 - 18

4760033 --> Sunday, 04 - 03

4760034 --> Sunday, 03 - 26

4760035 --> Sunday, 04 - 15

4760036 --> Sunday, 04 - 06

4760037 --> Sunday, 04 - 19

4760038 --> Sunday, 04 - 11

4760039 --> Sunday, 04 - 03

4760040 --> Sunday, 04 - 22

4760041 --> Sunday, 04 - 07

4760042 --> Sunday, 03 - 30

4760043 --> Sunday, 04 - 19

4760044 --> Sunday, 04 - 03

4760045 --> Sunday, 03 - 26

4760046 --> Sunday, 04 - 15

4760047 --> Sunday, 03 - 31

4760048 --> Sunday, 04 - 19

4760049 --> Sunday, 04 - 11

4760050 --> Sunday, 03 - 27

4760051 --> Sunday, 04 - 16

4760052 --> Sunday, 04 - 07

4760053 --> Sunday, 03 - 23

4760054 --> Sunday, 04 - 12

4760055 --> Sunday, 04 - 04

4760056 --> Sunday, 04 - 23

4760057 --> Sunday, 04 - 08

4760058 --> Sunday, 03 - 31

4760059 --> Sunday, 04 - 20

4760060 --> Sunday, 04 - 11

4760061 --> Sunday, 03 - 27

4760062 --> Sunday, 04 - 16

4760063 --> Sunday, 04 - 08

4760064 --> Sunday, 03 - 23

4760065 --> Sunday, 04 - 12

4760066 --> Sunday, 04 - 04

4760067 --> Sunday, 04 - 24

4760068 --> Sunday, 04 - 08

4760069 --> Sunday, 03 - 31

4760070 --> Sunday, 04 - 20

4760071 --> Sunday, 04 - 05

4760072 --> Sunday, 03 - 27

4760073 --> Sunday, 04 - 16

4760074 --> Sunday, 04 - 01

4760075 --> Sunday, 04 - 21

4760076 --> Sunday, 04 - 12

4760077 --> Sunday, 03 - 28

4760078 --> Sunday, 04 - 17

4760079 --> Sunday, 04 - 09

4760080 --> Sunday, 03 - 31

4760081 --> Sunday, 04 - 13

4760082 --> Sunday, 04 - 05

4760083 --> Sunday, 03 - 28

4760084 --> Sunday, 04 - 16

4760085 --> Sunday, 04 - 01

4760086 --> Sunday, 04 - 21

4760087 --> Sunday, 04 - 13

4760088 --> Sunday, 03 - 28

4760089 --> Sunday, 04 - 17

4760090 --> Sunday, 04 - 09

4760091 --> Sunday, 03 - 25

4760092 --> Sunday, 04 - 13

4760093 --> Sunday, 04 - 05

4760094 --> Sunday, 04 - 25

4760095 --> Sunday, 04 - 10

4760096 --> Sunday, 04 - 01

4760097 --> Sunday, 04 - 21

4760098 --> Sunday, 04 - 06

4760099 --> Sunday, 03 - 29

4760100 --> Sunday, 04 - 18

4760101 --> Sunday, 04 - 03

4760102 --> Sunday, 03 - 26

4760103 --> Sunday, 04 - 15

4760104 --> Sunday, 04 - 06

4760105 --> Sunday, 04 - 19

4760106 --> Sunday, 04 - 11

4760107 --> Sunday, 04 - 03

4760108 --> Sunday, 04 - 15

4760109 --> Sunday, 04 - 07

4760110 --> Sunday, 03 - 30

4760111 --> Sunday, 04 - 12

4760112 --> Sunday, 04 - 03

4760113 --> Sunday, 04 - 23

4760114 --> Sunday, 04 - 15

4760115 --> Sunday, 03 - 31

4760116 --> Sunday, 04 - 19

4760117 --> Sunday, 04 - 11

4760118 --> Sunday, 03 - 27

4760119 --> Sunday, 04 - 16

4760120 --> Sunday, 04 - 07

4760121 --> Sunday, 03 - 23

4760122 --> Sunday, 04 - 12

4760123 --> Sunday, 04 - 04

4760124 --> Sunday, 04 - 23

4760125 --> Sunday, 04 - 08

4760126 --> Sunday, 03 - 31

4760127 --> Sunday, 04 - 20

4760128 --> Sunday, 04 - 04

4760129 --> Sunday, 03 - 27

4760130 --> Sunday, 04 - 16

4760131 --> Sunday, 04 - 01

4760132 --> Sunday, 04 - 20

4760133 --> Sunday, 04 - 12

4760134 --> Sunday, 04 - 04

4760135 --> Sunday, 04 - 17

4760136 --> Sunday, 04 - 08

4760137 --> Sunday, 03 - 31

4760138 --> Sunday, 04 - 20

4760139 --> Sunday, 04 - 05

4760140 --> Sunday, 03 - 27

4760141 --> Sunday, 04 - 16

4760142 --> Sunday, 04 - 01

4760143 --> Sunday, 04 - 21

4760144 --> Sunday, 04 - 12

4760145 --> Sunday, 03 - 28

4760146 --> Sunday, 04 - 17

4760147 --> Sunday, 04 - 09

4760148 --> Sunday, 03 - 24

4760149 --> Sunday, 04 - 13

4760150 --> Sunday, 04 - 05

4760151 --> Sunday, 04 - 25

4760152 --> Sunday, 04 - 09

4760153 --> Sunday, 04 - 01

4760154 --> Sunday, 04 - 21

4760155 --> Sunday, 04 - 06

4760156 --> Sunday, 03 - 28

4760157 --> Sunday, 04 - 17

4760158 --> Sunday, 04 - 09

4760159 --> Sunday, 03 - 25

4760160 --> Sunday, 04 - 13

4760161 --> Sunday, 04 - 05

4760162 --> Sunday, 04 - 18

4760163 --> Sunday, 04 - 10

4760164 --> Sunday, 04 - 01

4760165 --> Sunday, 04 - 21

4760166 --> Sunday, 04 - 06

4760167 --> Sunday, 03 - 29

4760168 --> Sunday, 04 - 17

4760169 --> Sunday, 04 - 02

4760170 --> Sunday, 04 - 22

4760171 --> Sunday, 04 - 14

4760172 --> Sunday, 03 - 29

4760173 --> Sunday, 04 - 18

4760174 --> Sunday, 04 - 10

